index,question_id,question,correct_answers,majority_answer,category,image_path
13,VizWiz_val_00000154,What does this coupon say on it?,"['buy 1 pizza at menu price receive on pizza equal lesser value free expires 12 31 11', 'buy 1 pizza at menu price receive 1 equal lesser value free', 'buy 1 pizza at menu price receive 1 pizza equal lesser value free expires 12 31 11', 'buy 1 pizza', 'buy 1 pizza get 1 free', 'buy 1 get 1 free on pizza', 'buy 1 pizza at menu price']",buy 1 pizza at menu price receive 1 pizza equal lesser value free expires 12 31 11,other,images/154.jpg
14,VizWiz_val_00000161,What is in this picture?,"['tv', 'tv screen car on clock other furniture', 'car', 'living room', 'clock television tv stand rug electronic equipment', 'clock television below on low table', 'clock tv basket rug', 'television']",tv,other,images/161.jpg
15,VizWiz_val_00000191,What are the letters to enter in to obtain the prize?,['cjo'],cjo,other,images/191.jpg
16,VizWiz_val_00000192,What is this?,"['room', 'television', 'shoes', 'tv', 'computer', 'monitor', 'tv screen', 'television screen']",tv,other,images/192.jpg
17,VizWiz_val_00000196,What is this a picture of?,"['back chair woman in', 'woman', 'back boy', 'person sitting in chair', 'person in chair watching something', 'someone sitting at banquet', 'person sitting in front stage', 'person sitting in chair in auditorium stage', 'woman sitting theater']",woman,other,images/196.jpg
18,VizWiz_val_00000197,Can you please tell me the 1-800 number on this card?,"['800 735 2929', '1 877 328 9677 1 80 732 2929', '1 800 735 2929', '1 877 328 9677', '8007352929', '18773289677', '18007352929']",1 877 328 9677,other,images/197.jpg
19,VizWiz_val_00000203,Is the laptop screen open?,"['yes', 'laptop open']",yes,yes/no,images/203.jpg
20,VizWiz_val_00000208,Do the clouds look like storm clouds?,"['yes', 'no']",yes,yes/no,images/208.jpg
21,VizWiz_val_00000209,Do you see steak on this menu?,['yes'],yes,yes/no,images/209.jpg
22,VizWiz_val_00000217,What is the person doing?,"['looking at computer monitor', 'sitting at desktop facing away', 'typing', 'on computer', 'working on computer', 'they on computer', 'watching video', 'looking at computer', 'looking at computer screen']",working on computer,other,images/217.jpg
23,VizWiz_val_00000234,Can you tell us what the screen says?,"['yes', 'windows 7', 'windows account log in', 'type user name type computer name', 'windows 7 home premium dell', 'yes windows 7', 'windows 7 home premium', 'set up windows 7 login', 'windows 7 home premium input for user name']",windows 7 home premium dell,other,images/234.jpg
24,VizWiz_val_00000262,"Can you tell me the 1-800 number off this card, and are you able to hear this question?","['1 800 735 2929 cant hear q', '1 877 328 9677', '1 877 328 9677 1 800 735 2929', '18773289677', '1 800 735 2929', '1 877 328 9677 no', '18773289677 no', '8007352929 no']",1 877 328 9677,other,images/262.jpg
25,VizWiz_val_00000263,What color is this?,"['purple', 'burgundy', 'pink']",purple,other,images/263.jpg
26,VizWiz_val_00000266,What color is this paper?,"['white', 'white black text']",white,other,images/266.jpg
27,VizWiz_val_00000291,"Looking for properties to rent in my area, what is the condition of the house shown in the image?","['poor', 'bad', 'extremely poor', 'very poor', 'destroyed', 'demolished', 'horrible', 'condemned', 'condemned house']",bad,other,images/291.jpg
28,VizWiz_val_00000302,What is this T-shirt please?,"['minnesota twins', 'twins t shirt', 'minnesota twins 91 wins', 'snim', 'baseball']",minnesota twins,other,images/302.jpg
29,VizWiz_val_00000305,What is it?,"['dell laptop', 'laptop', 'laptop computer being booted up']",laptop,other,images/305.jpg
30,VizWiz_val_00000315,what is this?,"['milk thistle', 'trader joes milk thistle', 'supplement', 'milk thistle bottle', 'milk thistle dietary supplement', 'trader joes milk thistle capsules']",milk thistle,other,images/315.jpg
31,VizWiz_val_00000318,Is my computer screen lit up?,['yes'],yes,yes/no,images/318.jpg
32,VizWiz_val_00000347,What does my computer screen show?,"['youtube', 'youtube browser', 'you tube', 'open you tube window']",youtube,other,images/347.jpg
33,VizWiz_val_00000356,"Can you tell me what this medicine is, please?","['night time cough syrup', 'store brand nyquil', 'night time', 'night time cough cold', 'yes', 'night time medicine']",night time,other,images/356.jpg
34,VizWiz_val_00000366,What CD is this?,"['iphone ipad programming: hands on', 'iphone ipad programming', 'course 2761', 'iphone ipad programming:hands on', 'from learning tree iphone ipad programming: hands on', 'programming', 'iphone ipad programming course 2761', 'course 2761 iphone ipad programming']",iphone ipad programming,other,images/366.jpg
35,VizWiz_val_00000370,Could you tell me if I need to hit enter or can you actually tell if I need to do something else?,"['yes accept terms', 'probably hit enter', 'you must agree license terms', 'click on accept license terms', 'check check box', 'click accept license terms', 'click on clear box', 'click left mouse key then enter', 'accept microsoft terms', 'accept terms']",yes accept terms,other,images/370.jpg
36,VizWiz_val_00000371,What is this and what color is it?,"['brown teddy bear', 'teddy bear brown', 'brown plush toy', 'brown bear', 'stuffed toy brown']",teddy bear brown,other,images/371.jpg
37,VizWiz_val_00000380,What is this? What is this?,"['television', 'police officer on television', 'tv', 'television man blue hat on', 'video game']",television,other,images/380.jpg
38,VizWiz_val_00000381,What does the error message say?,"['invalid product key', 'invalid product', 'invalid product key click ok to proceed', 'invalid product key either remove theproduct key in unattend answer file to proceed']",invalid product key,other,images/381.jpg
39,VizWiz_val_00000382,My computer won't talk. Can you tell me what's on the screen?,"['restore your computer to earlier point', 'asking if you want to restore system restore', 'pop up asking if you want to do system restore', 'restore your computer using system restore', 'restore', 'option to restore your computer cancel', 'restore cancel']",restore your computer using system restore,other,images/382.jpg
40,VizWiz_val_00000393,What gift card is this?,"['speedy rewards membership card', 'speedway', 'membership card', 'speedys', 'speedy rewards', 'rewards card']",speedy rewards membership card,other,images/393.jpg
41,VizWiz_val_00000394,What is this?,"['fire hydrant by sign on grass near woods', 'street sign fire hydrant', 'fire hydrant water valve below sign next to', 'side yard fire hydrant sign railroad tie wishing well', 'fire hydrant']",fire hydrant,other,images/394.jpg
42,VizWiz_val_00000408,What's on the screen?,"['live security', 'live security update screen', 'live security platinum', 'antivirus program', 'security', 'live security screen', 'firewall']",live security,other,images/408.jpg
43,VizWiz_val_00000433,What does the text at the top of this screen say?,"['checking file system on c:', 'checking file system', 'checking file system on c']",checking file system on c:,other,images/433.jpg
44,VizWiz_val_00000448,What does it show on the screen?,"['windows setup', 'edit boot options', 'boot options', 'boot message', 'reflection from light source', 'windows set up', 'options for windows set up', 'black boot up screen']",edit boot options,other,images/448.jpg
45,VizWiz_val_00000452,What are the words on the piece of paper?,"['ransom down dark hall stranger my face by lois duncan', 'ransom down dark hall *stranger my face by lois duncan', 'ransom down dark hll stranger my', 'ransom down dark hall stranger my fa by lois duncan', 'ransom down dark hall * stranger my fac cut off by lois duncan', 'ransom', 'ransom down dark hall stranger my by lois duncan']",ransom down dark hall stranger my face by lois duncan,other,images/452.jpg
46,VizWiz_val_00000455,What is this thing?,"['computer message', 'laptop', 'computer screen', 'dialog box', 'computer', 'computer dialog box', 'message to restore computer using system restore']",computer screen,other,images/455.jpg
47,VizWiz_val_00000457,Can you tell me who this is from?,"['emi health', 'emihealth']",emi health,other,images/457.jpg
48,VizWiz_val_00000458,Is it a mobile?,"['no', 'yes', 'laptop yes', 'no portable laptop']",no,yes/no,images/458.jpg
49,VizWiz_val_00000488,What is this and does it have a name on it?,"['dell charger', 'dell computer plug in', 'power supply dell', 'adapter dell', 'dell ac adaptor', 'dell battery charger for electronics', 'dell laptop battery', 'power cord yes dell', 'dell laptop charger']",dell charger,other,images/488.jpg
50,VizWiz_val_00000500,What letters. What letters do I type in to win the prize?,['wvk'],wvk,other,images/500.jpg
51,VizWiz_val_00000510,What is this?,"['computer on desk', 'computer', 'computer desk', 'desk', 'desktop computer on small desk', 'workstation computer', 'computer desk desktop computer on']",computer on desk,other,images/510.jpg
52,VizWiz_val_00000511,What's on the screen?,"['do you want to restore your comp using system restore pop up', 'error message', 'do you want to restore your computer using system restore', 'startup', 'startup repaid diagnostic screen', 'systems restore question: do you want to use to restore your computer', 'startup repair', 'question to restore computer']",do you want to restore your computer using system restore,other,images/511.jpg
53,VizWiz_val_00000512,"Is there any text on the screen? If so, what does it say?","['mac os x all thats legible', 'yes mac os x', 'mac os x', 'yes mac', 'mac os c', 'max os x', 'yes', 'mac osx']",mac os x,other,images/512.jpg
54,VizWiz_val_00000518,What is that?,"['computers monitor keyboard', 'monitor', 'computer monitor', 'computer screen', 'computer', 'desktop', 'graph']",computer monitor,other,images/518.jpg
55,VizWiz_val_00000521,What is my computer screen showing?,"['your computer was unable to restart', 'repairs', 'your computer was unable to start', 'startup repair', 'startup repair screen', 'attempting repairs', 'attempting repair', 'computer unable to restart', 'windows repairs']",startup repair,other,images/521.jpg
56,VizWiz_val_00000523,What is the app on the top left?,"['message', 'messages app', 'apple messages', 'messages']",messages,other,images/523.jpg
57,VizWiz_val_00000533,"Is Windows all the way up, or is something loading?","['something loading', 'notifying that current repair cant be cancelled', 'startup repair pop up box', 'startup repair', 'startup repair loading', 'something cannot be cancelled', 'startup repair needs xed oked', 'startup repair box']",something loading,other,images/533.jpg
58,VizWiz_val_00000541,What color is this band?,['gold'],gold,other,images/541.jpg
59,VizWiz_val_00000545,Could you tell me what this screen is saying approximately?,"['66.4 gb primary 464 gb system', 'drive options', 'primary', '620.0 mb 66.4 gb primary 46.4 gb system', 'computerscreen', '620 mg 66.4gb 46.4 gb', '46.4gb', '620.0 mb 620.0 mb 66.4 gb 66.4 gb primary 46.6 gb 46.4 gb system']",drive options,other,images/545.jpg
60,VizWiz_val_00000547,What kind of phone is this?,"['blackberry', 'blackberry curve 3g']",blackberry,other,images/547.jpg
61,VizWiz_val_00000553,What's on the screen?,"['startup screen', 'startup repair window', 'system restore', 'prompt to restore computer using startup repair', 'startup repair', 'computer unable start', 'startup repair screen', 'repair message']",startup repair window,other,images/553.jpg
62,VizWiz_val_00000566,What is my computer screen showing?,"['do you want to restore your computer using system restore', 'system restore pop up', 'system restore message', 'asking if you want to restore your computer using system restore', 'box', 'system restore', 'computer did not start use system restore', 'restore set up']",do you want to restore your computer using system restore,other,images/566.jpg
63,VizWiz_val_00000567,What does it say on the screen?,"['do you want to restore your computer using system cd', 'restore', 'do you want to restore your computer using system', 'your computer was unable to start start repair checking your system for problems', 'startup repair', 'your computer unable to start', 'your computer was unable to start start up repair checking your system for problems', 'computer unable to start']",restore,other,images/567.jpg
64,VizWiz_val_00000570,What was on the table?,"['notebook', 'notebook pen other papers', 'spiral ringed notebook', 'paper pen', 'notebook pen']",notebook,other,images/570.jpg
65,VizWiz_val_00000573,What is written on this computer screen please?,"['install mac os x', 'nothing', 'install mac', 'install mac osx']",install mac os x,other,images/573.jpg
66,VizWiz_val_00000585,What picture is this?,"['laptop', 'computer', 'laptop computer', 'laptop screen']",laptop,other,images/585.jpg
67,VizWiz_val_00000590,What is this?,"['movie on hulu on laptop', 'laptop', 'laptop computer screen showing 2 men', 'computer', 'video man on laptop', 'laptop video playing', 'hulu']",laptop,other,images/590.jpg
68,VizWiz_val_00000591,Can you tell me when this bus pass expires?,"['april 1 2013', '10 apr 13', '10 april 2013', 'april 10 2013', '10apr13', '10 april 13', '10th april 2013']",10-Apr-13,other,images/591.jpg
69,VizWiz_val_00000593,What does the sky look like in this photograph?,"['cloudy sun shining through', 'cloudy', 'bird', 'dark clouds slight crack sun', 'dusk', 'grey cloudy', 'grey cloudy some sun coming through']",cloudy,other,images/593.jpg
70,VizWiz_val_00000595,What is this?,"['plug', 'cord', 'unknown', 'electrical plug', 'charger', 'camera', 'phone', 'plug for outlet']",plug,other,images/595.jpg
71,VizWiz_val_00000596,Does this shoe have a stiletto heel?,"['yes', 'no']",yes,yes/no,images/596.jpg
72,VizWiz_val_00000597,What is this?,"['braille system', 'braille translated', 'braille', 'braile', 'brail writing', 'words']",braille,other,images/597.jpg
73,VizWiz_val_00000599,what does the sky look like in this photo?,"['cloudy day', 'partly cloudy', 'cloudy', 'rain']",cloudy,other,images/599.jpg
74,VizWiz_val_00000601,What does this say?,"['bar b que restaurant', 'bar b que restaurant open', 'bar b que restaurant open 10', 'bar b que restaurant open to', 'barbeque restaurant', 'barbque']",bar b que restaurant,other,images/601.jpg
75,VizWiz_val_00000605,what is this?,"['laptop screen', 'laptop computer', 'computer', 'screen', 'computer screen']",computer screen,other,images/605.jpg
76,VizWiz_val_00000614,What is this?,"['arabic writing', 'book', 'quran', 'book in foreign language', 'glasses laying on book', 'sheet paper writing', 'sheet music', 'arabic text']",book,other,images/614.jpg
77,VizWiz_val_00000618,What kind of food is in this can?,"['garden vegetable soup', 'garden vegetable', 'vegetable soup', 'soup', 'progresso vegetable classics garden vegetable']",garden vegetable soup,other,images/618.jpg
78,VizWiz_val_00000624,What is in this picture?,"['woman sitting hands crossed', '2 people cropped', 'person', 'people', 'woman', 'person sitting on chair', 'person sitting in chair']",woman,other,images/624.jpg
79,VizWiz_val_00000625,Can you tell me what sort of card this is?,"['harveys hometown rewards', 'rewards', 'hareys hometown rewards', 'harveys hometown rewards card']",harveys hometown rewards,other,images/625.jpg
80,VizWiz_val_00000627,Do you see any text on the screen?,['yes'],yes,yes/no,images/627.jpg
81,VizWiz_val_00000635,What is this?,"['computer keyboard', 'keyboard dell monitor', 'keyboard']",keyboard,other,images/635.jpg
82,VizWiz_val_00000639,What is that a picture of?,"['side open mouth', 'face mouth', 'mouth']",mouth,other,images/639.jpg
83,VizWiz_val_00000640,What is it?,"['street', 'road way', 'sidewalk street', 'wet street through window', 'roadway', 'parking lot', 'street outside', 'road']",street,other,images/640.jpg
84,VizWiz_val_00000642,what is in this picture?,"['laptop', 'keyboard', 'laptop computer', 'computer']",laptop,other,images/642.jpg
85,VizWiz_val_00000644,Do the clouds look like storm clouds? What I'm saying is does it look like it's going to rain here or storm?,"['yes', 'no']",yes,yes/no,images/644.jpg
86,VizWiz_val_00000660,Do I have all my toes still?,['yes'],yes,yes/no,images/660.jpg
87,VizWiz_val_00000673,Is the TV on right now?,['yes'],yes,yes/no,images/673.jpg
88,VizWiz_val_00000680,What is this?,"['pill bottle', 'lorazepam', 'medication bottle', 'medicine bottle', 'prescription bottle']",lorazepam,other,images/680.jpg
89,VizWiz_val_00000683,Is this a keyboard?,['no'],no,yes/no,images/683.jpg
90,VizWiz_val_00000686,What is in this bottle?,"['bacon bits', 'hormel bacon bits', 'bacon']",bacon bits,other,images/686.jpg
91,VizWiz_val_00000687,What's this?,"['room', 'half computer screen', 'monitor', 'laptop', 'computer screen', 'computer monitor', 'tv']",laptop,other,images/687.jpg
92,VizWiz_val_00000688,It monitor light on the laptop?,"['yes', 'no']",yes,yes/no,images/688.jpg
93,VizWiz_val_00000695,What is the letter on the wall?,['t'],t,other,images/695.jpg
94,VizWiz_val_00000699,What is this?,"['dirty plate on computer desk', 'plate', 'empty plate']",plate,other,images/699.jpg
95,VizWiz_val_00000701,What is it?,"['laptop', 'macbook pro', 'search page', 'search results on screen laptop computer', 'laptop screen showing google results', 'macbook air', 'search results about google goggles apps', 'macbook air laptop keyboard screen', 'keyboard']",laptop,other,images/701.jpg
96,VizWiz_val_00000708,What is this?,"['coupons', 'pens ads some sort food packaging', 'food flyer', 'newspaper', 'produce tray pen ad papers unknown object', 'kitchen countertop', 'sharpie newspaper ads seran wrapped styrofoam', 'pens ads plastic container', 'sales ads', 'countertop grocery package newspaper fliers writing utensils']",coupons,other,images/708.jpg
97,VizWiz_val_00000713,What is this?,"['square head man drawing', 'cork bulletin board paper', 'bulletin board', 'kids drawing on clipboard', 'board', 'coloring note', 'drawing on board', 'picture person red square face on bulletin board', 'childs drawing']",bulletin board,other,images/713.jpg
98,VizWiz_val_00000718,What did i just read on my pc?,"['vizwiz', 'offer for computer application', 'vizwiz article', 'app description', 'viz wiz']",vizwiz,other,images/718.jpg
99,VizWiz_val_00000725,What is this?,"['belly', 'stomach', 'abdomen', 'that stomach', 'back', 'abs']",stomach,other,images/725.jpg
100,VizWiz_val_00000726,What is that?,"['laptop', 'open laptop', 'computer']",laptop,other,images/726.jpg
101,VizWiz_val_00000730,"What, what is this?","['system restore disk check on desktop', 'computer keyboard', 'computer', 'computer screen keyboard', 'keyboard monitor', 'computer system menu', 'desktop monitor keyboard']",computer,other,images/730.jpg
102,VizWiz_val_00000740,What is the computer screen showing?,"['error message', 'text', 'advanced boot options', 'script', 'startup screen', 'advanced boot options screen', 'advanced boot options shows middle screen not left right', 'code']",advanced boot options,other,images/740.jpg
103,VizWiz_val_00000747,What is it?,"['laptop', 'computer', 'lap top', 'web page']",laptop,other,images/747.jpg
104,VizWiz_val_00000750,What is this?,"['tall buildings', 'buildings', 'city landscape', 'downtown city', 'city buildings', 'skyscrapers', 'city']",buildings,other,images/750.jpg
105,VizWiz_val_00000751,What does this CAPTCHA say?,"['ionsuo', 'practical yonsuo', 'practical lonsuo', 'practical ionsuo', 'practical 1onsuo', 'practical lonsup']",ionsuo,other,images/751.jpg
106,VizWiz_val_00000752,Could you please tell me if this is a good picture of the tv stand?,"['yes', 'tv', 'no', 'alright but needs to be centered focused']",yes,yes/no,images/752.jpg
107,VizWiz_val_00000756,What room number is that?,"['1503c', 'door sign']",1503c,other,images/756.jpg
108,VizWiz_val_00000758,What three letter do I type to win the prize?,"['mvg', 'search engine']",mvg,other,images/758.jpg
109,VizWiz_val_00000761,Does this picture show an open fire?,['no'],no,yes/no,images/761.jpg
110,VizWiz_val_00000768,what is this cup?,"['saint louis bread co', 'saint louis', 'coffee cup', 'coffee', 'sant louis bread co']",saint louis bread co,other,images/768.jpg
111,VizWiz_val_00000769,What's in that bottle?,['water'],water,other,images/769.jpg
112,VizWiz_val_00000771,What is on the screen?,"['home page', 'field grass screensaver', 'window icons', 'desktop', 'desktop screen', 'windows menu', 'windows desktop', 'icons']",desktop,other,images/771.jpg
113,VizWiz_val_00000772,What title is this?,"['every now then', 'every no then']",every now then,other,images/772.jpg
114,VizWiz_val_00000773,What kind of computer is this?,['dell'],dell,other,images/773.jpg
115,VizWiz_val_00000779,What's this?,"['laptop', 'macbook', 'keyboard', 'laptop computer', 'keyboard laptop computer', 'mac app store', 'lap top']",laptop,other,images/779.jpg
116,VizWiz_val_00000781,What is the price of the french fries?,"['small 1.29 large 1.99', '1.29 1.99', '$1.29 $1.99', 'small $1.29 large $1.99', 'small 1.29 lg 1.99']",1.29 1.99,other,images/781.jpg
117,VizWiz_val_00000786,what's this?,"['start screen on computer', 'home screen', 'tablet home screen', 'computer screen', 'app screen', 'desktop', 'ipad pulled up to main menu applications', 'desktop screen computer']",computer screen,other,images/786.jpg
118,VizWiz_val_00000792,What does the text over the OK button say on this screen?,['octavarium test guitar saved'],octavarium test guitar saved,other,images/792.jpg
119,VizWiz_val_00000797,What is the computer screen showing?,"['progress bar', 'progress bar working', 'computer connecting to internet', 'aline', 'loading bar', 'loading', 'microsoft corporation logo', 'microsoft corporation graphic to show that working thinking loading', 'microsoft loading screen']",microsoft corporation logo,other,images/797.jpg
120,VizWiz_val_00000799,What is this screen?,"['windows update install', 'login screen mostly blue green background', 'windows 7 computer screen', 'computer screen', 'update progress for windows 8', 'logon', 'please do not power off installing updates', 'please do not power off unplug installing update 8', 'windows 7 installing', 'laptop']",windows update install,other,images/799.jpg
121,VizWiz_val_00000802,Does it have any writing on it?,"['yes', 'no']",yes,yes/no,images/802.jpg
122,VizWiz_val_00000803,What colors are in this shirt?,"['red white', 'maroon', 'red white stripes']",red white,other,images/803.jpg
123,VizWiz_val_00000805,What color is this?,"['blue purple white', 'blue', 'purple turquoise blue', 'turquoise purple phone on white paper on brown table', 'black teal', 'purple teal', 'blue aqua']",blue,other,images/805.jpg
124,VizWiz_val_00000807,What this?,"['pc screen', 'you cam window on screen', 'computer screen', 'laptop webcam on', 'you can settings window', 'you cam', 'youcam', 'web cam']",computer screen,other,images/807.jpg
125,VizWiz_val_00000814,What is it?,"['laptop', 'computer screen', 'computer', 'image too far away to read']",laptop,other,images/814.jpg
126,VizWiz_val_00000815,Whats that?,"['laptop', 'computer', 'image too far away to read text']",laptop,other,images/815.jpg
127,VizWiz_val_00000817,How fast is my up and download?,"['31.45 34.52', 'up 31.45 download 34.52', '34.52 mbit s download 31.45 mbit s upload', '35.52 31.45', 'download: 34.52 mbit s upload 31.45 mbit s', 'upload 31.45 download 34.52 mbites', 'medium', 'download 34.52 mbit s upload 31.45 mbit s', '34 31']",31.45 34.52,other,images/817.jpg
128,VizWiz_val_00000828,What is this?,"['tablet', 'ipad']",tablet,other,images/828.jpg
129,VizWiz_val_00000833,What kind of card is this?,"['i tunes', 'itunes', 'itunes gift card']",itunes,other,images/833.jpg
130,VizWiz_val_00000835,What are these?,['keys'],keys,other,images/835.jpg
131,VizWiz_val_00000846,What's on screen?,"['icons', 'application icons', 'computer menu', 'windows desktop', 'desktop icons', 'windows icons', 'shortcuts', 'computer desktop icons']",icons,other,images/846.jpg
132,VizWiz_val_00000848,what is this?,"['laptop', 'laptop computer', 'laptop screen', 'dell laptop']",laptop,other,images/848.jpg
133,VizWiz_val_00000850,what do you see?,"['laptop screen', 'computer screen', 'screen', 'monitor', 'computer monitor', 'computer desktop', 'desktop icons hp screen']",computer screen,other,images/850.jpg
134,VizWiz_val_00000852,What is this?,"['customer appreciation gift card', 'guest card', '$50 preferred guest card', 'gift card', 'jareds preferred guest card', '$50 gift card', '$50 preferred guest card to jared', 'customer appreciation event $50 preferred guest card']",$50 preferred guest card,other,images/852.jpg
135,VizWiz_val_00000853,What is this?,"['persons tongue', 'tongue', 'human tongue']",tongue,other,images/853.jpg
136,VizWiz_val_00000860,What kind of coffee is this?,"['tassimo', 'tassimo gevalia mocha', 'gevalia', 'gevalia mocha']",tassimo,other,images/860.jpg
137,VizWiz_val_00000865,What color is this band?,"['gold', 'cream whitish']",gold,other,images/865.jpg
138,VizWiz_val_00000867,What is this product?,"['dell', 'dell laptop', 'laptop computer monitor', 'laptop', 'computer', 'laptop computer', 'desktop laptop', 'lap top']",dell laptop,other,images/867.jpg
139,VizWiz_val_00000875,What is this?,"['printer pop up on top survey something', 'monitor', 'computer', 'prompt screen', 'computer screen', 'screen']",monitor,other,images/875.jpg
140,VizWiz_val_00000878,What does it say on this coupon?,"['$5 avocado bacon tostada combo', '5 combo', '5$ avocado bacon tostada combo', '$ avocado bacon tostada combo', '$5', 'avocado bacon tostada combo']",$5 avocado bacon tostada combo,other,images/878.jpg
141,VizWiz_val_00000881,Which sieve is healthy choice?,"['right', 'green can', '1 on right', 'chicken noodle', 'on right', 'chicken noodles']",right,other,images/881.jpg
142,VizWiz_val_00000882,What does it say on the screen?,"['800 643 2112 siriusxmcom', 'website', '800 643 2112', '800 643 2112 airlusxmcom', '800 643 2112 airluexmcom', 'phone number', 'exmcom']",800 643 2112 siriusxmcom,other,images/882.jpg
143,VizWiz_val_00000889,What is this?,"['apple computer', 'water bottle in front apple desktop', 'desktop computer', 'imac', 'desktop', 'desktop computer keyboard water bottle', 'computer', 'water bottle', 'imac waterbottle', 'computer bottle water']",apple computer,other,images/889.jpg
144,VizWiz_val_00000893,Is this person a boy or a girl?,['boy'],boy,other,images/893.jpg
145,VizWiz_val_00000894,What does this caption say?,['97zh'],97zh,other,images/894.jpg
146,VizWiz_val_00000899,What is this?,"['laptop', 'laptop computer']",laptop,other,images/899.jpg
147,VizWiz_val_00000903,Can you tell me the price of this computer please?,"['12999.91', '12999.01', '$12999.01', '1299.01']",12999.01,other,images/903.jpg
148,VizWiz_val_00000905,Can you tell me what this is?,"['articles for blind', 'cd', 'reverse cd', 'articles for blind disk', 'disk', 'book on cd', 'cd articles for blind', 'spear by james herbert dvd']",cd,other,images/905.jpg
149,VizWiz_val_00000913,What is this item?,['pear'],pear,other,images/913.jpg
150,VizWiz_val_00000916,What is on my screen?,"['windows 7', 'windows 7 installation screen', 'windows 7 installation', 'login screen', 'windows 7 logo', 'windows 7 login']",windows 7,other,images/916.jpg
151,VizWiz_val_00000922,What is this?,"['computer monitor', 'computer screen', 'television', 'tv screen', 'desk computer phones', 'computer', 'monitor', 'tv', 'computer monitor showing desktop screen']",computer screen,other,images/922.jpg
152,VizWiz_val_00000925,What does this computer screen say?,['nib'],nib,other,images/925.jpg
153,VizWiz_val_00000932,"Can you please tell me if this has, this computer screen has an error message on it?","['yes', 'do you want to restore', 'no', 'startup repair']",yes,yes/no,images/932.jpg
154,VizWiz_val_00000935,Type of ticket is this. Is this a pick four or Carolina pick five?,"['carolina pick 5', 'carolina cash 5', 'pick 5', 'lottery ticket yes', 'cash 5', 'lottery pick 5']",carolina cash 5,other,images/935.jpg
155,VizWiz_val_00000938,Is is a box? Is it a box?,['no'],no,yes/no,images/938.jpg
156,VizWiz_val_00000944,Do I have icons on my desktop on the screen?,['yes'],yes,yes/no,images/944.jpg
157,VizWiz_val_00000945,what company is this my hotspot from?,['verizon'],verizon,other,images/945.jpg
158,VizWiz_val_00000948,Is it still checking for problems?,['yes'],yes,yes/no,images/948.jpg
159,VizWiz_val_00000949,Does this outfit match?,['yes'],yes,yes/no,images/949.jpg
160,VizWiz_val_00000950,Can you read some of the text on the green?,"['computer organization design', 'yes', 'no']",computer organization design,other,images/950.jpg
161,VizWiz_val_00000964,What is this capture?,"['was uctoft', 'was uctopt']",was uctoft,other,images/964.jpg
162,VizWiz_val_00000974,What letters do I type to win the prize?,['mvg'],mvg,other,images/974.jpg
163,VizWiz_val_00000976,What is this?,"['euphonious', 'acoustic music called euphonious', 'collection music', 'laptop screen', 'collection acoustic music', 'computer screen', 'euphonious on computer screen', 'collection acoustic music euphonious', 'acoustic music euphonious']",computer screen,other,images/976.jpg
164,VizWiz_val_00000989,Which button is selected?,"['no button', 'no', 'yes']",no,yes/no,images/989.jpg
165,VizWiz_val_00000992,"What is written on that computer screen, please?","['install mac os x progress bar 1 3 full', 'install mac os x']",install mac os x,other,images/992.jpg
166,VizWiz_val_00000995,What is this?,"['post office box drop', 'mail dropbox', 'mail drop box', 'blue mailbox', 'mailbox', 'post office mailbox']",mailbox,other,images/995.jpg
167,VizWiz_val_00001006,What color are those pants?,"['pink', 'pink white checkered']",pink,other,images/1006.jpg
