question_id,image_path,question,choices,correct_answer,predicted_answer,raw_confidence,is_correct
30,images/30.jpg,Where are we at?,"['fair', 'garage sale', 'street festival', 'flea market']",street festival,Flea market,0.5200437307357788,0
31,images/31.jpg,What is beside the person on the seat?,"['white bag', 'food', 'paper bag', 'pillow']",white bag,Pillow,0.585879921913147,0
32,images/32.jpg,What does it say on the boys hat?,"['happy birthday', 'huggy buggy', 'herpy derpy', 'huggy harry']",happy birthday,Happy birthday,0.9910629987716676,1
33,images/33.jpg,What sport are they mimicking?,"['baseball', 'lacrosse', 'cricket', 'basketball']",baseball,Baseball,0.9236769676208496,1
34,images/34.jpg,The visible bottles most likely contain what kind of items?,"['body wash', 'shampoo conditioner', 'lotions', 'mouthwash']",shampoo conditioner,Shampoo conditioner,0.2878491878509521,1
35,images/35.jpg,What sport game is the man playing?,"['wii boxing', 'wii baseball', 'wii football', 'wii tennis']",wii boxing,Wii boxing,0.8622629642486572,1
36,images/36.jpg,What is the batter most likely preparing to do here?,"['bunt', 'sit', 'dodge ball', 'slide']",bunt,Slide,0.8220323324203491,0
37,images/37.jpg,What kind of venue is it?,"['garage', 'commercial kitchen', 'auto shop', 'domestic kitchen']",domestic kitchen,Domestic kitchen,0.8367869257926941,1
38,images/38.jpg,What kind of terrain is it?,"['beach', 'desert', 'savanna', 'valley']",savanna,Savanna,0.9489281177520752,1
39,images/39.jpg,What is the bin on the left made from?,"['plastic', 'ceramic', 'steel', 'glass']",steel,Wood,0.4304678440093994,0
40,images/40.jpg,What type of animal is on a leash on the sidewalk?,"['dog', 'tiger', 'cat', 'lion']",dog,Dog,0.9061464071273804,1
41,images/41.jpg,What room of the house is this man in?,"['sitting room', 'dinning room', 'bathroom', 'bedroom']",bathroom,Bathroom,0.9902514219284058,1
42,images/42.jpg,What is likely in front of the rug?,"['refrigerator', 'pantry', 'washing machine', 'sink']",sink,Refrigerator,0.595237135887146,0
43,images/43.jpg,Which food item is the knife for?,"['bread', 'fruit', 'vegetables', 'meat']",meat,Meat,0.537684977054596,1
44,images/44.jpg,What is the orange container on the left near the man in the red shirt used for?,"['training', 'keeping score', 'batting', 'storage']",storage,Batting,0.7551217079162598,0
45,images/45.jpg,What type of design is the person's shirt?,"['striped', 'plaid', 'uniform', 'tie dyed']",tie dyed,Tie dyed,0.6746018528938293,1
46,images/46.jpg,What kind of cuisine is this?,"['asian', 'american', 'african', 'european']",asian,Asian,0.9368237257003784,1
47,images/47.jpg,What is on the side of the yellow plane?,"['phone number', 'call letters', 'company name', 'decoration']",call letters,Phone number,0.4988745152950287,0
48,images/48.jpg,Why are the men's vests orange?,"['fashion', 'camouflage', 'visibility', 'dress code']",visibility,Visibility,0.9165684580802916,1
49,images/49.jpg,Why would you sit at this table?,"['to paint', 'medical treatment', 'to work', 'to eat']",to eat,Eat,0.5825515389442444,0
50,images/50.jpg,What type of sinks are shown?,"['bathroom', 'workstation', 'kitchen', 'laundry']",bathroom,Bathroom,0.8988721966743469,1
51,images/51.jpg,In what type of environment are they most likely riding skateboards?,"['beach', 'city', 'rural', 'suburban']",city,City,0.9907974004745485,1
52,images/52.jpg,Is the man on the left platform going to board the train?,"['yes', 'absolutely no', 'probably yes', 'probably no']",absolutely no,Yes,0.5833117365837097,0
53,images/53.jpg,This part of the house where is the girl is is called?,"['dinning room', 'kitchen', 'sitting room', 'bedroom']",bedroom,Bedroom,0.995947539806366,1
54,images/54.jpg,They are likely having pizza at what kind of event?,"['family', 'gaming', 'academic', 'social']",academic,Social,0.8498986959457397,0
55,images/55.jpg,What are the people driving?,"['dirt bikes', 'monster truck', 'train', 'bus']",dirt bikes,Dirt bikes,0.9825072884559632,1
56,images/56.jpg,The bus is likely driving through which American city?,"['chicago', 'new york', 'philadelphia', 'boston']",new york,New york,0.9279443621635436,1
57,images/57.jpg,What drink might these be good in?,"['beer', 'milkshake', 'gin', 'coffee']",milkshake,Milkshake,0.4209527373313904,1
58,images/58.jpg,What type of parking is available?,"['truck', 'airplane', 'bicycle', 'rv']",bicycle,Bicycle,0.9834614992141724,1
59,images/59.jpg,What direction is the narrow end of the flag pointing?,"['north', 'south', 'east', 'west']",west,South,0.3072809278964996,0
60,images/60.jpg,In what nation is this scene located?,"['spain', 'china', 'italy', 'france']",france,France,0.962219536304474,1
61,images/61.jpg,What festive season are these fruits usually ingested?,"['liberty day', 'christmas', 'victory day', 'memorial day']",christmas,Christmas,0.9592985510826112,1
62,images/62.jpg,What are the boats shaped like?,"['trains', 'tanks', 'cars', 'planes']",cars,Cars,0.7205872535705566,1
63,images/63.jpg,What is the metal basket near the net used to hold?,"['tennis balls', 'marbles', 'bats', 'towels']",tennis balls,Tennis balls,0.9282307624816896,1
64,images/64.jpg,What is likely to have happened?,"['dancing', 'eating', 'crashing', 'swimming']",crashing,Crashing,0.9905540347099304,1
65,images/65.jpg,Which vegetable on the pizza would be risky for someone with a certain allergy?,"['pepperoni', 'mushrooms', 'banana peppers', 'red peppers']",mushrooms,Banana peppers,0.4143182039260864,0
66,images/66.jpg,Which food has the least carbs?,"['soup', 'water', 'sandwich', 'buns']",soup,Soup,0.5866279006004333,1
67,images/67.jpg,What vehicle is closest to the security guard?,"['silver car', 'two-wheeler', 'bluecar', 'dark car']",two-wheeler,Silver car,0.4580525159835815,0
68,images/68.jpg,Why are the men wearing yellow vests?,"['visibility', 'fashion', 'warmth', 'costume']",visibility,Visibility,0.9655372500419616,1
69,images/69.jpg,What is the skateboard balanced on?,"['post', 'air', 'chain', 'ground']",chain,Post,0.9043017625808716,0
70,images/70.jpg,What is the object in the middle called?,"['counter', 'island', 'table', 'desk']",island,Island,0.8525918126106262,1
71,images/71.jpg,What is the gray street made up of?,"['asphalt', 'sand', 'stone', 'wood']",stone,Stone,0.6580479145050049,1
72,images/72.jpg,The name of the street is the same as the last name of what actress?,"['eva mendes', 'jessica biel', 'eva green', 'jessica alba']",jessica biel,Eva green,0.9076524972915648,0
73,images/73.jpg,How was the cake decorated?,"['drawn', 'piping tip', 'fork', 'sprinkled']",piping tip,Piping tip,0.4055404663085937,1
74,images/74.jpg,The green object on the smaller boat is used as what?,"['cabin', 'restroom', 'dining', 'kitchen']",restroom,Restroom,0.9500316977500916,1
75,images/75.jpg,Who has the same color hair as this woman?,"['phoebe tonkin', 'maria sharapova', 'serena williams', 'nina dobrev']",maria sharapova,Maria sharapova,0.6553951501846313,1
76,images/76.jpg,Why would you use this bag?,"['shop', 'travel', 'catch', 'preserve']",travel,Travel,0.9128931760787964,1
77,images/77.jpg,What is being made by the man?,"['bow', 'kite', 'flag', 'anchor']",kite,Kite,0.9749116897583008,1
78,images/78.jpg,What is the man in the gray suit on the left looking down to check?,"['phone', 'tablet', 'notebook', 'pager']",phone,Phone,0.966588854789734,1
79,images/79.jpg,Which ingredient is the most flavorful?,"['mushrooms', 'fish', 'plate', 'broccoli']",fish,Mushrooms,0.7487599849700928,0
80,images/80.jpg,What are these cases for?,"['clothing', 'instruments', 'clothing', 'food']",clothing,Clothing,0.933072865009308,1
81,images/81.jpg,What pattern are the man's pants?,"['camouflage', 'plaid', 'floral', 'pinstripe']",camouflage,Camouflage,0.9310080409049988,1
82,images/82.jpg,In which major city is the woman most likely sitting outdoors?,"['paris', 'new york', 'johannesburg', 'london']",paris,Paris,0.9914541244506836,1
83,images/83.jpg,Where are these animals located?,"['museum', 'zoo', 'vet', 'wild']",wild,Wild,0.9172440767288208,1
84,images/84.jpg,In what location is the motorcycle parked most likely?,"['store', 'sidewalk', 'home', 'expo']",home,Home,0.4967216849327087,1
85,images/85.jpg,What is the natural light streaming into the room through?,"['door', 'lightbulb', 'clock', 'candle']",clock,Clock,0.8103724718093872,1
86,images/86.jpg,What is the white cream used for with the other foods?,"['drinking', 'cooking', 'dipping', 'heating']",dipping,Dipping,0.5910425782203674,1
87,images/87.jpg,What can be seen through the buildings?,"['clouds', 'birds', 'more buildings', 'sunlight']",sunlight,Sunlight,0.9762583374977112,1
88,images/88.jpg,What type of audience is the man likely speaking to?,"['protest', 'single person', 'political rally', 'meeting']",meeting,Political rally,0.7622852921485901,0
89,images/89.jpg,What will be built here one day?,"['building', 'boat', 'car', 'house']",building,Building,0.8688564300537109,1
90,images/90.jpg,What seems to be contained in the nook underneath the TV?,"['bookshelf', 'lamp', 'fireplace', 'stereo']",fireplace,Fireplace,0.7000720500946045,1
91,images/91.jpg,What problem will the people on the ferry face?,"['earthquake', 'raining', 'sunburn', 'tsunami']",raining,Sunburn,0.4239100217819214,0
92,images/92.jpg,Why do the cattle have their heads down to the ground?,"['to eat', 'to drink', 'to play', 'to sleep']",to eat,Eat,0.722393810749054,0
93,images/93.jpg,What state was the licence plate issues?,"['connecticut', 'rhode island', 'new jersey', 'new york']",new york,New york,0.6983174681663513,1
94,images/94.jpg,What are the people in the picture doing?,"['skating', 'laughing', 'jogging', 'angry']",skating,Skiing,0.4762350618839264,0
95,images/95.jpg,What type of city district is this?,"['government', 'warehouse', 'commercial', 'residential']",commercial,Commercial,0.7933396697044373,1
96,images/96.jpg,What player is shown in the photo?,"['shortstop', 'catcher', 'position', 'first baseman']",position,Catcher,0.7047495245933533,0
97,images/97.jpg,Where are these cats located?,"['alley', 'home', 'vet', 'office']",home,Home,0.973947048187256,1
98,images/98.jpg,What is prohibited near the round road sign with a red cross on a blue background?,"['parking', 'turning', 'speeding', 'waving']",parking,Parking,0.4202404618263244,1
99,images/99.jpg,Where is this dog located?,"['office', 'home', 'zoo', 'vet']",home,Home,0.9463587403297424,1
100,images/100.jpg,Who is the woman dressed up as?,"['snow white', 'xena', 'maleficent', 'cinderella']",xena,Xena,0.9387618899345398,1
101,images/101.jpg,What type of event might this be?,"['art show', 'car show', 'museum opening', 'race']",art show,Car show,0.8808814883232117,0
102,images/102.jpg,What is the activity being performed?,"['show performance', 'training horse', 'riding horse', 'feeding horse']",show performance,Riding horse,0.4841726124286651,0
103,images/103.jpg,What color are the walls in the room?,"['orange', 'yellow', 'blue', 'green']",green,Blue,0.7643342614173889,0
104,images/104.jpg,In which way are the adults shown here likely related to the child?,"['grandparents', 'strangers', 'friends', 'sister']",grandparents,Grandparents,0.683113157749176,1
105,images/105.jpg,What is served at the counter here?,"['fines', 'ice cream', 'alcohol', 'chinese']",alcohol,Alcohol,0.9930190443992616,1
106,images/106.jpg,What type of tree is in front of the blue building?,"['palm tree', 'bonsai tree', 'maple tree', 'pine tree']",palm tree,Palm tree,0.9236614108085632,1
107,images/107.jpg,What did the man use to get into the air?,"['kite', 'blimp', 'balloon', 'plane']",kite,Kite,0.9716463685035706,1
108,images/108.jpg,What type of cuisine would be purchased here?,"['chinese', 'russian', 'italian', 'mexican']",mexican,Mexican,0.9819318056106568,1
109,images/109.jpg,What type of bus is in traffic?,"['public', 'school', 'work', 'tour']",school,School,0.982851505279541,1
110,images/110.jpg,In what shape is the quiche cut?,"['triangles', 'stars', 'circles', 'rectangles']",triangles,Triangles,0.8881279230117798,1
111,images/111.jpg,What kind of coating has been used?,"['polish', 'frosting', 'paint', 'varnish']",frosting,Frosting,0.7474330067634583,1
112,images/112.jpg,Which century was the item the woman is holding up invented in?,"['twentieth', 'twenty first', 'tenth', 'eighteenth']",twentieth,Twenty first,0.8804834485054016,0
113,images/113.jpg,What genus of animal is visible here?,"['canine', 'porcine', 'feline', 'rodent']",feline,Feline,0.8459467887878418,1
114,images/114.jpg,What brand is the red truck?,"['dodge', 'chevy', 'ford', 'toyota']",dodge,Dodge,0.9917170405387878,1
115,images/115.jpg,This meal was likely prepared using which method?,"['oven', 'crockpot', 'grill', 'stovetop']",grill,Grill,0.963921070098877,1
116,images/116.jpg,The cat appears to be what type?,"['feral', 'housecat', 'pregnant', 'sheltered']",housecat,Housecat,0.8370569348335266,1
117,images/117.jpg,What limits forward navigation?,"['traffic warden', 'road accident', 'red light', 'bad weather']",red light,Red light,0.6797441840171814,1
118,images/118.jpg,What are the zebras doing?,"['grazing', 'sleeping', 'drinking', 'walking']",grazing,Grazing,0.9673181176185608,1
119,images/119.jpg,Why are the people behind the fence there?,"['coaching', 'spectating', 'relaxing', 'taking photos']",spectating,Spectating,0.8568087220191956,1
120,images/120.jpg,Which piece of clothing is unique to one person here?,"['collar', 'shirt', 'tie', 'vest']",vest,Vest,0.3158896267414093,1
121,images/121.jpg,What type of container is the straw sticking out of?,"['pint glass', 'martini glass', 'mason jar', 'vase']",mason jar,Mason jar,0.4447976946830749,1
122,images/122.jpg,A person following what kind of diet is least likely to eat this meal?,"['atkins', 'weight watchers', 'vegetarian', 'ketogenic']",vegetarian,Vegetarian,0.6858773827552795,1
123,images/123.jpg,What is placed on the ground that will eventually turn yellow?,"['bananas', 'pears', 'tomatoes', 'apples']",bananas,Bananas,0.5965360403060913,1
124,images/124.jpg,What is in the bottles?,"['beer', 'liquer', 'water', 'juice']",liquer,Liquor,0.5463628172874451,0
125,images/125.jpg,Which food on the plate grows in the ground?,"['chicken', 'carrot', 'dried cranberry', 'bread']",carrot,Carrot,0.923402726650238,1
126,images/126.jpg,What theme park attraction are they most likely visiting?,"['disney world', 'disneyland', 'universal studios', 'six flags']",disneyland,Disneyland,0.9503465294837952,1
127,images/127.jpg,What is in the photo above the TV?,"['cat', 'boy', 'woman', 'dog']",woman,Woman,0.6529000401496887,1
128,images/128.jpg,The temperature outside is likely what range?,"['below freezing', 'hot', 'cool', 'very humid']",hot,Cool,0.9045594930648804,0
129,images/129.jpg,What kind of weather was there?,"['hail', 'rain', 'sun', 'snow']",rain,Rain,0.9932090640068054,1
130,images/130.jpg,What is the facade that the couple is being interviewed in likely designed to be?,"['radio', 'camera', 'building', 'tv']",tv,Tv,0.5364147424697876,1
131,images/131.jpg,What level of a house is this room located in?,"['basement', 'ground', 'second', 'third']",basement,Ground,0.5592488050460815,0
132,images/132.jpg,What type of birds are these?,"['captive', 'desert', 'arctic', 'aquatic']",aquatic,Aquatic,0.9535573720932008,1
133,images/133.jpg,What country headquarters this plane company?,"['canada', 'japan', 'usa', 'uk']",usa,Usa,0.4176976978778839,1
134,images/134.jpg,What other sport besides ping pong is played by someone in this household?,"['lacrosse', 'hockey', 'baseball', 'tennis']",tennis,Tennis,0.741529107093811,1
135,images/135.jpg,Which team is on offense?,"['red', 'neither', 'blue', 'both']",red,Red,0.617707371711731,1
136,images/136.jpg,What object should never get wet?,"['laptop', 'computer monitor', 'tv', 'jacket']",laptop,Laptop,0.7532901763916016,1
137,images/137.jpg,What do the larger elephants still have intact?,"['tusks', 'pythons', 'horns', 'antlers']",tusks,Tusks,0.6981382966041565,1
138,images/138.jpg,What kind of room is on the left of the yellow train?,"['nursery room', 'bathroom', 'changing room', 'waiting room']",waiting room,Waiting room,0.7523611187934875,1
139,images/139.jpg,Which vehicle is closest to the rectangular blue sign?,"['blue car', 'red bus', 'motorcycle', 'light car']",red bus,Red bus,0.5112168192863464,1
140,images/140.jpg,What vehicle is shown in the photo?,"['airplane', 'bus', 'train', 'car']",airplane,Car,0.6708889007568359,0
141,images/141.jpg,What kind of bag is this?,"['suitcase', 'backpack', 'purse', 'briefcase']",suitcase,Suitcase,0.8395242094993591,1
142,images/142.jpg,Why are the wood platforms strapped to the elephants?,"['to punish', 'to plow', 'to groom', 'to ride']",to ride,Ride,0.755775511264801,0
143,images/143.jpg,What is the train riding on?,"['street', 'train tracks', 'clay', 'grass']",train tracks,Train tracks,0.9654908180236816,1
144,images/144.jpg,What is the man taking?,"['walk', 'picture', 'watch', 'pee']",picture,Picture,0.9607966542243958,1
145,images/145.jpg,What item is on the bottom shelf near the TV?,"['cars', 'pictures', 'swords', 'speakers']",speakers,Cars,0.4059339463710785,0
146,images/146.jpg,What city is mentioned on the front of the bus?,"['new york', 'los angeles', 'chicago', 'seattle']",seattle,Seattle,0.9958670139312744,1
147,images/147.jpg,What expression are these children making?,"['confused', 'smiling', 'crying', 'angry']",smiling,Smiling,0.989167094230652,1
148,images/148.jpg,What video game system is the boy playing on?,"['nintendo wii', 'playstation 3', 'xbox one', 'playstation 4']",nintendo wii,Nintendo wii,0.7358822226524353,1
149,images/149.jpg,What does Fidelity specialize in?,"['travel', 'insurance', 'investments', 'rentals']",investments,Investments,0.9965903759002686,1
150,images/150.jpg,Which is the fruit?,"['meat', 'chocolate', 'nuts', 'orange slices']",orange slices,Orange slices,0.9705967903137208,1
151,images/151.jpg,What is the green box near the red stapler on the desk used to hold?,"['tissues', 'pins', 'pens', 'pencils']",tissues,Pens,0.7912597060203552,0
152,images/152.jpg,How many bake pans were utilized?,"['one', 'none', 'four', 'three']",four,1,0.7224957346916199,0
153,images/153.jpg,What are some of the zebras standing in in the middle of the photo?,"['grass', 'water', 'mud', 'rocks']",water,Mud,0.5050732493400574,0
154,images/154.jpg,How many people have their arms around the woman?,"['four', 'one', 'five', 'three']",one,3,0.4134107530117035,0
155,images/155.jpg,What city name is shown in the background?,"['los angeles', 'riverton', 'new york', 'omaha']",omaha,Omaha,0.9767189025878906,1
156,images/156.jpg,What is the dark colored car to the far left in the middle doing?,"['turning left', 'turning right', 'parking', 'reversing']",turning left,Reversing,0.34942427277565,0
157,images/157.jpg,Are the people boarding this train?,"['absolutely no', 'probably yes', 'probably no', 'yes']",absolutely no,No,0.5556241869926453,0
158,images/158.jpg,What is purpose of this wooden board?,"['entertaining kids', 'decoration', 'street sign', 'advertisement']",advertisement,Advertisement,0.5250070691108704,1
159,images/159.jpg,What video game system is the man playing?,"['xbox one', 'playstation 5', 'nintendo wii', 'atari']",nintendo wii,Nintendo wii,0.6044024229049683,1
160,images/160.jpg,Where are the buses with blue trim probably assembled?,"['stadium', 'lot', 'lane', 'terminal']",terminal,Terminal,0.406082808971405,1
161,images/161.jpg,What kind of pizza is this?,"['margarita', 'deep dish', 'pepperoni', 'loaded']",margarita,Cheese,0.2770163416862488,0
162,images/162.jpg,When it comes to the child what is he or she doing?,"['roller blading', 'kicking', 'karate', 'skateboarding']",skateboarding,Skateboarding,0.8444387316703796,1
163,images/163.jpg,What is the small house behind the cattle made up of?,"['plastic', 'reef', 'stone', 'thatch']",stone,Stone,0.9922090768814088,1
164,images/164.jpg,What type of transportation is shown?,"['rail', 'road', 'water', 'air']",rail,Rail,0.9428163170814514,1
165,images/165.jpg,What is the little girl doing?,"['drinking', 'yelling', 'eating', 'singing']",eating,Eating,0.931580364704132,1
166,images/166.jpg,What type of area is shown?,"['rural', 'medical', 'commercial', 'residential']",commercial,Commercial,0.7987938523292542,1
167,images/167.jpg,What appliance is unhooked and placed by the sink?,"['dishwasher', 'stove/oven', 'trash compactor', 'icemaker']",stove/oven,Dishwasher,0.4342940151691437,0
168,images/168.jpg,Which food on the dish is a meat?,"['broccoli', 'turkey', 'rice', 'green beans']",turkey,Turkey,0.9747703075408936,1
169,images/169.jpg,Which body part of the cow could you look at to find out which identity and/or owner the cow has?,"['ear', 'foot', 'rump', 'knee']",ear,Ear,0.9064225554466248,1
170,images/170.jpg,Who is the manufacturer of this laptop?,"['apple', 'hp', 'dell', 'compaq']",hp,Dell,0.5109022259712219,0
171,images/171.jpg,What is the person using to eat the pizza?,"['knife', 'spoon', 'none', 'fork']",fork,Fork,0.9654746055603028,1
172,images/172.jpg,What are the white rocks for?,"['breaking', 'prevent fire', 'water retainment', 'decoration']",prevent fire,Water retainment,0.5253210663795471,0
173,images/173.jpg,What animal has similar color to the flower in the picture on the left side of the room?,"['koala', 'rooster', 'zebra', 'panda']",rooster,Rooster,0.3499645888805389,1
174,images/174.jpg,What other animal is this animal traditionally an enemy of?,"['tigers', 'cats', 'elephants', 'mice']",cats,Cats,0.4315426051616668,1
175,images/175.jpg,What left the blue marks on the ground near the fire hydrant?,"['paint', 'wind', 'fruit', 'animals']",paint,Paint,0.7470426559448242,1
176,images/176.jpg,What kind of a person usually eats food like this?,"['obese', 'competitive eater', 'glutton', 'nutritionist']",nutritionist,Nutritionist,0.8360128402709961,1
177,images/177.jpg,Which person would be the coldest?,"['left', 'middle', 'right', 'none']",middle,Left,0.3965191543102264,0
178,images/178.jpg,What pattern is on the bottom of the skateboard?,"['zigzag', 'plaid', 'stripes', 'polka dots']",polka dots,Plaid,0.8451671004295349,0
179,images/179.jpg,How many drinkers are sucking down their beverages?,"['three', 'two', 'none', 'one']",three,2,0.445378839969635,0
180,images/180.jpg,What does the taller bottle contain?,"['beer', 'juice', 'champagne', 'water']",water,Beer,0.2917097210884094,0
181,images/181.jpg,How do these people know each other?,"['coworkers', 'spouses', 'siblings', 'classmates']",classmates,Classmates,0.982854962348938,1
182,images/182.jpg,What might you mix with the alcoholic drink named?,"['milk', 'coke', 'beer', 'gin']",coke,Coke,0.4894739687442779,1
183,images/183.jpg,What type of vehicle is this?,"['construction', 'cargo', 'watercraft', 'passenger']",passenger,Passenger,0.9875087141990662,1
184,images/184.jpg,What material are the white cups?,"['wood', 'glass', 'paper', 'plastic']",paper,Plastic,0.7077158093452454,0
185,images/185.jpg,What color is the floor?,"['brown', 'green', 'blue', 'purple']",brown,Brown,0.8869250416755676,1
186,images/186.jpg,What is placed inside this meter?,"['paper', 'paint', 'water', 'money']",money,Money,0.868506133556366,1
187,images/187.jpg,What appliance is shown?,"['dryer', 'microwave', 'washer', 'toaster']",toaster,Toaster,0.9373828172683716,1
188,images/188.jpg,Why does the couple standing in the boat?,"['fun', 'reduce stress', 'tradition', 'spend time']",spend time,Fun,0.6498942971229553,0
189,images/189.jpg,What cultural clothing are the women wearing?,"['vietnamese', 'korean', 'chinese', 'japanese']",japanese,Japanese,0.6476792097091675,1
190,images/190.jpg,How did the animal on the car arrive there?,"['horseback', 'uber', 'greyhound', 'flying']",flying,Flying,0.861556887626648,1
191,images/191.jpg,What is in the glass?,"['juice', 'milk', 'white wine', 'red wine']",red wine,White wine,0.5728590488433838,0
192,images/192.jpg,What area of the house is this in?,"['kitchen', 'bathroom', 'basement', 'bedroom']",basement,Bathroom,0.6421166062355042,0
193,images/193.jpg,The top shelf has many books of the same author of what genre?,"['romance', 'history', 'biography', 'thriller fiction']",thriller fiction,Biography,0.5492699146270752,0
194,images/194.jpg,How many women are in the picture?,"['three', 'two', 'four', 'eight']",four,4,0.7995230555534363,0
195,images/195.jpg,The couch is located where?,"['under', 'nowhere', 'right', 'left']",right,Right,0.953635275363922,1
196,images/196.jpg,What type of travel is this vehicle for?,"['air', 'road', 'water', 'rail']",air,Air,0.9543150663375854,1
197,images/197.jpg,Where are the people laying?,"['field', 'park', 'beach', 'bed']",beach,Beach,0.9904736876487732,1
198,images/198.jpg,What are the horses being used for?,"['rodeo', 'transportation', 'racing', 'farming']",farming,Farming,0.4319394528865814,1
199,images/199.jpg,What kind of door is open so she can sit inside?,"['fridge', 'office', 'freezer', 'house']",fridge,Refrigerator,0.7772582173347473,0
200,images/200.jpg,What is the woman using the umbrella to protect herself from?,"['rain', 'wind', 'sun', 'snow']",sun,Sun,0.9735032320022584,1
201,images/201.jpg,What property does the blue and green fence have?,"['soft', 'hard', 'wet', 'hot']",soft,Hard,0.5411375761032104,0
202,images/202.jpg,What occasion are the bears probably sitting at the table enjoying?,"['birthday', 'tea party', 'holiday dinner', 'wedding']",holiday dinner,Holiday dinner,0.7968663573265076,1
203,images/203.jpg,Why is the cow tied to the pole?,"['to hit', 'to kill', 'to ride', 'to restrain']",to restrain,Restrain,0.7458663582801819,0
204,images/204.jpg,What super hero is the cake based off?,"['spiderman', 'batman', 'iron man', 'superman']",spiderman,Spiderman,0.3928241431713104,1
205,images/205.jpg,What is the man with the black glove about to do?,"['push ups', 'sit ups', 'throw ball', 'dive']",throw ball,Throw ball,0.9721860885620116,1
206,images/206.jpg,Why is his arm up in the air?,"['signal', 'balance', 'wave', 'reach']",reach,Reach,0.7079082131385803,1
