index,question,choices,correct_answer,image_path,predicted_answer,is_correct,rationale,hypothesis,alternative_hypotheses,support,contrastive,entail_prob,alt_entail_probs,contrastiveness_score,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility
10,What country do these planes belong to?,"['united states', 'germany', 'canada', 'mexico']",united states,images/10.jpg,united states,1,"The planes in the image belong to the United States Air Force. This can be inferred from the fact that they are displayed in a museum, which is a common practice for preserving and showcasing military aircraft. Additionally, the presence of American flags in the scene further supports the notion that these planes are from the United States.",The planes belong to the United States.,"['The planes belong to Germany.', 'The planes belong to Canada.', 'The planes belong to Mexico.']",True,True,0.9365683794021606,"[1.6418427549069747e-05, 7.211375759652583e-06, 8.836163760861382e-05]",0.999880437933362,1,"['Are there American flags visible in the scene?', 'Are the planes displayed in a museum setting?']","['yes', 'yes']",1.0,0.4209562838077545
11,What interests the child most here?,"['table', 'fork', 'candle', 'floor']",candle,images/11.jpg,candle,1,"The child is most interested in the candle on the chocolate cake. This can be inferred from the fact that the child is looking at the candle while holding a fork, which suggests that the candle is the main focus of the child's attention. The presence of the candle on the cake indicates that it might be a special occasion, such as a birthday, and the child might be excited about the celebration or the act of blowing out the candle.",The child is most interested in the candle here.,"['The child is most interested in the table here.', 'The child is most interested in the fork here.', 'The child is most interested in the floor here.']",False,True,0.0003697388747241,"[8.289723751886413e-08, 1.7930457829606894e-07, 1.4833656081236768e-08]",0.9992512876763884,1,"['Is the child looking at the candle on the cake?', 'Is the child holding a fork while looking at the candle?', 'Is there a candle on the chocolate cake?']","['yes', 'yes', 'yes']",1.0,0.4884575605392456
12,What kind of fruit is cut in half and darker than the other?,"['grapes', 'apples', 'lettuce', 'radish']",grapes,images/12.jpg,lettuce,0,"The fruit that is cut in half and darker than the other is lettuce. Lettuce is a leafy green vegetable that is commonly used in salads and other dishes. It has a darker green color compared to other leafy greens like spinach or kale. The other options, such as grapes, apples, and radishes, are not typically cut in half and do not have a darker color than the rest of the fruit or vegetable.",The kind of fruit that is cut in half and darker than the other is lettuce.,"['The fruit that is cut in half and darker than the other is grapes.', 'The fruit that is cut in half and darker than the other is apples.', 'The fruit that is cut in half and darker than the other is radish.']",True,True,0.7446563243865967,"[5.354359018383548e-05, 9.636083268560469e-05, 2.2599915894261358e-07]",0.999798430288756,1,"['Is there a fruit or vegetable that is cut in half in the image?', 'Is the cut fruit or vegetable darker in color compared to another one in the image?', 'Is the cut fruit or vegetable a leafy green?']","['yes', 'yes', 'no']",0.6666666666666666,0.6099051237106323
13,What item on the desk could help with a cold?,"['cough drops', 'syringe', 'pills', 'herbal tea']",cough drops,images/13.jpg,cough drops,1,"The item on the desk that could help with a cold is cough drops. Cough drops are medicated lozenges that can help soothe a sore throat, reduce coughing, and provide temporary relief from cold and flu symptoms. The other items on the desk, such as pills, herbal tea, and syringe, are not directly related to treating a cold.",The item on the desk that could help with a cold is cough drops.,"['The item on the desk that could help with a cold is a syringe.', 'The item on the desk that could help with a cold is pills.', 'The item on the desk that could help with a cold is herbal tea.']",True,True,0.9555063247680664,"[1.2789318759587331e-07, 0.003789300797507167, 0.00026660063304007053]",0.995773042464162,1,"['Are there cough drops visible on the desk?', 'Are there pills visible on the desk?', 'Is there herbal tea visible on the desk?', 'Is there a syringe visible on the desk?']","['yes', 'no', 'no', 'no']",0.25,0.5087136626243591
14,What flag is represented on the wall?,"['english', 'moravian', 'american', 'french']",american,images/14.jpg,american,1,"The reasoning behind my answer is that the American flag is prominently displayed on the wall in the image. The presence of the American flag suggests that the event or gathering taking place is related to the United States or its military. The other flags, such as the Moravian flag or the French flag, are less likely to be present in this context.",The flag represented on the wall is American.,"['The flag represented on the wall is English.', 'The flag represented on the wall is moravian.', 'The flag represented on the wall is French.']",True,True,0.9997171759605408,"[1.7571432181284763e-05, 0.00032357158488593996, 2.475532346579712e-05]",0.9996341320536908,1,['Is the American flag prominently displayed on the wall in the image?'],['yes'],1.0,0.5030445456504822
15,What is located on the shelves?,"['books', 'dvds', 'games', 'food']",books,images/15.jpg,books,1,"The shelves in the image are filled with books, indicating that the primary purpose of these shelves is to store and display reading materials. While it is possible that there may be other items on the shelves, such as DVDs, games, or food, the presence of numerous books suggests that the primary function of these shelves is for book storage and display.",Books are located on the shelves.,"['The dvds are located on the shelves.', 'The games are located on the shelves.', 'Food is located on the shelves.']",True,True,0.9998279809951782,"[0.0009357976960018277, 0.0005487470189109445, 4.165958671364933e-05]",0.9984758596668032,1,['Are the shelves filled with books?'],['yes'],1.0,0.7873136401176453
16,What period of the day does this photo reflect?,"['noon', 'morning', 'dawn', 'afternoon']",afternoon,images/16.jpg,noon,0,"The photo reflects the period of the day when the sun is at its highest point in the sky, which is noon. This can be inferred from the presence of a clock on the side of the building, indicating the time of day. Additionally, the lighting and shadows in the image suggest that the sun is at its peak, further supporting the conclusion that the photo was taken during noon.",The photo reflects the period of the day at noon.,"['The photo reflects the morning.', 'The photo reflects the period of the day known as dawn.', 'The photo reflects the afternoon.']",True,True,0.9782395958900452,"[9.741920621308964e-06, 8.973417493507441e-07, 0.724090576171875]",0.5746438018654147,1,"['Is there a clock on the side of the building indicating the time of day?', 'Are the lighting and shadows in the image suggesting that the sun is at its peak?']","['yes', 'no']",0.5,0.5866795182228088
17,What activity does the cat appear most likely to do?,"['drink', 'jump', 'eat', 'sleep']",jump,images/17.jpg,eat,0,"The cat appears most likely to eat, as it is standing in front of a bowl of food on the floor. Cats are known to be hungry creatures, and it is common for them to be attracted to food sources. In this case, the cat's position and proximity to the bowl of food suggest that it is either about to eat or has just finished eating. The other activities, such as drinking, jumping, or sleeping, are less likely to be the primary focus of the cat at this moment.",The cat appears most likely to eat.,"['The cat appears most likely to drink.', 'The cat appears most likely to jump.', 'The cat appears most likely to sleep.']",True,True,0.9999167919158936,"[3.187565198459197e-06, 2.374589712417219e-06, 1.8353616724198218e-06]",0.9999926019225642,1,"['Is the cat standing in front of a bowl of food on the floor?', 'Is the cat positioned close to the bowl of food?']","['yes', 'yes']",1.0,0.4570934474468231
18,What event is this most likely?,"['environmental cleanup', 'concert', 'date', 'firing']",date,images/18.jpg,date,1,"The most likely event for the image is a date. The table is set with two wine glasses, a bottle of wine, a loaf of bread, and a vase with flowers. These items suggest a romantic and intimate atmosphere, which is typical for a date setting. Additionally, the presence of wine and bread indicates a focus on enjoying a meal together, which is a common activity during a date. The other choices, such as an environmental cleanup, concert, or firing, do not fit the context of the image.",The event is most likely a date.,"['The event is most likely an environmental cleanup.', 'The event is most likely a concert.', 'The event is most likely a firing.']",True,True,0.665410578250885,"[4.429170701314433e-07, 2.9047220095890225e-07, 2.4766534352238523e-06]",0.999995175869868,1,"['Are there two wine glasses on the table?', 'Is there a bottle of wine on the table?', 'Is there a loaf of bread on the table?', 'Is there a vase with flowers on the table?']","['yes', 'yes', 'yes', 'yes']",1.0,0.4578664600849151
19,What is the outside of the cake made of?,"['frosting', 'custard', 'fondant', 'whipped cream']",fondant,images/19.jpg,frosting,0,"The outside of the cake is made of frosting. This can be inferred from the fact that the cake is described as a white frosted cake. Frosting is a type of sugar-based confectionery that is used to cover and decorate cakes. It is typically made from sugar, butter, and flavorings, and is applied to the cake using a frosting knife or spatula. In contrast, custard, whipped cream, and fondant are not typically used as the outer layer of a cake, although they can be used as fillings, toppings, or decorations.",The outside of the cake is made of frosting.,"['The outside of the cake is made of custard.', 'The outside of the cake is made of fondant.', 'The outside of the cake is made of whipped cream.']",True,True,0.9994956254959106,"[0.00012681477528531104, 0.6905590891838074, 0.00027292114100418985]",0.5912585371013789,1,['Is the cake described as a white frosted cake?'],['yes'],1.0,0.961955189704895
20,Why is the person wearing a white jacket?,"['nurse', 'doctor', 'cold', 'chef']",chef,images/20.jpg,chef,1,"The person is wearing a white jacket because they are a chef. Chefs often wear white jackets as part of their uniform, which helps to maintain cleanliness and professionalism in the kitchen. In the image, the chef is standing in front of a buffet table, which is filled with various food items such as donuts, cakes, and drinks. This suggests that the chef is responsible for preparing and serving the food at the buffet, and their attire reflects their role in the culinary profession.",The person is wearing a white jacket because they are a chef.,"['The person is wearing a white jacket because they are a nurse.', 'The person is wearing a white jacket because they are a doctor.', 'The person is wearing a white jacket because it is cold.']",True,True,0.9996988773345948,"[2.2716807507094927e-05, 2.7643460271065123e-05, 1.599508868821431e-05]",0.999933629061807,1,"['Is the person wearing a white jacket?', 'Is the person standing in front of a buffet table?', 'Is the buffet table filled with various food items such as donuts, cakes, and drinks?']","['yes', 'yes', 'yes']",1.0,0.4800193011760711
21,What is the dog trying to catch?,"['person', 'frisbee', 'kite', 'ball']",frisbee,images/21.jpg,frisbee,1,"The dog is trying to catch a yellow frisbee in its mouth. In the image, a man is holding a yellow frisbee, and the dog is looking at it, indicating that the dog is attempting to catch the frisbee in its mouth. This is a common activity for dogs and their owners, as it provides both physical exercise and mental stimulation for the dog, while also strengthening the bond between the dog and its owner.",The dog is trying to catch a frisbee.,"['The dog is trying to catch a person.', 'The dog is trying to catch a kite.', 'The dog is trying to catch a ball.']",False,False,0.0001467460679123,"[0.0002702695783227682, 3.591301720007323e-05, 0.0004974744515493512]",0.1544040266689461,1,"['Is the dog looking at a yellow frisbee?', 'Is a man holding a yellow frisbee in the image?']","['yes', 'yes']",1.0,0.4466877281665802
22,Which animal usually occupies the position the cat is in right now?,"['human', 'dinosaur', 'eagle', 'fish']",human,images/22.jpg,human,1,"The reasoning behind my answer is that humans are the most common occupants of chairs and other seating furniture. While it is possible for other animals, such as cats, to sit in chairs, it is much more common for humans to do so. In the image, the cat is sitting in a black office chair, which is a piece of furniture designed for human use. While it is not uncommon for cats to sit in chairs, it is still more likely that a human would occupy that position.",The animal that usually occupies the position the cat is in right now is a human.,"['The animal that usually occupies the position the cat is in right now is a dinosaur.', 'The animal that usually occupies the position the cat is in right now is an eagle.', 'The animal that usually occupies the position the cat is in right now is a fish.']",True,True,0.999904990196228,"[1.2010367527182098e-06, 2.0932144195739966e-07, 9.519559966975066e-07]",0.9999976374669258,1,"['Is the cat sitting in a black office chair?  ', 'Is the chair designed for human use?']","['yes', 'yes']",1.0,0.5514522790908813
23,What kind of resort are these people at?,"['swim resort', 'safari', 'ski resort', 'tropical resort']",ski resort,images/23.jpg,ski resort,1,"The people in the image are at a ski resort, as they are skiing down a snow-covered slope. Ski resorts are specifically designed for winter sports, such as skiing and snowboarding, and typically feature slopes, lifts, and other facilities for these activities. The presence of multiple skiers and snowboards in the image further supports the idea that this is a ski resort, rather than a swim resort, safari, tropical resort, or any other type of resort.",The people are at a ski resort.,"['The people are at a swim resort.', 'The people are at a safari resort.', 'The people are at a tropical resort.']",True,True,0.999935269355774,"[9.761860383150633e-06, 2.2736073788109934e-06, 2.69043312073336e-06]",0.9999852733627156,1,"['Are the people in the image skiing down a snow-covered slope?', 'Are there multiple skiers and snowboards visible in the image?']","['yes', 'yes']",1.0,0.55917888879776
24,What type of transportation is this?,"['air', 'water', 'road', 'road']",air,images/24.jpg,air,1,"This is an airplane, which is a type of transportation that travels through the air. Airplanes are designed to carry passengers and cargo over long distances and are powered by jet engines. In the image, the airplane is parked on the runway at an airport, indicating that it is either preparing for takeoff or has recently landed. Airplanes are a common mode of transportation for international and domestic travel, providing a faster and more efficient way to travel compared to other forms of transportation such as road or water.",This type of transportation is air.,"['The type of transportation is water.', 'The type of transportation is road.', 'The type of transportation is road.']",True,True,0.6825737357139587,"[0.0015419804258272052, 0.0013804223854094744, 0.0013804223854094744]",0.993735664540741,1,"['Is there an airplane in the image?', 'Is the airplane parked on the runway?', 'Is the location in the image an airport?']","['yes', 'no', 'yes']",0.6666666666666666,0.4415766596794128
25,The cat is looking in what direction?,"['left', 'right', 'down', 'up']",down,images/25.jpg,right,0,"The cat is looking in the direction of the faucet, which is located on the right side of the sink. This indicates that the cat is focused on the water flowing from the faucet, possibly because it is thirsty or intrigued by the sound or movement of the water.",The cat is looking in the right direction.,"['The cat is looking in the left direction.', 'The cat is looking down.', 'The cat is looking up.']",True,True,0.9923582673072816,"[0.6092917323112488, 0.005631474778056145, 0.008178467862308025]",0.6142883777852571,1,"['Is the faucet located on the right side of the sink?', 'Is the cat looking towards the faucet?']","['no', 'yes']",0.5,0.7613381743431091
26,What are the orange vehicles for?,"['police', 'shuttle', 'passengers', 'air traffic']",air traffic,images/26.jpg,police,0,"The reasoning behind my answer is that the orange vehicles in the image are police cars, which are typically used for law enforcement and emergency response purposes. The presence of police cars on the runway suggests that there might be an ongoing incident or security concern that requires their presence at the airport. The other choices, such as shuttle, passengers, and air traffic, do not seem to be directly related to the scene depicted in the image.",The orange vehicles are for police.,"['The orange vehicles are for shuttle.', 'The orange vehicles are for passengers.', 'The orange vehicles are for air traffic.']",True,True,0.9949039220809937,"[3.869419288093923e-06, 5.246944851933222e-07, 0.0006166296661831439]",0.9993761846124112,1,"['Are the vehicles in the image orange?', 'Are the orange vehicles identified as police cars?', 'Are the police cars present on a runway in the image?']","['yes', 'no', 'yes']",0.6666666666666666,0.4502446055412292
27,The company producing the device in her hand is from what country?,"['usa', 'china', 'japan', 'spain']",japan,images/27.jpg,japan,1,"The reasoning behind my answer is that Nintendo, the company producing the device in the woman's hand, is a Japanese company. Nintendo is known for its video game consoles, such as the Wii, and is headquartered in Tokyo, Japan. Therefore, the answer to the question is ""Japan.""",The company producing the device in her hand is from Japan.,"['The company producing the device in her hand is from the USA.', 'The company producing the device in her hand is from China.', 'The company producing the device in her hand is from Spain.']",True,True,0.9997027516365052,"[1.4679525293104234e-06, 1.0198045856668614e-06, 1.0308185665053315e-06]",0.9999964803905044,1,"[""Is the device in the woman's hand produced by Nintendo?""]",['yes'],1.0,0.7837890386581421
28,Which is not an ingredient of this dish?,"['flatbread', 'prosciutto', 'arugula', 'pepperoni']",pepperoni,images/28.jpg,pepperoni,1,"Pepperoni is not an ingredient of this dish. The dish consists of prosciutto, arugula, and flatbread. Pepperoni is a type of salami that is typically used as a topping on pizzas, but it is not a part of this particular dish.",Pepperoni is not an ingredient of this dish.,"['Flatbread is not an ingredient of this dish.', 'Prosciutto is not an ingredient of this dish.', 'Arugula is not an ingredient of this dish.']",True,False,0.913541615009308,"[0.6297746300697327, 0.8947664499282837, 0.5602526664733887]",0.3046829339857966,1,"['Does the dish contain prosciutto?', 'Does the dish contain arugula?', 'Is flatbread part of the dish?']","['yes', 'yes', 'yes']",1.0,0.867804765701294
29,What is closest to the tree trunk?,"['closed doors', 'walking person', 'sitting person', 'open doors']",closed doors,images/29.jpg,open doors,0,"The closest object to the tree trunk is the open doors. This is because the other objects, such as the walking person, sitting person, and closed doors, are all farther away from the tree trunk than the open doors. The open doors provide a clear view of the tree trunk, making them the closest object to it.",The open doors are closest to the tree trunk.,"['The closed doors are closest to the tree trunk.', 'The walking person is closest to the tree trunk.', 'The sitting person is closest to the tree trunk.']",False,True,1.4397559425560758e-05,"[2.8849331101810094e-07, 1.01781472494622e-06, 2.351512875975459e-06]",0.7974110296451311,1,"['Are the open doors the closest object to the tree trunk?', 'Are the walking person, sitting person, and closed doors farther from the tree trunk than the open doors?']","['no', 'yes']",0.5,0.5033297538757324
30,Where are we at?,"['fair', 'garage sale', 'street festival', 'flea market']",street festival,images/30.jpg,street festival,1,"We are at a street festival, as evidenced by the large crowd of people and the presence of various items for sale, such as watermelons, apples, and handbags. The atmosphere is lively and bustling with activity, which is typical of street festivals. Additionally, the presence of motorcycles and scooters in the image further supports the idea that this is a public event where people gather to socialize, shop, and enjoy themselves.",We are at a street festival.,"['We are at the fair.', 'We are at a garage sale.', 'We are at the flea market.']",True,False,0.9983320832252502,"[0.9615699052810669, 0.00015940605953801423, 0.12978827953338623]",0.4777052127711278,1,"['Is there a large crowd of people in the image?', 'Are there various items for sale, such as watermelons, apples, and handbags?', 'Is the atmosphere in the image lively and bustling with activity?', 'Are there motorcycles and scooters present in the image?']","['yes', 'yes', 'yes', 'yes']",1.0,0.234208807349205
31,What is beside the person on the seat?,"['white bag', 'food', 'paper bag', 'pillow']",white bag,images/31.jpg,white bag,1,"The correct answer is the white bag beside the person on the seat. The reasoning behind this answer is that the image shows a woman sitting on a bench with a white bag next to her. This suggests that the bag might contain her belongings, such as a pillow, food, or other personal items. The presence of the white bag indicates that it is likely related to the person sitting on the bench.",Beside the person on the seat is a white bag.,"['Beside the person on the seat is food.', 'Beside the person on the seat is a paper bag.', 'Beside the person on the seat is a pillow.']",False,False,0.4368622899055481,"[4.995184553990839e-06, 0.4602889120578766, 8.809700375422835e-06]",0.4869363902635917,1,"['Is there a white bag beside the person on the seat?', 'Is the person sitting on a bench?']","['yes', 'yes']",1.0,0.441814124584198
32,What does it say on the boys hat?,"['happy birthday', 'huggy buggy', 'herpy derpy', 'huggy harry']",happy birthday,images/32.jpg,happy birthday,1,"The reasoning behind my answer is that the boy is wearing a hat that says ""Happy Birthday"" on it. This indicates that the boy is celebrating his birthday, and the hat serves as a fun and festive accessory to mark the occasion. The other options provided, such as ""Huggy Buggy,"" ""Herpy Derpy,"" and ""Huggy Harry,"" are not relevant to the context of the image, which is focused on the boy's birthday celebration.","The boy's hat says ""happy birthday.""","['The boy\'s hat says ""huggy buggy.""', 'The boy\'s hat says ""herpy derpy.""', ""The boy's hat says huggy harry.""]",True,True,0.9257686138153076,"[4.956830161972903e-05, 0.0035072346217930317, 0.021532878279685974]",0.9736136484957382,1,"['Does the boy\'s hat have the words ""Happy Birthday"" written on it?']",['yes'],1.0,0.4741466343402862
33,What sport are they mimicking?,"['baseball', 'lacrosse', 'cricket', 'basketball']",baseball,images/33.jpg,baseball,1,"The people in the image are mimicking the sport of baseball. This can be inferred from the fact that one person is swinging a baseball bat at a ball, which is a common action in baseball. Additionally, the presence of a baseball glove in the scene further supports the idea that they are participating in a baseball-related activity. Baseball is a popular sport that involves hitting a ball with a bat and catching it with a glove, so it is reasonable to assume that this is the sport they are mimicking.",They are mimicking baseball.,"['They are mimicking lacrosse.', 'They are mimicking cricket.', 'They are mimicking basketball.']",True,True,0.9855799674987792,"[0.02717568725347519, 0.8161134123802185, 3.560242873845709e-07]",0.5389012222630948,1,"['Is one person swinging a baseball bat at a ball?', 'Is there a baseball glove present in the scene?']","['yes', 'no']",0.5,0.4630409479141235
34,The visible bottles most likely contain what kind of items?,"['body wash', 'shampoo conditioner', 'lotions', 'mouthwash']",shampoo conditioner,images/34.jpg,lotions,0,"The visible bottles in the bathroom most likely contain lotions, as they are commonly used for personal care and hygiene purposes. Body wash, shampoo conditioner, and mouthwash are less likely to be found in a bathroom setting. Lotions are typically used for moisturizing and nourishing the skin, while body wash, shampoo conditioner, and mouthwash are more likely to be found in other areas of the home, such as the kitchen or laundry room.",The visible bottles most likely contain lotions.,"['The visible bottles most likely contain body wash.', 'The visible bottles most likely contain shampoo and conditioner.', 'The visible bottles most likely contain mouthwash.']",True,True,0.9036349058151244,"[0.44022858142852783, 0.004895881284028292, 0.00011093609646195546]",0.6699197859996768,1,['Are the bottles located in a bathroom setting?'],['yes'],1.0,0.5162522196769714
35,What sport game is the man playing?,"['wii boxing', 'wii baseball', 'wii football', 'wii tennis']",wii boxing,images/35.jpg,wii boxing,1,"The man is playing Wii Boxing, as indicated by the presence of a boxing glove in the image. Wii Boxing is a boxing simulation game for the Nintendo Wii console, which allows players to engage in virtual boxing matches using the Wii Remote and Nunchuk controllers. The presence of the boxing glove suggests that the man is actively participating in the game, which further supports the conclusion that he is playing Wii Boxing. The other sports games, such as Wii Baseball, Wii Football, and Wii Tennis, do not involve the use of a boxing glove, making Wii Boxing the most plausible choice for the man's activity.",The man is playing wii boxing.,"['The man is playing wii baseball.', 'The man is playing wii football.', 'The man is playing wii tennis.']",True,True,0.999750554561615,"[0.0001053409359883517, 0.00011768713011406362, 0.00016442514606751502]",0.9996126002520068,1,"['Is there a boxing glove visible in the image?', 'Is the man holding a Wii Remote or Nunchuk controller?']","['no', 'yes']",0.5,0.8856459259986877
