index,question,choices,correct_answer,image_path
42,What is likely in front of the rug?,"['refrigerator', 'pantry', 'washing machine', 'sink']",sink,images/42.jpg
43,Which food item is the knife for?,"['bread', 'fruit', 'vegetables', 'meat']",meat,images/43.jpg
44,What is the orange container on the left near the man in the red shirt used for?,"['training', 'keeping score', 'batting', 'storage']",storage,images/44.jpg
45,What type of design is the person's shirt?,"['striped', 'plaid', 'uniform', 'tie dyed']",tie dyed,images/45.jpg
46,What kind of cuisine is this?,"['asian', 'american', 'african', 'european']",asian,images/46.jpg
47,What is on the side of the yellow plane?,"['phone number', 'call letters', 'company name', 'decoration']",call letters,images/47.jpg
48,Why are the men's vests orange?,"['fashion', 'camouflage', 'visibility', 'dress code']",visibility,images/48.jpg
49,Why would you sit at this table?,"['to paint', 'medical treatment', 'to work', 'to eat']",to eat,images/49.jpg
50,What type of sinks are shown?,"['bathroom', 'workstation', 'kitchen', 'laundry']",bathroom,images/50.jpg
51,In what type of environment are they most likely riding skateboards?,"['beach', 'city', 'rural', 'suburban']",city,images/51.jpg
52,Is the man on the left platform going to board the train?,"['yes', 'absolutely no', 'probably yes', 'probably no']",absolutely no,images/52.jpg
53,This part of the house where is the girl is is called?,"['dinning room', 'kitchen', 'sitting room', 'bedroom']",bedroom,images/53.jpg
54,They are likely having pizza at what kind of event?,"['family', 'gaming', 'academic', 'social']",academic,images/54.jpg
55,What are the people driving?,"['dirt bikes', 'monster truck', 'train', 'bus']",dirt bikes,images/55.jpg
56,The bus is likely driving through which American city?,"['chicago', 'new york', 'philadelphia', 'boston']",new york,images/56.jpg
57,What drink might these be good in?,"['beer', 'milkshake', 'gin', 'coffee']",milkshake,images/57.jpg
58,What type of parking is available?,"['truck', 'airplane', 'bicycle', 'rv']",bicycle,images/58.jpg
59,What direction is the narrow end of the flag pointing?,"['north', 'south', 'east', 'west']",west,images/59.jpg
60,In what nation is this scene located?,"['spain', 'china', 'italy', 'france']",france,images/60.jpg
61,What festive season are these fruits usually ingested?,"['liberty day', 'christmas', 'victory day', 'memorial day']",christmas,images/61.jpg
62,What are the boats shaped like?,"['trains', 'tanks', 'cars', 'planes']",cars,images/62.jpg
63,What is the metal basket near the net used to hold?,"['tennis balls', 'marbles', 'bats', 'towels']",tennis balls,images/63.jpg
64,What is likely to have happened?,"['dancing', 'eating', 'crashing', 'swimming']",crashing,images/64.jpg
65,Which vegetable on the pizza would be risky for someone with a certain allergy?,"['pepperoni', 'mushrooms', 'banana peppers', 'red peppers']",mushrooms,images/65.jpg
66,Which food has the least carbs?,"['soup', 'water', 'sandwich', 'buns']",soup,images/66.jpg
67,What vehicle is closest to the security guard?,"['silver car', 'two-wheeler', 'bluecar', 'dark car']",two-wheeler,images/67.jpg
68,Why are the men wearing yellow vests?,"['visibility', 'fashion', 'warmth', 'costume']",visibility,images/68.jpg
69,What is the skateboard balanced on?,"['post', 'air', 'chain', 'ground']",chain,images/69.jpg
70,What is the object in the middle called?,"['counter', 'island', 'table', 'desk']",island,images/70.jpg
71,What is the gray street made up of?,"['asphalt', 'sand', 'stone', 'wood']",stone,images/71.jpg
72,The name of the street is the same as the last name of what actress?,"['eva mendes', 'jessica biel', 'eva green', 'jessica alba']",jessica biel,images/72.jpg
73,How was the cake decorated?,"['drawn', 'piping tip', 'fork', 'sprinkled']",piping tip,images/73.jpg
74,The green object on the smaller boat is used as what?,"['cabin', 'restroom', 'dining', 'kitchen']",restroom,images/74.jpg
75,Who has the same color hair as this woman?,"['phoebe tonkin', 'maria sharapova', 'serena williams', 'nina dobrev']",maria sharapova,images/75.jpg
76,Why would you use this bag?,"['shop', 'travel', 'catch', 'preserve']",travel,images/76.jpg
77,What is being made by the man?,"['bow', 'kite', 'flag', 'anchor']",kite,images/77.jpg
78,What is the man in the gray suit on the left looking down to check?,"['phone', 'tablet', 'notebook', 'pager']",phone,images/78.jpg
79,Which ingredient is the most flavorful?,"['mushrooms', 'fish', 'plate', 'broccoli']",fish,images/79.jpg
80,What are these cases for?,"['clothing', 'instruments', 'clothing', 'food']",clothing,images/80.jpg
81,What pattern are the man's pants?,"['camouflage', 'plaid', 'floral', 'pinstripe']",camouflage,images/81.jpg
82,In which major city is the woman most likely sitting outdoors?,"['paris', 'new york', 'johannesburg', 'london']",paris,images/82.jpg
83,Where are these animals located?,"['museum', 'zoo', 'vet', 'wild']",wild,images/83.jpg
84,In what location is the motorcycle parked most likely?,"['store', 'sidewalk', 'home', 'expo']",home,images/84.jpg
85,What is the natural light streaming into the room through?,"['door', 'lightbulb', 'clock', 'candle']",clock,images/85.jpg
86,What is the white cream used for with the other foods?,"['drinking', 'cooking', 'dipping', 'heating']",dipping,images/86.jpg
87,What can be seen through the buildings?,"['clouds', 'birds', 'more buildings', 'sunlight']",sunlight,images/87.jpg
88,What type of audience is the man likely speaking to?,"['protest', 'single person', 'political rally', 'meeting']",meeting,images/88.jpg
89,What will be built here one day?,"['building', 'boat', 'car', 'house']",building,images/89.jpg
90,What seems to be contained in the nook underneath the TV?,"['bookshelf', 'lamp', 'fireplace', 'stereo']",fireplace,images/90.jpg
91,What problem will the people on the ferry face?,"['earthquake', 'raining', 'sunburn', 'tsunami']",raining,images/91.jpg
92,Why do the cattle have their heads down to the ground?,"['to eat', 'to drink', 'to play', 'to sleep']",to eat,images/92.jpg
93,What state was the licence plate issues?,"['connecticut', 'rhode island', 'new jersey', 'new york']",new york,images/93.jpg
94,What are the people in the picture doing?,"['skating', 'laughing', 'jogging', 'angry']",skating,images/94.jpg
95,What type of city district is this?,"['government', 'warehouse', 'commercial', 'residential']",commercial,images/95.jpg
96,What player is shown in the photo?,"['shortstop', 'catcher', 'position', 'first baseman']",position,images/96.jpg
97,Where are these cats located?,"['alley', 'home', 'vet', 'office']",home,images/97.jpg
98,What is prohibited near the round road sign with a red cross on a blue background?,"['parking', 'turning', 'speeding', 'waving']",parking,images/98.jpg
99,Where is this dog located?,"['office', 'home', 'zoo', 'vet']",home,images/99.jpg
100,Who is the woman dressed up as?,"['snow white', 'xena', 'maleficent', 'cinderella']",xena,images/100.jpg
101,What type of event might this be?,"['art show', 'car show', 'museum opening', 'race']",art show,images/101.jpg
102,What is the activity being performed?,"['show performance', 'training horse', 'riding horse', 'feeding horse']",show performance,images/102.jpg
103,What color are the walls in the room?,"['orange', 'yellow', 'blue', 'green']",green,images/103.jpg
104,In which way are the adults shown here likely related to the child?,"['grandparents', 'strangers', 'friends', 'sister']",grandparents,images/104.jpg
105,What is served at the counter here?,"['fines', 'ice cream', 'alcohol', 'chinese']",alcohol,images/105.jpg
106,What type of tree is in front of the blue building?,"['palm tree', 'bonsai tree', 'maple tree', 'pine tree']",palm tree,images/106.jpg
107,What did the man use to get into the air?,"['kite', 'blimp', 'balloon', 'plane']",kite,images/107.jpg
108,What type of cuisine would be purchased here?,"['chinese', 'russian', 'italian', 'mexican']",mexican,images/108.jpg
109,What type of bus is in traffic?,"['public', 'school', 'work', 'tour']",school,images/109.jpg
110,In what shape is the quiche cut?,"['triangles', 'stars', 'circles', 'rectangles']",triangles,images/110.jpg
111,What kind of coating has been used?,"['polish', 'frosting', 'paint', 'varnish']",frosting,images/111.jpg
112,Which century was the item the woman is holding up invented in?,"['twentieth', 'twenty first', 'tenth', 'eighteenth']",twentieth,images/112.jpg
113,What genus of animal is visible here?,"['canine', 'porcine', 'feline', 'rodent']",feline,images/113.jpg
114,What brand is the red truck?,"['dodge', 'chevy', 'ford', 'toyota']",dodge,images/114.jpg
115,This meal was likely prepared using which method?,"['oven', 'crockpot', 'grill', 'stovetop']",grill,images/115.jpg
116,The cat appears to be what type?,"['feral', 'housecat', 'pregnant', 'sheltered']",housecat,images/116.jpg
117,What limits forward navigation?,"['traffic warden', 'road accident', 'red light', 'bad weather']",red light,images/117.jpg
118,What are the zebras doing?,"['grazing', 'sleeping', 'drinking', 'walking']",grazing,images/118.jpg
119,Why are the people behind the fence there?,"['coaching', 'spectating', 'relaxing', 'taking photos']",spectating,images/119.jpg
120,Which piece of clothing is unique to one person here?,"['collar', 'shirt', 'tie', 'vest']",vest,images/120.jpg
121,What type of container is the straw sticking out of?,"['pint glass', 'martini glass', 'mason jar', 'vase']",mason jar,images/121.jpg
122,A person following what kind of diet is least likely to eat this meal?,"['atkins', 'weight watchers', 'vegetarian', 'ketogenic']",vegetarian,images/122.jpg
123,What is placed on the ground that will eventually turn yellow?,"['bananas', 'pears', 'tomatoes', 'apples']",bananas,images/123.jpg
124,What is in the bottles?,"['beer', 'liquer', 'water', 'juice']",liquer,images/124.jpg
125,Which food on the plate grows in the ground?,"['chicken', 'carrot', 'dried cranberry', 'bread']",carrot,images/125.jpg
126,What theme park attraction are they most likely visiting?,"['disney world', 'disneyland', 'universal studios', 'six flags']",disneyland,images/126.jpg
127,What is in the photo above the TV?,"['cat', 'boy', 'woman', 'dog']",woman,images/127.jpg
128,The temperature outside is likely what range?,"['below freezing', 'hot', 'cool', 'very humid']",hot,images/128.jpg
129,What kind of weather was there?,"['hail', 'rain', 'sun', 'snow']",rain,images/129.jpg
130,What is the facade that the couple is being interviewed in likely designed to be?,"['radio', 'camera', 'building', 'tv']",tv,images/130.jpg
131,What level of a house is this room located in?,"['basement', 'ground', 'second', 'third']",basement,images/131.jpg
132,What type of birds are these?,"['captive', 'desert', 'arctic', 'aquatic']",aquatic,images/132.jpg
133,What country headquarters this plane company?,"['canada', 'japan', 'usa', 'uk']",usa,images/133.jpg
134,What other sport besides ping pong is played by someone in this household?,"['lacrosse', 'hockey', 'baseball', 'tennis']",tennis,images/134.jpg
135,Which team is on offense?,"['red', 'neither', 'blue', 'both']",red,images/135.jpg
136,What object should never get wet?,"['laptop', 'computer monitor', 'tv', 'jacket']",laptop,images/136.jpg
137,What do the larger elephants still have intact?,"['tusks', 'pythons', 'horns', 'antlers']",tusks,images/137.jpg
138,What kind of room is on the left of the yellow train?,"['nursery room', 'bathroom', 'changing room', 'waiting room']",waiting room,images/138.jpg
139,Which vehicle is closest to the rectangular blue sign?,"['blue car', 'red bus', 'motorcycle', 'light car']",red bus,images/139.jpg
140,What vehicle is shown in the photo?,"['airplane', 'bus', 'train', 'car']",airplane,images/140.jpg
141,What kind of bag is this?,"['suitcase', 'backpack', 'purse', 'briefcase']",suitcase,images/141.jpg
142,Why are the wood platforms strapped to the elephants?,"['to punish', 'to plow', 'to groom', 'to ride']",to ride,images/142.jpg
143,What is the train riding on?,"['street', 'train tracks', 'clay', 'grass']",train tracks,images/143.jpg
144,What is the man taking?,"['walk', 'picture', 'watch', 'pee']",picture,images/144.jpg
145,What item is on the bottom shelf near the TV?,"['cars', 'pictures', 'swords', 'speakers']",speakers,images/145.jpg
146,What city is mentioned on the front of the bus?,"['new york', 'los angeles', 'chicago', 'seattle']",seattle,images/146.jpg
147,What expression are these children making?,"['confused', 'smiling', 'crying', 'angry']",smiling,images/147.jpg
148,What video game system is the boy playing on?,"['nintendo wii', 'playstation 3', 'xbox one', 'playstation 4']",nintendo wii,images/148.jpg
149,What does Fidelity specialize in?,"['travel', 'insurance', 'investments', 'rentals']",investments,images/149.jpg
150,Which is the fruit?,"['meat', 'chocolate', 'nuts', 'orange slices']",orange slices,images/150.jpg
151,What is the green box near the red stapler on the desk used to hold?,"['tissues', 'pins', 'pens', 'pencils']",tissues,images/151.jpg
152,How many bake pans were utilized?,"['one', 'none', 'four', 'three']",four,images/152.jpg
153,What are some of the zebras standing in in the middle of the photo?,"['grass', 'water', 'mud', 'rocks']",water,images/153.jpg
154,How many people have their arms around the woman?,"['four', 'one', 'five', 'three']",one,images/154.jpg
155,What city name is shown in the background?,"['los angeles', 'riverton', 'new york', 'omaha']",omaha,images/155.jpg
156,What is the dark colored car to the far left in the middle doing?,"['turning left', 'turning right', 'parking', 'reversing']",turning left,images/156.jpg
157,Are the people boarding this train?,"['absolutely no', 'probably yes', 'probably no', 'yes']",absolutely no,images/157.jpg
158,What is purpose of this wooden board?,"['entertaining kids', 'decoration', 'street sign', 'advertisement']",advertisement,images/158.jpg
159,What video game system is the man playing?,"['xbox one', 'playstation 5', 'nintendo wii', 'atari']",nintendo wii,images/159.jpg
160,Where are the buses with blue trim probably assembled?,"['stadium', 'lot', 'lane', 'terminal']",terminal,images/160.jpg
161,What kind of pizza is this?,"['margarita', 'deep dish', 'pepperoni', 'loaded']",margarita,images/161.jpg
162,When it comes to the child what is he or she doing?,"['roller blading', 'kicking', 'karate', 'skateboarding']",skateboarding,images/162.jpg
163,What is the small house behind the cattle made up of?,"['plastic', 'reef', 'stone', 'thatch']",stone,images/163.jpg
164,What type of transportation is shown?,"['rail', 'road', 'water', 'air']",rail,images/164.jpg
165,What is the little girl doing?,"['drinking', 'yelling', 'eating', 'singing']",eating,images/165.jpg
166,What type of area is shown?,"['rural', 'medical', 'commercial', 'residential']",commercial,images/166.jpg
167,What appliance is unhooked and placed by the sink?,"['dishwasher', 'stove/oven', 'trash compactor', 'icemaker']",stove/oven,images/167.jpg
168,Which food on the dish is a meat?,"['broccoli', 'turkey', 'rice', 'green beans']",turkey,images/168.jpg
169,Which body part of the cow could you look at to find out which identity and/or owner the cow has?,"['ear', 'foot', 'rump', 'knee']",ear,images/169.jpg
170,Who is the manufacturer of this laptop?,"['apple', 'hp', 'dell', 'compaq']",hp,images/170.jpg
171,What is the person using to eat the pizza?,"['knife', 'spoon', 'none', 'fork']",fork,images/171.jpg
172,What are the white rocks for?,"['breaking', 'prevent fire', 'water retainment', 'decoration']",prevent fire,images/172.jpg
173,What animal has similar color to the flower in the picture on the left side of the room?,"['koala', 'rooster', 'zebra', 'panda']",rooster,images/173.jpg
174,What other animal is this animal traditionally an enemy of?,"['tigers', 'cats', 'elephants', 'mice']",cats,images/174.jpg
175,What left the blue marks on the ground near the fire hydrant?,"['paint', 'wind', 'fruit', 'animals']",paint,images/175.jpg
176,What kind of a person usually eats food like this?,"['obese', 'competitive eater', 'glutton', 'nutritionist']",nutritionist,images/176.jpg
177,Which person would be the coldest?,"['left', 'middle', 'right', 'none']",middle,images/177.jpg
178,What pattern is on the bottom of the skateboard?,"['zigzag', 'plaid', 'stripes', 'polka dots']",polka dots,images/178.jpg
179,How many drinkers are sucking down their beverages?,"['three', 'two', 'none', 'one']",three,images/179.jpg
180,What does the taller bottle contain?,"['beer', 'juice', 'champagne', 'water']",water,images/180.jpg
181,How do these people know each other?,"['coworkers', 'spouses', 'siblings', 'classmates']",classmates,images/181.jpg
182,What might you mix with the alcoholic drink named?,"['milk', 'coke', 'beer', 'gin']",coke,images/182.jpg
183,What type of vehicle is this?,"['construction', 'cargo', 'watercraft', 'passenger']",passenger,images/183.jpg
184,What material are the white cups?,"['wood', 'glass', 'paper', 'plastic']",paper,images/184.jpg
185,What color is the floor?,"['brown', 'green', 'blue', 'purple']",brown,images/185.jpg
186,What is placed inside this meter?,"['paper', 'paint', 'water', 'money']",money,images/186.jpg
187,What appliance is shown?,"['dryer', 'microwave', 'washer', 'toaster']",toaster,images/187.jpg
188,Why does the couple standing in the boat?,"['fun', 'reduce stress', 'tradition', 'spend time']",spend time,images/188.jpg
189,What cultural clothing are the women wearing?,"['vietnamese', 'korean', 'chinese', 'japanese']",japanese,images/189.jpg
190,How did the animal on the car arrive there?,"['horseback', 'uber', 'greyhound', 'flying']",flying,images/190.jpg
191,What is in the glass?,"['juice', 'milk', 'white wine', 'red wine']",red wine,images/191.jpg
192,What area of the house is this in?,"['kitchen', 'bathroom', 'basement', 'bedroom']",basement,images/192.jpg
193,The top shelf has many books of the same author of what genre?,"['romance', 'history', 'biography', 'thriller fiction']",thriller fiction,images/193.jpg
194,How many women are in the picture?,"['three', 'two', 'four', 'eight']",four,images/194.jpg
195,The couch is located where?,"['under', 'nowhere', 'right', 'left']",right,images/195.jpg
196,What type of travel is this vehicle for?,"['air', 'road', 'water', 'rail']",air,images/196.jpg
197,Where are the people laying?,"['field', 'park', 'beach', 'bed']",beach,images/197.jpg
198,What are the horses being used for?,"['rodeo', 'transportation', 'racing', 'farming']",farming,images/198.jpg
199,What kind of door is open so she can sit inside?,"['fridge', 'office', 'freezer', 'house']",fridge,images/199.jpg
200,What is the woman using the umbrella to protect herself from?,"['rain', 'wind', 'sun', 'snow']",sun,images/200.jpg
201,What property does the blue and green fence have?,"['soft', 'hard', 'wet', 'hot']",soft,images/201.jpg
202,What occasion are the bears probably sitting at the table enjoying?,"['birthday', 'tea party', 'holiday dinner', 'wedding']",holiday dinner,images/202.jpg
203,Why is the cow tied to the pole?,"['to hit', 'to kill', 'to ride', 'to restrain']",to restrain,images/203.jpg
204,What super hero is the cake based off?,"['spiderman', 'batman', 'iron man', 'superman']",spiderman,images/204.jpg
205,What is the man with the black glove about to do?,"['push ups', 'sit ups', 'throw ball', 'dive']",throw ball,images/205.jpg
206,Why is his arm up in the air?,"['signal', 'balance', 'wave', 'reach']",reach,images/206.jpg
207,What animal is next to the baby animal?,"['rooster', 'chicken', 'cow', 'hen']",cow,images/207.jpg
208,What do people do with the items purchased at this corner?,"['sell them', 'eat them', 'wear them', 'display them']",eat them,images/208.jpg
209,Which snowboarder will have a harder time standing up?,"['both', 'neither', 'red board', 'white board']",white board,images/209.jpg
210,If this is a grand slam which must it be?,"['wimbledon', 'french open', 'australian open', 'us open']",wimbledon,images/210.jpg
211,What is hanging on the right wall next the desk?,"['towels', 'diplomas', 'pictures', 'coats']",coats,images/211.jpg
212,What fruit is the clock shaped as?,"['orange', 'pineapple', 'apple', 'pear']",apple,images/212.jpg
213,What is the most likely age of the person?,"['eight', '24', '90', '52']",90,images/213.jpg
214,What kind of bus is this?,"['tour bus', 'cargo bus', 'public transport', 'school bus']",public transport,images/214.jpg
215,Which vegetable in this soup is heart shaped?,"['lima bean', 'carrot', 'onion', 'tomato']",carrot,images/215.jpg
216,Where were these pieces of fruit likely purchased?,"['roadside stand', 'online', 'grocery store', 'farm']",grocery store,images/216.jpg
217,These horses are used for what?,"['breeding', 'plowing', 'racing', 'show']",plowing,images/217.jpg
218,What type of shelves are these?,"['bakery', 'book', 'grocery', 'shoe']",bakery,images/218.jpg
219,What type of venue might this be?,"['town hall', 'airport', 'concert hall', 'train station']",airport,images/219.jpg
220,Which vehicle is closest to the transport hub?,"['red car', 'truck trailer', 'orange tractor', 'truck cab']",orange tractor,images/220.jpg
221,What are the people tying?,"['score', 'shoes', 'kite', 'bowtie']",kite,images/221.jpg
222,What is the man riding?,"['motorcycle', 'skateboard', 'bicycle', 'scooter']",skateboard,images/222.jpg
223,Who might be helping the girl?,"['no one', 'parents', 'other kids', 'priest']",parents,images/223.jpg
224,What type of container is near the benches?,"['ticket', 'trash', 'food', 'water']",trash,images/224.jpg
225,What type of sign is visible?,"['directional', 'traffic', 'price', 'brand']",traffic,images/225.jpg
226,What other sports might be played on this surface?,"['badminton', 'golf', 'snowboarding', 'tennis']",snowboarding,images/226.jpg
227,Given the position of the bat and ball the batter most likely?,"['missed', 'fouled', 'popped up', 'grounded out']",missed,images/227.jpg
228,What industry is this man likely working in?,"['travel', 'construction', 'medical', 'restaurant']",restaurant,images/228.jpg
229,What is needed to control the large object?,"['computer', 'battery', 'string', 'remote']",string,images/229.jpg
230,What kind of fruit is used for decorating?,"['mangoes', 'apples', 'bananas', 'oranges']",oranges,images/230.jpg
231,Where does this fruit grow?,"['logs', 'sea', 'trees', 'ground']",trees,images/231.jpg
232,What indicates a baby is present?,"['mother', 'pacifier', 'crib', 'cake']",pacifier,images/232.jpg
233,What social activity might this person engage in at night this day?,"['drinking', 'marriage ceremony', 'political rally', 'business meeting']",drinking,images/233.jpg
234,What leavening is used in this item?,"['salt', 'baking powder', 'sourdough starter', 'yeast']",yeast,images/234.jpg
235,What meal might be eaten at the time shown on the clock?,"['supper', 'tea', 'breakfast', 'elevenses']",tea,images/235.jpg
236,What is the relationship of the people at the back to the man wearing an orange hat?,"['students', 'family members', 'friends', 'customers']",customers,images/236.jpg
237,What are these women controlling?,"['game', 'car', 'robot', 'plane']",game,images/237.jpg
238,How many different devices can show a picture?,"['three', 'one', 'four', 'two']",four,images/238.jpg
239,What kind of bike is this?,"['unicycle', 'vespa', 'bmx', 'motorcycle']",vespa,images/239.jpg
240,What type of dinnerware do the people seem to be using?,"['porcelain', 'wooden', 'steel', 'disposable']",disposable,images/240.jpg
241,Why is the man holding an umbrella?,"['hail', 'rain', 'sun', 'snow']",rain,images/241.jpg
242,This railcar is travelling at what position relative to the street-level?,"['at streer-level', 'elevated', 'underground', 'under water']",underground,images/242.jpg
243,The guy on the beach towel is readying the item to do what with it most likely?,"['wear', 'lie', 'fly', 'swim']",fly,images/243.jpg
244,What might be drunk from this glasses?,"['coke', 'wine', 'juice', 'beer']",wine,images/244.jpg
245,Which territory is this area located?,"['russia', 'britain', 'canada', 'america']",britain,images/245.jpg
246,What type of region is this likely?,"['farm', 'coastal', 'deserted', 'city']",city,images/246.jpg
247,The man is looking in what direction?,"['up', 'behind', 'sideways', 'down']",up,images/247.jpg
248,This person in this picture is likely to be a?,"['woman', 'little boy', 'man', 'little girl']",man,images/248.jpg
249,Which flavor most closely describes the bright yellow stuff?,"['bland', 'meaty', 'sweet', 'cheesy']",sweet,images/249.jpg
250,What city is this location?,"['taipei', 'osaka', 'gdansk', 'shanghai']",osaka,images/250.jpg
251,What is the name of the sport the man is participating in?,"['waterboarding', 'sailboating', 'waterskiing', 'skateboarding']",waterboarding,images/251.jpg
252,What is the shape on top of the cake?,"['dirt', 'peanut', 'flower', 'mm']",flower,images/252.jpg
253,How many guests have checked into this room?,"['four', 'none', 'none', 'six']",none,images/253.jpg
254,What type of vehicles are sitting outside of the store?,"['car', 'motorcycle', 'bicycle', 'train']",motorcycle,images/254.jpg
255,What is the number mentioned in the t shirt of the girl who is playing?,"['21', '13', '31 and', '51']",21,images/255.jpg
256,Where is the horse currently located?,"['barn', 'farm', 'house', 'field']",barn,images/256.jpg
257,What is the person on this vase doing?,"['fighting', 'chariot racing', 'horse training', 'horse theft']",chariot racing,images/257.jpg
258,What kind of show is the man on?,"['cooking show', 'reality show', 'talk show', 'movie']",talk show,images/258.jpg
259,What animals are in the front of the photo?,"['horse', 'cat', 'dog', 'elephant']",horse,images/259.jpg
260,What treat can be made with this fruit and ice cream?,"['cone', 'banana split', 'macaroon', 'macadamia cookies']",banana split,images/260.jpg
261,What are the ski poles used for?,"['fashion', 'pushing off', 'ice picks', 'snow shovelling']",pushing off,images/261.jpg
262,What is the rectangular object in the back left used to do?,"['blend food', 'watch tv', 'store bread', 'cook food']",watch tv,images/262.jpg
263,Which car hold the most people?,"['black car', 'white van', 'blue car', 'silver car']",white van,images/263.jpg
264,Where do the men work?,"['bank', 'library', 'airport', 'restaurant']",airport,images/264.jpg
265,Why is the man jumping on the red pipe?,"['to dodge', 'to sit', 'to grind', 'to roll']",to grind,images/265.jpg
266,Which height he jumps?,"['11 inch', '16 inch', '17inch', '10 inch']",16 inch,images/266.jpg
267,How many vehicles have their lights on?,"['three', 'one', 'none', 'two']",two,images/267.jpg
268,What comic book hero is sitting on top of the TV?,"['spiderman', 'wonder woman', 'batman', 'superman']",spiderman,images/268.jpg
269,What type of league is the batter in?,"['little league', 'high school', 'minor league', 'intramural']",little league,images/269.jpg
270,What time in approximately 31 minutes?,"['110', 'midnight', '1000', 'midday']",1000,images/270.jpg
