index,question_id,question,correct_answers,majority_answer,category,image_path,predicted_answer,is_correct,rationale,hypothesis,support,entail_prob,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility,generated_choices,alternative_hypotheses,contrastive,alt_entail_probs,contrastiveness_score
10,VizWiz_val_00000124,What drink is this?,"['hint', 'bottle flavored water on desk', 'hint blackberry', 'blackberry hint', 'blackberry', 'blackberry flavored water']",hint blackberry,other,images/124.jpg,blackberry hint water,1.0,"The image shows a bottle of ""Hint"" brand water, which is known for its flavored varieties. The label on the bottle indicates that it contains blackberry flavoring, as well as noting ""NOT SUGAR"" and ""DRINK WATER,"" which suggests it is a sugar-free flavored water product. The presence of the blackberry flavoring aligns with the label's description, confirming that this is indeed a blackberry-flavored Hint water.",The drink is blackberry hint water.,True,0.999917269,1,"['Is the bottle labeled with the ""Hint"" brand?', 'Does the label on the bottle indicate that it contains blackberry flavoring?', 'Does the label on the bottle include the words ""NOT SUGAR""?', 'Does the label on the bottle include the words ""DRINK WATER""?']","['yes', 'yes', 'yes', 'yes']",1.0,0.482770175,"['sparkling water', 'vitamin water', 'soda can']","['This drink is sparkling water.', 'The drink is vitamin water.', 'This drink is a soda can.']",True,"[0.00020372513972688466, 0.00023436456103809178, 2.6551307996669493e-07]",0.999561800620465
11,VizWiz_val_00000127,What does the screen say?,"['windows 7 home premium', 'windows', 'windows home premium']",windows 7 home premium,other,images/127.jpg,windows 7 home premium,1.0,"The image shows a computer screen displaying the Windows 7 Home Premium setup or installation process. The text on the screen reads ""Windows 7 Home Premium"" and includes a prompt asking to enter a name for your computer. This is part of the Windows 7 setup process, where users are prompted to provide a name for their computer before proceeding with the installation. The screen also includes copyright information at the bottom, indicating that this is a Microsoft product from 2013.",The screen says Windows 7 Home Premium.,False,0.055307467,1,"['Does the screen display the text ""Windows 7 Home Premium""?  ', 'Is there a prompt on the screen asking to enter a name for your computer?  ', 'Does the screen include copyright information at the bottom?  ', 'Is the copyright information on the screen indicating that this is a Microsoft product from 2013?']","['yes', 'yes', 'yes', 'no']",0.75,0.474898994,"['microsoft office', 'windows 10', 'home edition']","['The screen says Microsoft Office.', 'The screen says Windows 10.', 'The screen says home edition.']",False,"[0.0006327854353003204, 1.581260221428238e-05, 0.08219867944717407]",0.4003298417748482
12,VizWiz_val_00000145,Can you see the steak on this menu?,"['yes', 'yes 18$']",yes,yes/no,images/145.jpg,no,0.0,"The image shows a close-up of a printed menu, but the text is not entirely clear due to the angle and lighting. The visible part of the menu lists various barbecue dishes, including ""Beefy Barbecue Ribs,"" ""Big Bill's Baby Back Ribs,"" and ""Cowboy Combo Blow Out."" There is no visible steak on the menu in this image. The text appears to be about barbecue favorites, and while it mentions ""Steak,"" there is no specific mention of a steak dish on the visible portion.",You cannot see the steak on this menu.,True,0.996422172,1,"['Is the menu in the image a printed menu?', 'Is the text on the menu unclear due to the angle and lighting?', 'Does the visible part of the menu list ""Beefy Barbecue Ribs""?', 'Does the visible part of the menu list ""Big Bill\'s Baby Back Ribs""?', 'Does the visible part of the menu list ""Cowboy Combo Blow Out""?', 'Is there no specific mention of a steak dish on the visible portion of the menu?']","['yes', 'yes', 'yes', 'no', 'yes', 'no']",0.666666667,0.469346941,"['no', 'chicken 15$', 'pasta 12$']","['You cannot see the steak on this menu, but you can see chicken for 15$.', 'You cannot see the steak on this menu, but you can see pasta for 12$.']",True,"[0.04123002663254738, 0.0034606170374900103]",0.957074158537492
13,VizWiz_val_00000154,What does this coupon say on it?,"['buy 1 pizza at menu price receive on pizza equal lesser value free expires 12 31 11', 'buy 1 pizza at menu price receive 1 equal lesser value free', 'buy 1 pizza at menu price receive 1 pizza equal lesser value free expires 12 31 11', 'buy 1 pizza', 'buy 1 pizza get 1 free', 'buy 1 get 1 free on pizza', 'buy 1 pizza at menu price']",buy 1 pizza at menu price receive 1 pizza equal lesser value free expires 12 31 11,other,images/154.jpg,buy one pizza at menu price & receive one pizza of equal or lesser value free,1.0,"The coupon in the image states: ""Buy One Pizza at Menu Price & Receive One Pizza of Equal or Lesser Value FREE."" It also includes an expiration date, which is ""Expires 12-31-11.""",The coupon says to buy one pizza at menu price and receive one pizza of equal or lesser value free.,False,0.326056808,1,"['Does the coupon state ""Buy One Pizza at Menu Price & Receive One Pizza of Equal or Lesser Value FREE""?', 'Does the coupon include an expiration date of ""Expires 12-31-11""?']","['yes', 'yes']",1.0,0.604219913,"['buy 2 pizzas', 'free delivery', 'valid until 12 31 12']","['The coupon says ""buy 2 pizzas"" on it.', 'The coupon says free delivery on it.', 'The coupon says ""valid until 12 31 12"" on it.']",True,"[0.006840520538389683, 0.0013478307519108057, 0.07293327897787094]",0.8007713016111526
14,VizWiz_val_00000161,What is in this picture?,"['tv', 'tv screen car on clock other furniture', 'car', 'living room', 'clock television tv stand rug electronic equipment', 'clock television below on low table', 'clock tv basket rug', 'television']",tv,other,images/161.jpg,tv,1.0,"The image shows a television set placed on top of a wooden stand or cabinet. The TV is turned on, displaying what appears to be an image of a car and some text or graphics. To the left of the TV, there is a wall clock mounted on the yellow-painted wall. The room also contains other items such as a basket and what looks like a stack of folded clothes or blankets on the top shelf of the cabinet. The overall setting appears to be a living room or similar indoor space.",The picture contains a tv.,True,0.99974376,1,"['Is there a television set placed on top of a wooden stand or cabinet?', 'Is the TV turned on and displaying an image of a car?', 'Is there a wall clock mounted on the yellow-painted wall to the left of the TV?', 'Is there a basket in the room?', 'Is there a stack of folded clothes or blankets on the top shelf of the cabinet?']","['yes', 'yes', 'yes', 'yes', 'no']",0.8,0.432620466,"['sofa', 'bookshelf', 'painting']","['The picture contains a sofa.', 'The picture contains a bookshelf.', 'The picture contains a painting.']",True,"[0.08344117552042007, 0.0003071427927352488, 0.0013038708129897714]",0.9215961405509869
15,VizWiz_val_00000191,What are the letters to enter in to obtain the prize?,['cjo'],cjo,other,images/191.jpg,cjo,1.0,"The image shows a webpage with a congratulatory message and a prompt to enter something. The text in the center of the image reads ""cjo,"" which is likely a CAPTCHA or a code that needs to be entered as part of the process. This is common on websites where users need to prove they are not a robot before proceeding with an action, such as claiming a prize. The letters ""cjo"" are the code that needs to be entered in order to obtain the prize mentioned in the message.",The letters to enter in to obtain the prize are cjo.,False,0.065306157,1,"['Does the image show a webpage with a congratulatory message?', 'Is there a prompt to enter something on the webpage?', 'Does the text in the center of the image read ""cjo""?']","['yes', 'yes', 'yes']",1.0,0.550911069,"['bjo', 'cjoa', 'cjo1']","['The letters to enter in to obtain the prize are bjo.', 'The letters to enter in to obtain the prize are cjoa.', 'The letters to enter in to obtain the prize are cjo1.']",False,"[0.016721146181225777, 0.04216654226183891, 0.06681232899427414]",0.3419059995959672
16,VizWiz_val_00000192,What is this?,"['room', 'television', 'shoes', 'tv', 'computer', 'monitor', 'tv screen', 'television screen']",tv,other,images/192.jpg,bedroom,0.0,"The image depicts a room that appears to be a bedroom, based on the presence of a bed with patterned bedding in the foreground. There is also a television mounted on the wall, which suggests that this room serves as both a sleeping and entertainment space. The presence of personal items like clothing, bags, and other miscellaneous objects scattered around the room further supports this conclusion. The overall layout and items in the image are consistent with a bedroom setting.",This is a bedroom.,True,0.990299702,1,"['Is there a bed with patterned bedding in the foreground of the image?', 'Is there a television mounted on the wall in the image?', 'Are there personal items like clothing and bags scattered around the room in the image?']","['yes', 'yes', 'yes']",1.0,0.53962338,"['sofa', 'bookshelf', 'painting']","['This is a sofa.', 'This is a bookshelf.', 'This is a painting.']",True,"[0.00014660286251455545, 0.007042459677904844, 0.01910572499036789]",0.9741344382626708
17,VizWiz_val_00000196,What is this a picture of?,"['back chair woman in', 'woman', 'back boy', 'person sitting in chair', 'person in chair watching something', 'someone sitting at banquet', 'person sitting in front stage', 'person sitting in chair in auditorium stage', 'woman sitting theater']",woman,other,images/196.jpg,person,0.5,"The image shows the back view of a person sitting in what appears to be an indoor setting, possibly a restaurant or café. The individual is wearing a pink shirt and has short hair. They are seated at a table with a red chair, and there is some furniture in the background that includes what looks like a metal railing or partition. The setting suggests a casual dining environment, and the person seems to be engaged in an activity at the table.",This is a picture of a person.,True,0.944713295,1,"['Is the person wearing a pink shirt?', 'Does the person have short hair?', 'Is the person seated at a table with a red chair?', 'Is there furniture in the background that includes a metal railing or partition?']","['yes', 'yes', 'no', 'yes']",0.75,0.366097361,"['man standing', 'empty stage', 'empty chair']","['This is a picture of a man standing.', 'This is a picture of an empty stage.', 'This is a picture of an empty chair.']",True,"[1.2853822681790916e-06, 1.9068242806952185e-07, 1.1705164979503024e-05]",0.9999860475703737
18,VizWiz_val_00000197,Can you please tell me the 1-800 number on this card?,"['800 735 2929', '1 877 328 9677 1 80 732 2929', '1 800 735 2929', '1 877 328 9677', '8007352929', '18773289677', '18007352929']",1 877 328 9677,other,images/197.jpg,1-800-735-2929,1.0,"The 1-800 number provided on the card is indeed 1-800-735-2929. This number is listed at the bottom of the image, which appears to be a voucher or card from an organization related to the USDA (United States Department of Agriculture), as indicated by the text on the card. The number is associated with the Telecommunications Relay Relay Service for hearing/speech impaired individuals, as mentioned in the text on the card.",The 1-800 number on this card is 1-800-735-2929.,False,0.149283171,1,"['Is the number 1-800-735-2929 listed at the bottom of the card in the image?', 'Does the card in the image have text indicating it is related to the USDA?', 'Is there text on the card mentioning the Telecommunications Relay Service for hearing/speech impaired individuals?']","['yes', 'yes', 'yes']",1.0,0.408096939,"['800 123 4567', '1 800 123 4567', '877 123 4567']","['The 1-800 number on this card is 800 123 4567.', 'The 1-800 number on this card is 1 800 123 4567.', 'The 1-800 number on this card is 877 123 4567.']",False,"[0.10617975890636444, 0.11930549889802933, 0.22815652191638947]",0.24759826379972386
19,VizWiz_val_00000203,Is the laptop screen open?,"['yes', 'laptop open']",yes,yes/no,images/203.jpg,yes,1.0,"The image shows a laptop with its screen partially visible, but the screen is not fully in view. The glare and lighting make it difficult to discern specific details, but the presence of a keyboard and part of the screen suggest that the laptop is indeed open. The answer ""yes"" to whether the laptop screen is open seems reasonable based on what can be observed.",The laptop screen is open.,True,0.989521027,1,"['Is the laptop screen partially visible in the image?', 'Is there a keyboard visible in the image?', 'Is there a glare or lighting issue affecting the visibility of the laptop screen?']","['yes', 'yes', 'yes']",1.0,0.518467307,"['closed', 'screen off', 'laptop shut']","['The laptop screen is closed.', 'The laptop screen is off.', 'The laptop screen is shut.']",True,"[3.462942856913287e-07, 0.0008385413675568998, 6.648971293543582e-07]",0.9991522758717377
20,VizWiz_val_00000208,Do the clouds look like storm clouds?,"['yes', 'no']",yes,yes/no,images/208.jpg,yes,1.0,"The image shows a residential area with houses, parked cars, and a cloudy sky. The clouds appear to be large and dark, which can sometimes indicate the possibility of stormy weather. However, without additional context such as lightning, thunder, or heavy rain, it's not possible to definitively determine if these clouds are storm clouds. The appearance of the clouds alone is a potential indicator, but it's not conclusive evidence.

The reasoning behind this answer involves the observation of cloud characteristics that are often associated with storm clouds, such as their size and darkness. However, it's important to note that cloud appearance alone is not a definitive indicator of stormy weather. Other factors, such as wind patterns and atmospheric pressure, would be needed to make a more accurate assessment.",The clouds do look like storm clouds.,True,0.991580904,1,"['Are the clouds in the image large?', 'Are the clouds in the image dark?']","['yes', 'yes']",1.0,0.778090119,"['rainy', 'clear sky', 'sunset']","['The clouds look like rainy storm clouds.', 'The clouds look like a clear sky.', 'The clouds look like sunset clouds.']",True,"[0.41917234659194946, 6.424596676879446e-08, 9.469899850955699e-06]",0.7028686287498824
21,VizWiz_val_00000209,Do you see steak on this menu?,['yes'],yes,yes/no,images/209.jpg,yes,1.0,"The image shows a close-up of what appears to be a menu or recipe sheet. The text is partially visible, and while there are references to ""Steaks"" in the visible portion of the text, it is not possible to definitively confirm that steak is on this menu based solely on the image. The text also includes references to ""Smoked Boar"" and ""Barbeque Sandwiches,"" which are not related to steak. Therefore, while there is a mention of steaks in the text, it cannot be confirmed that steak is on this menu.","Yes, I see steak on this menu.",False,0.037697103,1,"['Is there a reference to ""Steaks"" in the visible portion of the text?', 'Does the text include references to ""Smoked Boar""?', 'Does the text include references to ""Barbeque Sandwiches""?']","['yes', 'no', 'yes']",0.666666667,0.307663709,"['chicken', 'pasta', 'salad']","['You see chicken on this menu.', 'You see pasta on this menu.', 'You see salad on this menu.']",True,"[0.0013898779870942235, 0.0007517288904637098, 0.006499295122921467]",0.8135245140486733
22,VizWiz_val_00000217,What is the person doing?,"['looking at computer monitor', 'sitting at desktop facing away', 'typing', 'on computer', 'working on computer', 'they on computer', 'watching video', 'looking at computer', 'looking at computer screen']",working on computer,other,images/217.jpg,working,0.5,"The image shows a person sitting at a desk with a computer in front of them. The individual appears to be engaged in an activity that involves the use of a computer, which is commonly associated with working. The presence of papers and other items on the desk further suggests that they are involved in some form of work-related task. Therefore, it is reasonable to conclude that the person is working based on their posture and the context of the environment.",The person is working.,True,0.998868644,1,"['Is the person sitting at a desk with a computer in front of them?  ', 'Are there papers and other items on the desk?  ', 'Does the person appear to be engaged in an activity involving the use of a computer?']","['yes', 'yes', 'yes']",1.0,0.450861394,"['reading a book', 'drinking coffee', 'talking on phone']","['The person is reading a book.', 'The person is drinking coffee.', 'The person is talking on phone.']",True,"[1.3363882089834078e-07, 0.00032950876629911363, 5.244063459031167e-07]",0.9996695684503489
23,VizWiz_val_00000234,Can you tell us what the screen says?,"['yes', 'windows 7', 'windows account log in', 'type user name type computer name', 'windows 7 home premium dell', 'yes windows 7', 'windows 7 home premium', 'set up windows 7 login', 'windows 7 home premium input for user name']",windows 7 home premium dell,other,images/234.jpg,windows 7 home premium,1.0,"The image shows a screen from the Windows 7 installation process, specifically during the ""Set Up Windows"" phase. The text on the screen reads:

- At the top, it says ""Set Up Windows.""
- Below that is a message: ""Choose a user name for your account and name your computer to distinguish it on the network.""
- There are two text fields:
  - The first one is labeled ""Type a user name (for example, John):"" with the text ""0q"" entered.
  - The second one is labeled ""Type a computer name:"" with the text ""0-PC"" entered.
  
The Dell logo is visible at the bottom, indicating that this installation might be on a Dell computer. The text ""Windows 7 Home Premium"" is also displayed prominently at the top of the screen, confirming that this is a Windows 7 Home Premium installation.",The screen says Windows 7 Home Premium.,False,0.011664719,1,"['Does the screen display the text ""Set Up Windows"" at the top?', 'Is there a message on the screen that says ""Choose a user name for your account and name your computer to distinguish it on the network""?', 'Is there a text field labeled ""Type a user name (for example, John):"" with ""0q"" entered in it?', 'Is there a text field labeled ""Type a computer name:"" with ""0-PC"" entered in it?', 'Is the Dell logo visible at the bottom of the screen?', 'Does the screen prominently display ""Windows 7 Home Premium"" at the top?']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0,0.614875197,"[""'linux login'"", ""'macOS setup'"", ""'ubuntu screen'""]","[""The screen says 'linux login'."", ""The screen says 'macOS setup.'"", ""The screen says 'ubuntu screen'.""]",True,"[1.0843558584383572e-07, 9.512081788898286e-09, 8.954579300279875e-08]",0.9999822121930428
24,VizWiz_val_00000262,"Can you tell me the 1-800 number off this card, and are you able to hear this question?","['1 800 735 2929 cant hear q', '1 877 328 9677', '1 877 328 9677 1 800 735 2929', '18773289677', '1 800 735 2929', '1 877 328 9677 no', '18773289677 no', '8007352929 no']",1 877 328 9677,other,images/262.jpg,yes,0.0,"The 1-800 number on the card provided in the image is **1-877-328-9677**. As for your second question, yes, I can hear you and understand the question you've asked.","The 1-800 number off this card is available, and yes, I am able to hear this question.",True,0.990364015,1,['Is the 1-800 number on the card 1-877-328-9677?'],['yes'],1.0,0.416998386,"['1 800 123 4567', '1 877 123 4567', '1 800 987 6543']","['Can you tell me the 1-800 number off this card, and are you able to hear this question is 1 800 123 4567.', 'Can you tell me the 1-800 number off this card, and are you able to hear this question? 1 877 123 4567', 'Can you tell me the 1-800 number off this card, and are you able to hear this question? 1 800 987 6543.']",True,"[0.0023897362407296896, 0.0040780627168715, 0.0005431519821286201]",0.992970596637019
25,VizWiz_val_00000263,What color is this?,"['purple', 'burgundy', 'pink']",purple,other,images/263.jpg,purple,1.0,"The image shows a close-up of a person's back, wearing a garment that appears to be purple in color. The texture and pattern of the fabric suggest it is knitted or woven, likely a sweater or similar type of clothing. The background includes a patterned floor that is not relevant to the question about the color of the garment.",The color is purple.,False,0.241578847,1,"['Is the garment in the image purple in color?', ""Does the image show a close-up of a person's back?"", 'Is the garment in the image knitted or woven?', 'Is the garment in the image likely a sweater or similar type of clothing?']","['yes', 'yes', 'knitted', 'yes']",0.75,0.677459478,"['red', 'maroon', 'violet']","['The color is red.', 'The color is maroon.', 'The color is violet.']",False,"[0.01214424055069685, 0.6157812476158142, 0.22143486142158508]",0.22144116533307812
26,VizWiz_val_00000266,What color is this paper?,"['white', 'white black text']",white,other,images/266.jpg,white,1.0,"The image shows a piece of paper with text printed on it, but the color of the paper itself is not visible. The text appears to be in black ink on a white background, which suggests the paper is indeed white. However, without being able to see the actual color of the paper itself (as it is not visible in this image), I cannot definitively confirm its color.",The color of this paper is white.,False,0.001658963,1,"['Is there text printed on the paper in the image?', 'Is the text on the paper in black ink?', 'Is the background of the text white?']","['yes', 'yes', 'yes']",1.0,0.491711259,"['blue', 'yellow', 'gray']","['The color of this paper is blue.', 'The color of this paper is yellow.', 'The color of this paper is gray.']",False,"[0.024452192708849907, 0.0001464597589801997, 0.2867681086063385]",0.00529976571384569
27,VizWiz_val_00000291,"Looking for properties to rent in my area, what is the condition of the house shown in the image?","['poor', 'bad', 'extremely poor', 'very poor', 'destroyed', 'demolished', 'horrible', 'condemned', 'condemned house']",bad,other,images/291.jpg,abandoned,0.5,"The image depicts a dilapidated and damaged house, which appears to be abandoned. The structure shows significant signs of decay, including broken windows, missing or damaged walls, and overgrown vegetation surrounding the property. These conditions suggest that the house is not currently in use or maintained, which aligns with it being abandoned.",The condition of the house shown in the image is abandoned.,True,0.9841851,1,"['Are there broken windows visible on the house in the image?', 'Are there missing or damaged walls on the house in the image?', 'Is there overgrown vegetation surrounding the property in the image?']","['yes', 'yes', 'yes']",1.0,0.849330664,"['newly renovated', 'excellent condition', 'modern design']","['The condition of the house shown in the image for properties to rent in your area is newly renovated.', 'The house shown in the image is in excellent condition.', 'The condition of the house shown in the image for properties to rent in your area is modern design.']",True,"[6.205092972777493e-07, 4.776687134722124e-08, 1.2441834769560955e-05]",0.9999866793997352
