question_id,image_path,question,choices,correct_answer,predicted_answer,raw_confidence,is_correct
17,images/17_img1.jpg,<image 1> The elliptical orbit of a planet around the Sun is shown on the diagram. Which of the following statements is true?,"[""the planet's orbit is a perfect circle"", 'the eccentricity of the orbit is greater than 1', 'the eccentricity of the orbit is equal to 1', 'the sun might be at point E', 'the sun might be at point C', 'the sun might be at point A', 'the eccentricity of the orbit is less thatn zero', 'the sun might be at point B', 'the sun might be at point D', 'the eccentricity of the orbit is zero']",the sun might be at point B,The eccentricity of the orbit is greater than 1,0.3992205858230591,0
18,images/18_img1.jpg,The work on the right shows a strong interest in which of the following? <image 1>,"['the use of vibrant colors', 'expressionism', 'repeated patterns of varying size', 'portraiture', 'cubism', 'abstract landscape', 'natural light and atmosphere', 'monochromatic painting', 'still life', 'geometric abstraction']",monochromatic painting,Expressionism,0.29266557097435,0
19,images/19_img1.jpg,A company's individual job sheets show these costs: <image 1> Overhead is applied at 1.25 times the direct labor cost. Apply overhead to each of the jobs.,"['the manufacturing overhead applied for Job 131 is \\$2,981.25, \\$3,122.50 for Job 132, and \\$3,592.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,781.25, \\$3,122.50 for Job 132, and \\$3,692.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,981.25, \\$3,222.50 for Job 132, and \\$3,482.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,681.25, \\$3,322.50 for Job 132, and \\$3,792.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,581.25, \\$3,022.50 for Job 132, and \\$3,392.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,781.25, \\$3,122.50 for Job 132, and \\$3,792.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,781.25, \\$3,222.50 for Job 132, and \\$3,592.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,881.25, \\$3,222.50 for Job 132, and \\$3,492.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,881.25, \\$3,022.50 for Job 132, and \\$3,692.50 for Job 133', 'the manufacturing overhead applied for Job 131 is \\$2,981.25, \\$3,222.50 for Job 132, and \\$3,692.50 for Job 133']","the manufacturing overhead applied for Job 131 is \$2,981.25, \$3,122.50 for Job 132, and \$3,592.50 for Job 133",2981.25,0.4750861823558807,0
20,images/20_img1.jpg,"For the circuit in <image 1>, calculate the current in $I_1$ in terms of A. Provide your answer as a complex number (like 0.2 + j0.4).","['0.125 + j0.390', '0.140 + j0.340', '0.125 + j0.330', '0.140 + j0.360', '0.130 + j0.340', '0.135 + j0.350', '0.121 + j0.380', '0.120 + j0.320', '0.15 + j0.330', '0.130 + j0.310']",0.125 + j0.330,0.125 + j0.390,0.9783531427383424,0
22,images/22_img1.jpg,What organ appears abnormal in this radiograph? <image 1> ,"['Liver', 'Small Intestine', 'Duodenum', 'Pancreas', 'Spleen', 'Gallbladder', 'Kidney', 'Esophagus', 'Large Intestine', 'Stomach']",Gallbladder,Large intestine,0.5145606994628906,0
23,images/23_img1.jpg,"Refer to the figure <image 1>, which term refers to stories that portray the ruling class as unjust or hard, and suggest that their riches were fair game for common folk?","['Legends', 'Mythologies', 'Cottage Tales', 'Fables', 'Folk Stories', 'Retold Tale', 'Epics', 'Parables', 'Allegories', 'Text Features']",Cottage Tales,Folk Stories,0.5748609900474548,0
24,images/24_img1.jpg,Name the Artist of <image 1>:,"['AUGUSTE RENOIR', 'VINCENT VAN GOGH', 'CLAUDE MONET', 'PAUL CÉZANNE', 'PABLO PICASSO', 'PIERRE-AUGUSTE COT', 'EDOUARD MANET', 'HENRI DE TOULOUSE-LAUTREC', 'PAUL GAUGUIN', 'HENRI MATISSE']",HENRI DE TOULOUSE-LAUTREC,AUGUSTE RENOIR,0.2430009394884109,0
26,images/26_img1.jpg,"Email #1: E-mail from Vice President of E.A.S.Y. Manufacturing to Legislative Consultant and Staff Researcher: The results of the last election are a concern for us. The candidates we supported were defeated in more than two-thirds of the races we followed. The result is a harder battle to get policies that benefit our interests through the legislature, but it's also a budget issue. We can't continue throwing money at races we can't win, no matter how agreeable the candidate's stand on our issues may be. The fact that they share our viewpoints doesn't help if they can't get elected. How can we determine where it makes sense to invest? E-mail #2: E-mail from Legislative Consultant to Vice President of E.A.S.Y. Manufacturing and Staff Researcher: The demographic breakdown of elections where we supported the unsuccessful candidate can tell us a great deal. We've won only in one demographic, and our margin there is smaller than the margins by which we lost the others. <image 1> E-mail #3: E-mail from Staff Researcher to Vice President of E.A.S.Y. Manufacturing and Legislative Consultant: The demographic groups in which we lost are on track to become a majority of the U.S. electorate this century, and they vote. Right now, they make up 37% of the overall population and 28% of voters in the last election. By midcentury, we can expect the Hispanic population to rise from 17% to about 29% of the U.S. population, and Asian-Americans, now about 5%, will be about 9%. Our one successful demographic is the one whose share is declining. Now 63% of the population, non-Hispanic whites will be less than half of the population by 2050. Consider the following statement. Does the information in the three sources support the inference as stated? Statement: The legislative consultant will actively lobby Asian-American legislators, because the candidates that E.A.S.Y. Manufacturing supported were more successful with Asian-Americans than with other minority groups.","['No', 'Insufficient information', 'Partially', 'Yes', 'Possibly']",No,No,0.4843175113201141,1
27,images/27_img1.jpg,<image 1> Crusoe begins with an endowment A. Point R is the consumption combination he would choose at real interest rate r and point R' is the consumption combination he would choose at real interest rate r'. Which of the following statements is true?,"['Crusoe is a lender today.', ""Crusoe's choice of consumption combination is independent of the real interest rate."", ""Crusoe's wealth has decreased because of the change in the real interest rate."", ""The marginal rate of intertemporal substitution at R is equal to r'."", ""The change in interest rate does not decrease Crusoe's utility since he is free to keep his original endowment A if he so chooses."", 'The marginal rate of intertemporal substitution at R is equal to r.', ""Crusoe's wealth has increased because of the change in the real interest rate."", ""The change in interest rate increases Crusoe's utility since he can choose to keep his original endowment A."", ""The real interest rate is directly proportional to Crusoe's utility."", 'Crusoe is a borrower today.']",Crusoe's wealth has decreased because of the change in the real interest rate.,Crusoe is a lender today.,0.4846966862678528,0
28,images/28_img1.jpg,<image 1> Which of the following historical developments is most strongly illustrated in Map 1?,"['The decline of the Byzantine Empire led to the decline of trade networks in Afro-Eurasia', 'The development of new maritime technology expanded the spread of innovations between cultures', 'The rise of the Han dynasty expanded the spread of innovations between cultures', 'Use of the Silk Road across the Asian continent declined as trans-Saharan trade routes rose in prominence', 'The fall of the Roman Empire led to the rise of trade networks in Afro-Eurasia', ""Timbuktu's influence sharply declined after Mansa Musa returned from his journey to Mecca"", 'The influence of the Persian Empire expanded the spread of innovations between cultures', 'The rise of the Ottoman Empire led to the decline of trade networks in Afro-Eurasia', 'The Mongol Empire contributed to the decline of trade networks in Afro-Eurasia', 'The wealth generated by the Empire of Mali contributed to trade networks in Afro-Eurasia']",The wealth generated by the Empire of Mali contributed to trade networks in Afro-Eurasia,Use of the Silk Road across the Asian continent declined as trans-Saharan trade routes,0.2821371555328369,0
29,images/29_img1.jpg,Each circuit shown in <image 1> has been in the condition shown for an extremely long time. Determine i(0) in each circuit.,"['1A 2A -2A', '-2A 1A -2A', '-2A 2A -2A', '2A 3A -2A', '3A 2A -2A', '2A 2.5A 2A', '2A 2A 2A', '2A 2A -2A', '2A 1.5A -2A', '2A 2.5A -2A']",2A 2.5A -2A,1A,0.3758375346660614,0
30,images/30_img1.jpg,"The disk has a constant angular velocity p about its z-axis, and the yoke A has a constant angular velocity $\omega_{2}$ about its shaft as shown. Simultaneously, the entire assembly revolves about the fixed X-axis with a constant angular velocity$\omega_{1}$. Determine the expression for the angular acceleration of the disk as the yoke brings it into the vertical plane in the position shown. Solve by picturing the vector changes in the angular-velocity components.<image 1>","['$\\alpha=(pw_{1}i-pw_{2}j+w_{1}w_{2}k)rad/s^{2}$', '$\\alpha=(pw_{2}i-pw_{1}j+2w_{1}w_{2}k)rad/s^{2}$', '$\\alpha=(pw_{2}i-pw_{1}j+w_{1}w_{2}k)rad/s^{2}$', '$\\alpha=(pw_{1}i+pw_{2}j+w_{1}w_{2}k)rad/s^{2}$', '$\\alpha=(2pw_{2}i-pw_{1}j+w_{1}w_{2}k)rad/s^{2}$', '$\\alpha=(pw_{2}i-2pw_{1}j+w_{1}w_{2}k)rad/s^{2}$', '$\\alpha=(pw_{1}i-pw_{2}j-w_{1}w_{2}k)rad/s^{2}$', '$\\alpha=(pw_{2}i+pw_{1}j-w_{1}w_{2}k)rad/s^{2}$', '$\\alpha=(pw_{2}i-2pw_{1}j-w_{1}w_{2}k)rad/s^{2}$']",$\alpha=(pw_{2}i-pw_{1}j+w_{1}w_{2}k)rad/s^{2}$,$\alpha=(pw_{1}i-pw_{2}j+w_{1,0.3804580867290497,0
31,images/31_img1.jpg,<image 1> What could be the reason for the yellow spots on these clover leaves?,"['Lack of nutrient', 'Insect damage', 'Fungal infection', 'Viral infection', 'Genetic disturbance', ""Don't know and don't want to guess"", 'Water stress', 'Herbicide spray damage', 'Soil pH imbalance', 'Overexposure to sunlight']",Genetic disturbance,Fungal infection,0.2350571304559707,0
32,images/32_img1.jpg,These intracranial hemorrhages are <image 1>,"['Subdural hemorrhages', 'Epidural hemorrhages', 'Intraparenchymal hemorrhages', 'Intraventricular hemorrhages', 'Subcortical hemorrhages', 'Subarachnoidal hemorrhages', 'Extradural hemorrhages', 'Intracerebral hemorrhages', 'Intramedullary hemorrhages', 'Subperiosteal hemorrhages']",Subarachnoidal hemorrhages,Subdural hemorrhages,0.5472676753997803,0
33,images/33_img1.jpg,Consider the following table showing the breakdown of GDP (in billions) for China.  <image 1> What are net exports for China? ,"['30', '12', '25', '15', '18', '8', '10', '5', '20']",10,12,0.4658106565475464,0
34,images/34_img1.jpg,"A W 8 X 28 beam of a length 10 ft is held between immoveable supports. The beam has a modulus of elasticity E = 29,000 ksi and coefficient of thermal expansion $\alpha=6.5\times10^{-6}/^\circ F$ . If the temperature of the beam is raised uniformly by an amount $\Delta T=20^\circ F$ , calculate the thermal stress $\sigma_{T}$ in the beam.<image 1>","['-6.77 ksi', '-4.77 ksi', '-2.77 ksi', '-1.77 ksi', '-2.27 ksi', '-5.77 ksi', '-3.27 ksi', '-3.77 ksi', '-4.27 ksi']",-3.77 ksi,-4.77 ksi,0.8244189620018005,0
35,images/35_img1.jpg,The market for pizza has the following demand and supply schedules:<image 1> What is the equilibrium quantity in this market?,"['87', '83', '80', '82', '78', '79', '86', '81', '84', '85']",81,82,0.7332462072372437,0
36,images/36_img1.jpg,The thickened portion of the septum pellucidum represents <image 1> ,"['The septal nuclei', 'Both.', 'Neither.', 'The fornix']",The septal nuclei,Neither.,0.4660658240318298,0
37,images/37_img1.jpg,"Consider the following statistics for the banking sector in Canada displayed in the table below (all numbers in billions of domestic currency). <image 1> Using the data above, calculate M1 for Canada.","['2634', '2500', '2734', '2800', '2900', '2650', '2580', '2871', '2750', '2601']",2601,2650,0.92454332113266,0
39,images/39_img1.jpg,"Greengage, Inc., a successful nursery, is considering several expansion projects. All the alternatives promise to produce an acceptable return. Data on four possible projects follow. <image 1> Which project is least risky, judging on the basis of range?","['The least risky project would be project C, since it has the lowest range', 'The least risky project would be project J, since it has the lowest range', 'The least risky project would be project E, since it has the lowest range', 'The least risky project would be project I, since it has the lowest range', 'The least risky project would be project H, since it has the lowest range', 'The least risky project would be project A, since it has the lowest range', 'The least risky project would be project G, since it has the lowest range', 'The least risky project would be project D, since it has the lowest range', 'The least risky project would be project B, since it has the lowest range', 'The least risky project would be project F, since it has the lowest range']","The least risky project would be project A, since it has the lowest range",B,0.2334000021219253,0
40,images/40_img1.jpg,The maximum flow in the network of the given Figure is: <image 1>,"['90', '98', '89', '112', '101', '107', '105', '119', '88', '95']",95,112,0.5484059453010559,0
41,images/41_img1.jpg,Find the Fourier transforms for the waveforms illustrated in Fig. (b) of <image 1>.,"['$V_o [- {2 / (b\\omega^2)}e^{-j\\omega b} + {1 / (b\\omega^2)} - {1 / j\\omega}]$.', '$V_o [- {1 / (b\\omega^2)}e^{-j\\omega b} + {1 / (b\\omega)} - {1 / j\\omega}]$.', '$V_o [- {1 / (b\\omega)}e^{-j\\omega b} + {1 / (b\\omega)} - {1 / j\\omega}]$.', '$V_o [- {2 / (b\\omega)}e^{-j\\omega b} + {1 / (b\\omega^2)} - {1 / j\\omega}]$.', '$V_o [- {1 / (b\\omega)}e^{-j\\omega b} + {1 / (b\\omega^2)} - {1 / j\\omega}]$.', '$V_o [- {2 / (b\\omega^2)}e^{-j\\omega b} - {1 / (b\\omega^2)} - {1 / j\\omega}]$.', '$V_o [- {1 / (b\\omega^2)}e^{-j\\omega b} - {1 / (b\\omega^2)} - {1 / j\\omega}]$.', '$V_o [- {1 / (b\\omega^2)}e^{-j\\omega b} + {2 / (b\\omega^2)} - {1 / j\\omega}]$.', '$V_o [- {1 / (b\\omega^2)}e^{-j\\omega b} + {1 / (b\\omega^2)} - {1 / j\\omega}]$.', '$V_o [- {1 / (b\\omega^2)}e^{-j\\omega b} - {1 / (b\\omega)} - {1 / j\\omega}]$.']",$V_o [- {1 / (b\omega^2)}e^{-j\omega b} + {1 / (b\omega^2)} - {1 / j\omega}]$.,$V\_o [- {2 / (b\omega^2)}e^{-j\omega,0.6825667023658752,0
42,images/42_img1.jpg,Can you delete all DEPARTMENTs from the database if there is at least one EMPLOYEE in the database in <image 1>?,"['Yes', ""Can't tell"", 'No']",No,No,0.7024445533752441,1
43,images/43_img1.jpg,"In case 1, would the worker choose to work or enjoy leisure time? <image 1>","['Leisure time is 8 hours.', 'Leisure time is 14 hours.', 'Leisure time is 12 hours.', 'Leisure time is 20 hours.', 'Leisure time is 18 hours.', 'Leisure time is 22 hours.', 'Leisure time is 10 hours.', 'Leisure time is 16 hours.', 'Leisure time is 24 hours.']",Leisure time is 24 hours.,24 hours,0.565671980381012,0
44,images/44_img1.jpg,The patient shown below most likely has: <image 1> ,"['Osteoarthritis', 'Lyme disease', 'Avascular necrosis', 'Psoriatic arthritis', 'Ankylosing spondylitis', 'Gout', 'Septic arthritis', 'Rheumatoid arthritis', 'Fibromyalgia', 'Lupus']",Osteoarthritis,Osteoarthritis,0.4404946267604828,1
45,images/45_img1.jpg,What is the name of the highlighted section of the ECG and what does it represent? <image 1>,"['QT interval; total time of ventricular depolarization and repolarization', 'U wave; late ventricular repolarization', 'T-P segment; ventricular filling', 'P wave; atrial depolarization', 'PR interval; time between atrial and ventricular depolarization', 'S-T segment; resting membrane potential', 'T wave; ventricular repolarization', 'R-R interval; heart rate', 'J point; start of ventricular depolarization', 'QRS complex; ventricular depolarization']",P wave; atrial depolarization,T wave,0.2090245634317398,0
46,images/46_img1.jpg,Who are the two figures in the slide? <image 1>,"['a pair of twins', 'a soldier and a maiden', 'a sibyl and a scribe', 'a king and queen', 'a merchant and a customer', 'a priest and a nun', 'a teacher and student', 'a married couple', 'a philosopher and a scholar', 'the mythological founders of Rome']",a married couple,Sibyl and scribe,0.9394502639770508,0
47,images/47_img1.jpg,Determine the Laplace transform of the functions of time depicted in Fig (c) of <image 1>.,"['$[(2.0) / s2] (e^{-s} - 2e^{-3s} + e^{-5s})$', '$[(2.0) / s2] (e^{-s} + 2e^{-3s} - e^{-5s})$', '$[(1.5) / s2] (e^{-s} - e^{-3s} + e^{-5s})$', '$[(1.5) / s2] (e^{-s} - 2e^{-2s} + e^{-5s})$', '$[(1.5) / s2] (e^{-s} - 2e^{-3s} + e^{-5s})$', '$[(1.5) / s2] (e^{-s} + 3e^{-3s} - e^{-5s})$', '$[(1.5) / s2] (e^{-s} - 3e^{-3s} + e^{-5s})$', '$[(1.5) / s2] (e^{-s} + 2e^{-3s} - e^{-5s})$', '$[(1.5) / s2] (e^{-s} - 2e^{-3s} - e^{-5s})$', '$[(2.0) / s2] (e^{-s} - 3e^{-3s} + e^{-5s})$']",$[(1.5) / s2] (e^{-s} - 2e^{-3s} + e^{-5s})$,1/s^2,0.2872660756111145,0
48,images/48_img1.jpg,<image 1>A beam of light passes from medium 1 to medium 2 to medium 3 as shown in the diagram. What may be concluded about the speed of light in each medium?,"['v_2 = v_3 > v_1', 'v_1 > v_3 < v_2', 'v_3 > v_2 > v_1', 'v_3 > v_1 > v_2', 'v_2 > v_1 > v_3', 'v_2 > v_3 > v_1', 'v_1 > v_2 > v_3', 'v_1 = v_2 > v_3', 'v_1 = v_2 = v_3', 'v_1 = v_3 > v_2']",v_3 > v_1 > v_2,v_2 = v_3 > v_1,0.4638540744781494,0
49,images/49_img1.jpg,"<image 1> Referring to Table 3-1, which is INCORRECT. If pots sell for $20 each then","['the marginal product of the third worker is five pots.', 'the marginal revenue product of labor equals the marginal product of labor multiplied by the additional revenue that is received per unit of output. ', 'the marginal revenue product of labor of the second worker is $260.', 'the marginal revenue from selling the eighteenth pot is $20.']",the marginal revenue product of labor of the second worker is $260.,The marginal revenue product of labor of the second worker is $260.,0.295293390750885,1
50,images/50_img1.jpg,Is <image 1> a Cayley diagram?,"['Uncertain', 'Maybe', 'Unlikely', 'Probably not', 'No', 'Likely', 'Yes', 'Possibly']",Yes,Yes,0.6931400895118713,1
51,images/51_img1.jpg,"A study on the incidence of heart disease among workers was conducted in a factory from 1985 onwards. A questionnaire on physical activity was filled out by each employee in 1985, and then they were followed up until the year 2000. The results of the observations were shown in the table below.<image 1>The most appropriate indicator for measuring the risk of heart disease in workers is the","['Standardised incidence rate', 'Case fatality rate', 'Cohort study', 'Mortality rate', 'cumulative incidence', 'incidence density', 'Odds ratio', 'SMR', 'Relative risk', 'Prevalence rate']",incidence density,Cohort study,0.2934974431991577,0
52,images/52_img1.jpg,What design element best describes the image?<image 1>,"['Perspective', 'Space', 'Texture', 'Balance', 'Shape', 'Composition', 'Form', 'Proportion', 'Pattern', 'Contrast']",Shape,Perspective,0.4047050178050995,0
53,images/53_img1.jpg,What is the tuberoinfundibular tract? <image 1> ,"['A tract carrying releasing hormones.', 'A tract carrying nerve impulses to the adenohypophysis.', 'A tract carrying nerve impulses to the neurohypophysis.', 'A tract carrying ADH and Oxytocin.', 'A tract connecting the hypothalamus and the pineal gland.', 'A tract responsible for the production of melatonin.', 'A tract connecting the thalamus and the hypothalamus.', 'A tract connecting the pituitary gland and the hypothalamus.', 'A tract carrying the growth hormone.']",A tract carrying releasing hormones.,A tract carrying nerve impulses to the adenohypophysis.,0.8898058533668518,0
54,images/54_img1.jpg,Use an approximate analysis of the continuous truss in Figure P13.11 to evaluate the forces in bar c. Given: P = 9 kN. <image 1>,"['26.3kN', '22.3kN', '28.3kN', '24.3kN', '25.4kN', '29.7kN', '27.1kN', '30.3kN', '23.5kN']",24.3kN,26.3kN,0.8934655785560608,0
55,images/55_img1.jpg,There are three mechanisms for the phosphorylation of ADP to produce ATP. Write the name of the mechanism that describes each of the reactions in the following table.<image 1>,"['Substrate-level phosphorylation, Oxidative phosphorylation, Photophosphorylation', 'Substrate-level phosphorylation, Photophosphorylation, Oxidative phosphorylation,', 'Substrate-level phosphorylation, Photophosphorylation, Oxidative phosphorylation', 'Oxidative phosphorylation, Substrate-level phosphorylation, Photophosphorylation', 'Oxidative phosphorylation, Photophosphorylation, Substrate-level phosphorylation', 'Oxidative phosphorylation, Substrate-level phosphorylation, Photophosphorylation', 'Photophosphorylation, Substrate-level phosphorylation, Oxidative phosphorylation', 'Photophosphorylation, Oxidative phosphorylation, Substrate-level phosphorylation', 'Photophosphorylation, Substrate-level phosphorylation, Oxidative phosphorylation,']","Photophosphorylation, Oxidative phosphorylation, Substrate-level phosphorylation",Photophosphorylation,0.4455585777759552,0
