index,question,choices,correct_answer,image_path,predicted_answer,is_correct,rationale,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility,generated_choices,hypothesis,alternative_hypotheses,support,entail_prob,contrastive,alt_entail_probs,contrastiveness_score
10,What country do these planes belong to?,"['united states', 'germany', 'canada', 'mexico']",united states,images/10.jpg,united states,1,"The planes in the image belong to the United States Air Force. This can be inferred from the fact that they are displayed in a museum, which is a common practice for preserving and showcasing military aircraft. Additionally, the presence of American flags in the scene further supports the notion that these planes are from the United States.",1,"['Are there American flags visible in the scene?', 'Are the planes displayed in a museum setting?']","['yes', 'yes']",1.0,0.4209562838077545,"['canada', 'united kingdom', 'australia']",These planes belong to the United States.,"['These planes belong to Canada.', 'The planes belong to the United Kingdom.', 'These planes belong to Australia.']",True,0.9556979537010193,True,"[5.822873390570749e-06, 5.538619461731287e-06, 1.097453696274897e-05]",0.9999766291141299
11,What interests the child most here?,"['table', 'fork', 'candle', 'floor']",candle,images/11.jpg,candle,1,"The child is most interested in the candle on the chocolate cake. This can be inferred from the fact that the child is looking at the candle while holding a fork, which suggests that the candle is the main focus of the child's attention. The presence of the candle on the cake indicates that it might be a special occasion, such as a birthday, and the child might be excited about the celebration or the act of blowing out the candle.",1,"['Is the child looking at the candle on the cake?', 'Is the child holding a fork while looking at the candle?', 'Is there a candle on the chocolate cake?']","['yes', 'yes', 'yes']",1.0,0.4884575605392456,"['toy car', 'book', 'teddy bear']",The candle interests the child most here.,"['The toy car interests the child most here.', 'The book interests the child most here.', 'The teddy bear interests the child most here.']",False,0.002520654583349824,True,"[4.732576996957505e-08, 3.6174374606900983e-09, 5.9013018471887335e-08]",0.9999563798108964
12,What kind of fruit is cut in half and darker than the other?,"['grapes', 'apples', 'lettuce', 'radish']",grapes,images/12.jpg,lettuce,0,"The fruit that is cut in half and darker than the other is lettuce. Lettuce is a leafy green vegetable that is commonly used in salads and other dishes. It has a darker green color compared to other leafy greens like spinach or kale. The other options, such as grapes, apples, and radishes, are not typically cut in half and do not have a darker color than the rest of the fruit or vegetable.",1,"['Is there a fruit or vegetable that is cut in half in the image?', 'Is the cut fruit or vegetable darker in color compared to another one in the image?', 'Is the cut fruit or vegetable a leafy green?']","['yes', 'yes', 'no']",0.6666666666666666,0.6099051237106323,"['blueberries', 'plums', 'cherries']",The kind of fruit that is cut in half and darker than the other is lettuce.,"['The kind of fruit that is cut in half and darker than the other is blueberries.', 'The kind of fruit that is cut in half and darker than the other is plums.', 'The kind of fruit that is cut in half and darker than the other is cherries.']",True,0.8668103814125061,True,"[1.518769181529933e-07, 0.00019026652444154024, 0.00010905652743531391]",0.9996546286187328
13,What item on the desk could help with a cold?,"['cough drops', 'syringe', 'pills', 'herbal tea']",cough drops,images/13.jpg,cough drops,1,"The item on the desk that could help with a cold is cough drops. Cough drops are medicated lozenges that can help soothe a sore throat, reduce coughing, and provide temporary relief from cold and flu symptoms. The other items on the desk, such as pills, herbal tea, and syringe, are not directly related to treating a cold.",1,"['Are there cough drops visible on the desk?', 'Are there pills visible on the desk?', 'Is there herbal tea visible on the desk?', 'Is there a syringe visible on the desk?']","['yes', 'no', 'no', 'no']",0.25,0.5087136626243591,"['tissue box', 'tea mug', 'hand sanitizer']",The item on the desk that could help with a cold is cough drops.,"['The item on the desk that could help with a cold is a tissue box.', 'The item on the desk that could help with a cold is a tea mug.', 'The item on the desk that could help with a cold is hand sanitizer.']",True,0.9396092891693115,True,"[9.862166189122945e-05, 9.439714858672232e-07, 9.52555001276778e-06]",0.9998839107697894
14,What flag is represented on the wall?,"['english', 'moravian', 'american', 'french']",american,images/14.jpg,american,1,"The reasoning behind my answer is that the American flag is prominently displayed on the wall in the image. The presence of the American flag suggests that the event or gathering taking place is related to the United States or its military. The other flags, such as the Moravian flag or the French flag, are less likely to be present in this context.",1,['Is the American flag prominently displayed on the wall in the image?'],['yes'],1.0,0.5030445456504822,"['canadian', 'british', 'texas']",The flag represented on the wall is American.,"['The flag represented on the wall is Canadian.', 'The flag represented on the wall is British.', 'The flag represented on the wall is Texas.']",True,0.99967360496521,True,"[4.3989965092805505e-07, 3.946500370943795e-08, 0.00026556153898127377]",0.9997339430387273
15,What is located on the shelves?,"['books', 'dvds', 'games', 'food']",books,images/15.jpg,books,1,"The shelves in the image are filled with books, indicating that the primary purpose of these shelves is to store and display reading materials. While it is possible that there may be other items on the shelves, such as DVDs, games, or food, the presence of numerous books suggests that the primary function of these shelves is for book storage and display.",1,['Are the shelves filled with books?'],['yes'],1.0,0.7873136401176453,"['magazines', 'picture frames', 'DVDs']",Books are located on the shelves.,"['Magazines are located on the shelves.', 'Picture frames are located on the shelves.', 'DVDs are located on the shelves.']",True,0.9997289776802063,True,"[0.01639515720307827, 1.0778049727377947e-05, 0.07347574084997177]",0.9175102815021859
16,What period of the day does this photo reflect?,"['noon', 'morning', 'dawn', 'afternoon']",afternoon,images/16.jpg,noon,0,"The photo reflects the period of the day when the sun is at its highest point in the sky, which is noon. This can be inferred from the presence of a clock on the side of the building, indicating the time of day. Additionally, the lighting and shadows in the image suggest that the sun is at its peak, further supporting the conclusion that the photo was taken during noon.",1,"['Is there a clock on the side of the building indicating the time of day?', 'Are the lighting and shadows in the image suggesting that the sun is at its peak?']","['yes', 'no']",0.5,0.5866795182228088,"['morning', 'early evening', 'dusk']",The photo reflects the period of the day known as noon.,"['The photo reflects the morning period of the day.', 'The photo reflects the period of early evening.', 'The photo reflects the period of the day known as dusk.']",True,0.9293122291564941,True,"[6.342890992527828e-05, 5.464745754579781e-06, 1.9231877956826793e-07]",0.9999256645541129
17,What activity does the cat appear most likely to do?,"['drink', 'jump', 'eat', 'sleep']",jump,images/17.jpg,eat,0,"The cat appears most likely to eat, as it is standing in front of a bowl of food on the floor. Cats are known to be hungry creatures, and it is common for them to be attracted to food sources. In this case, the cat's position and proximity to the bowl of food suggest that it is either about to eat or has just finished eating. The other activities, such as drinking, jumping, or sleeping, are less likely to be the primary focus of the cat at this moment.",1,"['Is the cat standing in front of a bowl of food on the floor?', 'Is the cat positioned close to the bowl of food?']","['yes', 'yes']",1.0,0.4570934474468231,"['sleep', 'chase a toy', 'stretch']",The cat appears most likely to eat.,"['The cat appears most likely to sleep.', 'The cat appears most likely to chase a toy.', 'The cat appears most likely to stretch.']",True,0.9999167919158936,True,"[1.817740326259809e-06, 3.145356970435387e-07, 4.610777978086844e-06]",0.9999932564303513
18,What event is this most likely?,"['environmental cleanup', 'concert', 'date', 'firing']",date,images/18.jpg,date,1,"The most likely event for the image is a date. The table is set with two wine glasses, a bottle of wine, a loaf of bread, and a vase with flowers. These items suggest a romantic and intimate atmosphere, which is typical for a date setting. Additionally, the presence of wine and bread indicates a focus on enjoying a meal together, which is a common activity during a date. The other choices, such as an environmental cleanup, concert, or firing, do not fit the context of the image.",1,"['Are there two wine glasses on the table?', 'Is there a bottle of wine on the table?', 'Is there a loaf of bread on the table?', 'Is there a vase with flowers on the table?']","['yes', 'yes', 'yes', 'yes']",1.0,0.4578664600849151,"['birthday party', 'wedding reception', 'family reunion']",This is most likely a date.,"['This is most likely a birthday party.', 'This is most likely a wedding reception.', 'This is most likely a family reunion.']",True,0.7804952263832092,True,"[0.00856633298099041, 0.7394223809242249, 4.734472531708889e-05]",0.5106177636241136
19,What is the outside of the cake made of?,"['frosting', 'custard', 'fondant', 'whipped cream']",fondant,images/19.jpg,frosting,0,"The outside of the cake is made of frosting. This can be inferred from the fact that the cake is described as a white frosted cake. Frosting is a type of sugar-based confectionery that is used to cover and decorate cakes. It is typically made from sugar, butter, and flavorings, and is applied to the cake using a frosting knife or spatula. In contrast, custard, whipped cream, and fondant are not typically used as the outer layer of a cake, although they can be used as fillings, toppings, or decorations.",1,['Is the cake described as a white frosted cake?'],['yes'],1.0,0.961955189704895,"['buttercream', 'marzipan', 'icing']",The outside of the cake is made of frosting.,"['The outside of the cake is made of buttercream.', 'The outside of the cake is made of marzipan.', 'The outside of the cake is made of icing.']",True,0.9987342953681946,False,"[0.8939128518104553, 0.00022527819965034723, 0.9969722032546997]",0.34560138128970336
20,Why is the person wearing a white jacket?,"['nurse', 'doctor', 'cold', 'chef']",chef,images/20.jpg,chef,1,"The person is wearing a white jacket because they are a chef. Chefs often wear white jackets as part of their uniform, which helps to maintain cleanliness and professionalism in the kitchen. In the image, the chef is standing in front of a buffet table, which is filled with various food items such as donuts, cakes, and drinks. This suggests that the chef is responsible for preparing and serving the food at the buffet, and their attire reflects their role in the culinary profession.",1,"['Is the person wearing a white jacket?', 'Is the person standing in front of a buffet table?', 'Is the buffet table filled with various food items such as donuts, cakes, and drinks?']","['yes', 'yes', 'yes']",1.0,0.4800193011760711,"['doctor', 'painter', 'scientist']",The person is wearing a white jacket because they are a chef.,"['The person is wearing a white jacket because they are a doctor.', 'The person is wearing a white jacket because they are a painter.', 'The person is wearing a white jacket because they are a scientist.']",True,0.9996985197067261,True,"[2.7643460271065123e-05, 4.55127455722959e-08, 8.497065209667198e-06]",0.9999638043592781
21,What is the dog trying to catch?,"['person', 'frisbee', 'kite', 'ball']",frisbee,images/21.jpg,frisbee,1,"The dog is trying to catch a yellow frisbee in its mouth. In the image, a man is holding a yellow frisbee, and the dog is looking at it, indicating that the dog is attempting to catch the frisbee in its mouth. This is a common activity for dogs and their owners, as it provides both physical exercise and mental stimulation for the dog, while also strengthening the bond between the dog and its owner.",1,"['Is the dog looking at a yellow frisbee?', 'Is a man holding a yellow frisbee in the image?']","['yes', 'yes']",1.0,0.4466877281665802,"['ball', 'stick', 'bird']",The dog is trying to catch a frisbee.,"['The dog is trying to catch a ball.', 'The dog is trying to catch a stick.', 'The dog is trying to catch a bird.']",False,0.00014710472896695137,False,"[0.0004989333683624864, 0.00014299768372438848, 7.027752872090787e-05]",0.17118870066787903
22,Which animal usually occupies the position the cat is in right now?,"['human', 'dinosaur', 'eagle', 'fish']",human,images/22.jpg,human,1,"The reasoning behind my answer is that humans are the most common occupants of chairs and other seating furniture. While it is possible for other animals, such as cats, to sit in chairs, it is much more common for humans to do so. In the image, the cat is sitting in a black office chair, which is a piece of furniture designed for human use. While it is not uncommon for cats to sit in chairs, it is still more likely that a human would occupy that position.",1,"['Is the cat sitting in a black office chair?  ', 'Is the chair designed for human use?']","['yes', 'yes']",1.0,0.5514522790908813,"['dog', 'another cat', 'stuffed animal']",The animal that usually occupies the position the cat is in right now is a human.,"['The animal that usually occupies the position the cat is in right now is a dog.', 'Another cat usually occupies the position the cat is in right now.', 'The animal that usually occupies the position the cat is in right now is a stuffed animal.']",True,0.9999053478240967,True,"[7.858505341573618e-06, 1.1750976227631327e-05, 1.8324988559470512e-05]",0.9999620633781932
23,What kind of resort are these people at?,"['swim resort', 'safari', 'ski resort', 'tropical resort']",ski resort,images/23.jpg,ski resort,1,"The people in the image are at a ski resort, as they are skiing down a snow-covered slope. Ski resorts are specifically designed for winter sports, such as skiing and snowboarding, and typically feature slopes, lifts, and other facilities for these activities. The presence of multiple skiers and snowboards in the image further supports the idea that this is a ski resort, rather than a swim resort, safari, tropical resort, or any other type of resort.",1,"['Are the people in the image skiing down a snow-covered slope?', 'Are there multiple skiers and snowboards visible in the image?']","['yes', 'yes']",1.0,0.55917888879776,"['snowboarding park', 'mountain lodge', 'winter festival']",These people are at a ski resort.,"['These people are at a snowboarding park resort.', 'These people are at a mountain lodge resort.', 'These people are at a winter festival resort.']",True,0.9999104738235474,True,"[0.03511950373649597, 0.5580862164497375, 0.015879424288868904]",0.6214500912568374
24,What type of transportation is this?,"['air', 'water', 'road', 'road']",air,images/24.jpg,air,1,"This is an airplane, which is a type of transportation that travels through the air. Airplanes are designed to carry passengers and cargo over long distances and are powered by jet engines. In the image, the airplane is parked on the runway at an airport, indicating that it is either preparing for takeoff or has recently landed. Airplanes are a common mode of transportation for international and domestic travel, providing a faster and more efficient way to travel compared to other forms of transportation such as road or water.",1,"['Is there an airplane in the image?', 'Is the airplane parked on the runway?', 'Is the location in the image an airport?']","['yes', 'no', 'yes']",0.6666666666666666,0.4415766596794128,"['car', 'train', 'boat']",The type of transportation is air.,"['The type of transportation is car.', 'The type of transportation is train.', 'The type of transportation is boat.']",True,0.8342719078063965,True,"[8.148264168994501e-05, 3.6403121157491114e-06, 0.0013507915427908301]",0.9982817984249094
25,The cat is looking in what direction?,"['left', 'right', 'down', 'up']",down,images/25.jpg,right,0,"The cat is looking in the direction of the faucet, which is located on the right side of the sink. This indicates that the cat is focused on the water flowing from the faucet, possibly because it is thirsty or intrigued by the sound or movement of the water.",1,"['Is the faucet located on the right side of the sink?', 'Is the cat looking towards the faucet?']","['no', 'yes']",0.5,0.7613381743431091,"['left', 'at the camera', 'to the side']",The cat is looking in the right direction.,"['The cat is looking in the left direction.', 'The cat is looking at the camera.', 'The cat is looking to the side.']",True,0.9923471212387085,False,"[0.6095241904258728, 4.27052509621717e-06, 0.8092005848884583]",0.41157850373565136
26,What are the orange vehicles for?,"['police', 'shuttle', 'passengers', 'air traffic']",air traffic,images/26.jpg,police,0,"The reasoning behind my answer is that the orange vehicles in the image are police cars, which are typically used for law enforcement and emergency response purposes. The presence of police cars on the runway suggests that there might be an ongoing incident or security concern that requires their presence at the airport. The other choices, such as shuttle, passengers, and air traffic, do not seem to be directly related to the scene depicted in the image.",1,"['Are the vehicles in the image orange?', 'Are the orange vehicles identified as police cars?', 'Are the police cars present on a runway in the image?']","['yes', 'no', 'yes']",0.6666666666666666,0.4502446055412292,"['ground support', 'passenger transport', 'cargo handling']",The orange vehicles are for police.,"['The orange vehicles are for ground support.', 'The orange vehicles are for passenger transport.', 'The orange vehicles are for cargo handling.']",True,0.9924794435501099,True,"[0.12501196563243866, 5.092461833555717e-06, 5.890663032914745e-07]",0.8881270938423034
27,The company producing the device in her hand is from what country?,"['usa', 'china', 'japan', 'spain']",japan,images/27.jpg,japan,1,"The reasoning behind my answer is that Nintendo, the company producing the device in the woman's hand, is a Japanese company. Nintendo is known for its video game consoles, such as the Wii, and is headquartered in Tokyo, Japan. Therefore, the answer to the question is ""Japan.""",1,"[""Is the device in the woman's hand produced by Nintendo?""]",['yes'],1.0,0.7837890386581421,"['south korea', 'china', 'taiwan']",The company producing the device in her hand is from Japan.,"['The company producing the device in her hand is from South Korea.', 'The company producing the device in her hand is from China.', 'The company producing the device in her hand is from Taiwan.']",True,0.9997021555900574,True,"[7.338210252783028e-07, 1.01781472494622e-06, 1.1211305945835193e-06]",0.9999971263860206
28,Which is not an ingredient of this dish?,"['flatbread', 'prosciutto', 'arugula', 'pepperoni']",pepperoni,images/28.jpg,pepperoni,1,"Pepperoni is not an ingredient of this dish. The dish consists of prosciutto, arugula, and flatbread. Pepperoni is a type of salami that is typically used as a topping on pizzas, but it is not a part of this particular dish.",1,"['Does the dish contain prosciutto?', 'Does the dish contain arugula?', 'Is flatbread part of the dish?']","['yes', 'yes', 'yes']",1.0,0.867804765701294,"['mushrooms', 'olives', 'cheese']",Pepperoni is not an ingredient of this dish.,"['Mushrooms are not an ingredient of this dish.', 'Olives are not an ingredient of this dish.', 'Cheese is not an ingredient of this dish.']",True,0.9901103377342224,False,"[0.5063472986221313, 0.5462540984153748, 0.639510989189148]",0.3691380021835444
29,What is closest to the tree trunk?,"['closed doors', 'walking person', 'sitting person', 'open doors']",closed doors,images/29.jpg,open doors,0,"The closest object to the tree trunk is the open doors. This is because the other objects, such as the walking person, sitting person, and closed doors, are all farther away from the tree trunk than the open doors. The open doors provide a clear view of the tree trunk, making them the closest object to it.",1,"['Are the open doors the closest object to the tree trunk?', 'Are the walking person, sitting person, and closed doors farther from the tree trunk than the open doors?']","['no', 'yes']",0.5,0.5033297538757324,"['open windows', 'garden bench', 'parked car']",The open doors are closest to the tree trunk.,"['The open windows are closest to the tree trunk.', 'The garden bench is closest to the tree trunk.', 'The parked car is closest to the tree trunk.']",False,0.0001529638102510944,False,"[0.002154190791770816, 1.6043770756368758e-06, 4.437830227743689e-07]",0.06624096106252804
30,Where are we at?,"['fair', 'garage sale', 'street festival', 'flea market']",street festival,images/30.jpg,street festival,1,"We are at a street festival, as evidenced by the large crowd of people and the presence of various items for sale, such as watermelons, apples, and handbags. The atmosphere is lively and bustling with activity, which is typical of street festivals. Additionally, the presence of motorcycles and scooters in the image further supports the idea that this is a public event where people gather to socialize, shop, and enjoy themselves.",1,"['Is there a large crowd of people in the image?', 'Are there various items for sale, such as watermelons, apples, and handbags?', 'Is the atmosphere in the image lively and bustling with activity?', 'Are there motorcycles and scooters present in the image?']","['yes', 'yes', 'yes', 'yes']",1.0,0.234208807349205,"['farmers market', 'outdoor concert', 'city park']",We are at a street festival.,"['We are at the farmers market.', 'We are at an outdoor concert.', 'We are at the city park.']",True,0.9983288645744324,True,"[0.01614507846534252, 0.000465583783807233, 5.769664130639285e-05]",0.9835779266138724
31,What is beside the person on the seat?,"['white bag', 'food', 'paper bag', 'pillow']",white bag,images/31.jpg,white bag,1,"The correct answer is the white bag beside the person on the seat. The reasoning behind this answer is that the image shows a woman sitting on a bench with a white bag next to her. This suggests that the bag might contain her belongings, such as a pillow, food, or other personal items. The presence of the white bag indicates that it is likely related to the person sitting on the bench.",1,"['Is there a white bag beside the person on the seat?', 'Is the person sitting on a bench?']","['yes', 'yes']",1.0,0.441814124584198,"['blue backpack', 'black jacket', 'red hat']",Beside the person on the seat is a white bag.,"['Beside the person on the seat is a blue backpack.', 'Beside the person on the seat is a black jacket.', 'Beside the person on the seat is a red hat.']",True,0.6469064354896545,True,"[0.2065737545490265, 0.00028882111655548215, 7.722192094661295e-05]",0.757638097387888
32,What does it say on the boys hat?,"['happy birthday', 'huggy buggy', 'herpy derpy', 'huggy harry']",happy birthday,images/32.jpg,happy birthday,1,"The reasoning behind my answer is that the boy is wearing a hat that says ""Happy Birthday"" on it. This indicates that the boy is celebrating his birthday, and the hat serves as a fun and festive accessory to mark the occasion. The other options provided, such as ""Huggy Buggy,"" ""Herpy Derpy,"" and ""Huggy Harry,"" are not relevant to the context of the image, which is focused on the boy's birthday celebration.",1,"['Does the boy\'s hat have the words ""Happy Birthday"" written on it?']",['yes'],1.0,0.4741466343402862,"['""party time""', '""let\'s celebrate""', '""birthday boy""']",The boy's hat says happy birthday.,"['The boy\'s hat says ""party time.""', 'The boy\'s hat says ""let\'s celebrate.""', 'It says ""birthday boy"" on the boy\'s hat.']",True,0.9435559511184692,True,"[0.3479801118373871, 0.19042274355888367, 0.2429233193397522]",0.5470263370321838
33,What sport are they mimicking?,"['baseball', 'lacrosse', 'cricket', 'basketball']",baseball,images/33.jpg,baseball,1,"The people in the image are mimicking the sport of baseball. This can be inferred from the fact that one person is swinging a baseball bat at a ball, which is a common action in baseball. Additionally, the presence of a baseball glove in the scene further supports the idea that they are participating in a baseball-related activity. Baseball is a popular sport that involves hitting a ball with a bat and catching it with a glove, so it is reasonable to assume that this is the sport they are mimicking.",1,"['Is one person swinging a baseball bat at a ball?', 'Is there a baseball glove present in the scene?']","['yes', 'no']",0.5,0.4630409479141235,"['cricket', 'golf', 'tennis']",They are mimicking baseball.,"['They are mimicking cricket.', 'They are mimicking golf.', 'They are mimicking tennis.']",True,0.9855382442474365,True,"[0.8153795003890991, 4.098314434486383e-07, 2.122618207067717e-05]",0.5472356564781798
