index,question,choices,correct_answer,image_path,predicted_answer,is_correct,rationale,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility,generated_choices,hypothesis,alternative_hypotheses,support,entail_prob,contrastive,alt_entail_probs,contrastiveness_score
10,What country do these planes belong to?,"['united states', 'germany', 'canada', 'mexico']",united states,images/10.jpg,united states,1,"The planes in the image belong to the United States. This can be identified by the roundel insignia visible on the planes, which features a white star with a blue circle and red dot in the center, a symbol used by the United States military. Additionally, the banners above the planes indicate models such as the C-47 and B-17, which are American aircraft used during World War II.",1,"['Do the planes have a roundel insignia with a white star, blue circle, and red dot in the center?', 'Are there banners above the planes indicating models such as the C-47 and B-17?']","['yes', 'yes']",1.0,0.4581326246261596,"['canada', 'united kingdom', 'australia']",These planes belong to the United States.,"['These planes belong to Canada.', 'The planes belong to the United Kingdom.', 'These planes belong to Australia.']",True,0.9931104183197021,True,"[9.827919711824507e-06, 6.35780997981783e-06, 8.896152394299861e-06]",0.9999747447532781
11,What interests the child most here?,"['table', 'fork', 'candle', 'floor']",candle,images/11.jpg,candle,1,"The child appears to be most interested in the candle on the cupcake. The child is looking directly at the candle, which is lit, and this likely captures their attention more than the other objects in the image.",1,"['Is the child looking directly at the candle?', 'Is the candle on a cupcake?', 'Is the candle lit?']","['yes', 'yes', 'yes']",1.0,0.7701777219772339,"['toy car', 'book', 'stuffed animal']",The candle interests the child most here.,"['The toy car interests the child most here.', 'The book interests the child most here.', 'The stuffed animal interests the child most here.']",True,0.5180585384368896,True,"[9.114728527492844e-07, 5.866824892564182e-08, 2.1459948129631812e-07]",0.9999977131196849
12,What kind of fruit is cut in half and darker than the other?,"['grapes', 'apples', 'lettuce', 'radish']",grapes,images/12.jpg,grapes,1,The fruit that is cut in half and darker than the other is grapes.,0,"['Is there a fruit that is cut in half in the image?', 'Is the fruit that is cut in half darker than another fruit in the image?', 'Are the grapes the fruit that is cut in half in the image?']","['yes', 'yes', 'no']",0.6666666666666666,0.516327977180481,"['blueberries', 'plums', 'cherries']",The kind of fruit that is cut in half and darker than the other is grapes.,"['The kind of fruit that is cut in half and darker than the other is blueberries.', 'The kind of fruit that is cut in half and darker than the other is plums.', 'The kind of fruit that is cut in half and darker than the other is cherries.']",False,0.28977349400520325,False,"[0.11676400899887085, 0.3734187185764313, 0.2802222669124603]",0.2733251967950356
13,What item on the desk could help with a cold?,"['cough drops', 'syringe', 'pills', 'herbal tea']",cough drops,images/13.jpg,cough drops,1,The item on the desk that could help with a cold is the cough drops.,0,['Are there cough drops on the desk?'],['yes'],1.0,0.3718392252922058,"['tissue box', 'hand sanitizer', 'tea mug']",The item on the desk that could help with a cold is cough drops.,"['The item on the desk that could help with a cold is a tissue box.', 'The item on the desk that could help with a cold is hand sanitizer.', 'The item on the desk that could help with a cold is a tea mug.']",False,0.0004118524375371635,False,"[0.0032413601875305176, 0.00029351134435273707, 8.163575330399908e-06]",0.1041375849191466
14,What flag is represented on the wall?,"['english', 'moravian', 'american', 'french']",american,images/14.jpg,american,1,"The flag represented on the wall is American. This can be identified by the stars and stripes pattern, which is characteristic of the American flag.",1,['Does the flag on the wall have a stars and stripes pattern?'],['yes'],1.0,0.7803234457969666,"['canadian', 'union jack', 'texas']",The flag represented on the wall is American.,"['The flag represented on the wall is Canadian.', 'The flag represented on the wall is the Union Jack.', 'The flag represented on the wall is Texas.']",True,0.6160122752189636,True,"[0.003011664841324091, 0.00014167737390380353, 0.035111743956804276]",0.9415154972033871
15,What is located on the shelves?,"['books', 'dvds', 'games', 'food']",books,images/15.jpg,books,1,The answer is books.,0,['Are there books located on the shelves?'],['yes'],1.0,0.440530389547348,"['magazines', 'photo frames', 'DVDs']",Books are located on the shelves.,"['Magazines are located on the shelves.', 'Photo frames are located on the shelves.', 'DVDs are located on the shelves.']",False,0.057864829897880554,False,"[0.17092275619506836, 0.19977594912052155, 0.08647765219211578]",0.11234990776050882
16,What period of the day does this photo reflect?,"['noon', 'morning', 'dawn', 'afternoon']",afternoon,images/16.jpg,afternoon,1,"The photo reflects the afternoon period. This can be inferred from the position of the shadows and the lighting, which suggest that the sun is past its highest point in the sky, typical of the afternoon time.",1,"['Are the shadows in the image long, suggesting the sun is past its highest point?', 'Is the lighting in the image indicative of the sun being lower in the sky, typical of the afternoon?']","['yes', 'yes']",1.0,0.651725709438324,"['morning', 'early evening', 'dusk']",The photo reflects the afternoon period of the day.,"['The photo reflects the morning period of the day.', 'The photo reflects the early evening period of the day.', 'The photo reflects the period of the day known as dusk.']",True,0.9156582355499268,False,"[0.029479406774044037, 0.8970657587051392, 0.7316341996192932]",0.3557560256790302
17,What activity does the cat appear most likely to do?,"['drink', 'jump', 'eat', 'sleep']",jump,images/17.jpg,jump,1,"The cat is looking up at the oven, which suggests it might be interested in something above or on the oven. This posture and gaze indicate that the cat is likely preparing to jump. Therefore, the answer is indeed ""jump.""",1,"['Is the cat looking up at the oven?', ""Is the cat's posture indicative of preparing to jump?""]","['yes', 'no']",0.5,0.7002812623977661,"['sleep', 'chase a toy', 'stretch']",The cat appears most likely to jump.,"['The cat appears most likely to sleep.', 'The cat appears most likely to chase a toy.', 'The cat appears most likely to stretch.']",True,0.98046875,True,"[0.00011705677752615884, 0.006012343801558018, 0.11274655908346176]",0.8918665286532047
18,What event is this most likely?,"['environmental cleanup', 'concert', 'date', 'firing']",date,images/18.jpg,date,1,"The answer is date.

Reasoning: The image shows a table set with wine glasses, a bottle of wine, bread, and what appears to be a nicely arranged meal with a salad and other items. The presence of wine, a well-set table, and the overall ambiance suggest a more intimate and special occasion, which is typical for a date. The other options (environmental cleanup, concert, firing) do not align with the setting and items shown in the image.",1,"['Is there a table set with wine glasses in the image?', 'Is there a bottle of wine on the table in the image?', 'Is there bread visible on the table in the image?', 'Is there a nicely arranged meal with a salad on the table in the image?']","['yes', 'yes', 'yes', 'yes']",1.0,0.4040355980396271,"['birthday party', 'wedding reception', 'family reunion']",This is most likely a date.,"['This is most likely a birthday party.', 'This is most likely a wedding reception.', 'This is most likely a family reunion.']",True,0.9920079708099365,False,"[0.7725306153297424, 0.983628511428833, 0.8609547019004822]",0.2748613169430551
19,What is the outside of the cake made of?,"['frosting', 'custard', 'fondant', 'whipped cream']",fondant,images/19.jpg,fondant,1,"The outside of the cake is made of fondant. Fondant is a type of icing that is rolled out and draped over cakes to give them a smooth and polished appearance. It is often used for detailed decorations and sculpting, as seen in the intricate design of the bag, shoe, car, and other elements on this cake.",1,"['Is the outside of the cake smooth and polished in appearance?', 'Are there intricate designs on the cake, such as a bag, shoe, and car?']","['no', 'yes']",0.5,0.9519989490509032,"['buttercream', 'marzipan', 'icing']",The outside of the cake is made of fondant.,"['The outside of the cake is made of buttercream.', 'The outside of the cake is made of marzipan.', 'The outside of the cake is made of icing.']",True,0.5753494501113892,False,"[0.01640303246676922, 0.011719733476638794, 0.9851218461990356]",0.362175249034424
20,Why is the person wearing a white jacket?,"['nurse', 'doctor', 'cold', 'chef']",chef,images/20.jpg,chef,1,"The person is wearing a white jacket because they are a chef. Chefs typically wear white jackets as part of their professional attire, which helps to maintain cleanliness and present a professional appearance in the kitchen. The presence of cooking equipment and food items in the image further supports this conclusion.",1,"['Is the person wearing a white jacket in the image?', 'Is there cooking equipment visible in the image?', 'Are there food items present in the image?']","['yes', 'yes', 'yes']",1.0,0.8239420056343079,"['doctor', 'painter', 'scientist']",The person is wearing a white jacket because they are a chef.,"['The person is wearing a white jacket because they are a doctor.', 'The person is wearing a white jacket because they are a painter.', 'The person is wearing a white jacket because they are a scientist.']",True,0.9988707900047302,True,"[0.00010602460679365322, 6.991919576648797e-07, 6.668402784271166e-05]",0.9998264262712596
21,What is the dog trying to catch?,"['person', 'frisbee', 'kite', 'ball']",frisbee,images/21.jpg,frisbee,1,The dog is trying to catch a frisbee.,0,['Is the dog trying to catch a frisbee?'],['yes'],1.0,0.530316174030304,"['ball', 'stick', 'bird']",The dog is trying to catch a frisbee.,"['The dog is trying to catch a ball.', 'The dog is trying to catch a stick.', 'The dog is trying to catch a bird.']",False,0.002258439315482974,False,"[0.0004659815749619156, 0.00020522241538856179, 0.008046387694776058]",0.2057610182913624
22,Which animal usually occupies the position the cat is in right now?,"['human', 'dinosaur', 'eagle', 'fish']",human,images/22.jpg,human,1,"The animal that usually occupies the position the cat is in right now is a human. This is because the cat is sitting on an office chair, which is typically used by humans.",1,['Is the cat sitting on an office chair?'],['yes'],1.0,0.5736759901046753,"['dog', 'another cat', 'stuffed animal']",The animal that usually occupies the position the cat is in right now is a human.,"['The animal that usually occupies the position the cat is in right now is a dog.', 'Another cat usually occupies the position the cat is in right now.', 'The animal that usually occupies the position the cat is in right now is a stuffed animal.']",True,0.991554319858551,True,"[0.00012985338980797678, 3.1973031582310796e-05, 0.0004512105952017009]",0.9993821233763195
23,What kind of resort are these people at?,"['swim resort', 'safari', 'ski resort', 'tropical resort']",ski resort,images/23.jpg,ski resort,1,"The image shows people skiing on a snowy mountain, which is characteristic of a ski resort. The presence of snow, ski equipment, and the mountainous terrain all indicate that this is a ski resort. Therefore, the correct answer is ski resort.",1,"['Are the people in the image skiing?', 'Is there snow visible on the mountain in the image?', 'Is there ski equipment visible in the image?', 'Is the terrain in the image mountainous?']","['yes', 'yes', 'yes', 'yes']",1.0,0.8050190210342407,"['snowboarding resort', 'mountain lodge', 'winter retreat']",These people are at a ski resort.,"['These people are at a snowboarding resort.', 'These people are at a mountain lodge resort.', 'These people are at a winter retreat resort.']",True,0.7655933499336243,False,"[3.9558308344567195e-05, 0.3345894515514374, 0.5353413820266724]",0.4680914172636654
24,What type of transportation is this?,"['air', 'water', 'road', 'road']",air,images/24.jpg,air,1,"The image shows an airplane with the word ""Alaska"" written on its side, which indicates that it is an aircraft used for air transportation. Therefore, the correct answer is air.",1,"['Is there an airplane in the image?', 'Does the airplane have the word ""Alaska"" written on its side?']","['yes', 'yes']",1.0,0.4926966726779938,"['car', 'train', 'boat']",The type of transportation is air.,"['The type of transportation is car.', 'The type of transportation is train.', 'The type of transportation is boat.']",True,0.9753196239471436,True,"[7.319869723687589e-07, 1.110099901779904e-06, 3.252815986343194e-06]",0.9999947761983655
25,The cat is looking in what direction?,"['left', 'right', 'down', 'up']",down,images/25.jpg,down,1,The cat is looking in the direction of down.,0,['Is the cat looking down?'],['yes'],1.0,0.5035021901130676,"['left', 'at the camera', 'up']",The cat is looking down.,"['The cat is looking in the left direction.', 'The cat is looking at the camera.', 'The cat is looking up.']",False,0.000678558717481792,False,"[0.3178495764732361, 0.0024450772907584906, 0.0291597917675972]",0.001938002728240628
26,What are the orange vehicles for?,"['police', 'shuttle', 'passengers', 'air traffic']",air traffic,images/26.jpg,air traffic,1,"The orange vehicles in the image are used for air traffic purposes. These vehicles are typically involved in various ground operations at the airport, such as guiding aircraft, inspecting runways, and ensuring the safety and efficiency of airport operations.",1,"['Are the vehicles in the image orange?', 'Are the orange vehicles located at an airport?', 'Are the orange vehicles involved in ground operations at the airport?']","['yes', 'yes', 'yes']",1.0,0.4246905446052551,"['ground support', 'cargo transport', 'emergency services']",The orange vehicles are for air traffic.,"['The orange vehicles are for ground support.', 'The orange vehicles are for cargo transport.', 'The orange vehicles are for emergency services.']",True,0.725551426410675,False,"[0.9500877857208252, 1.7299014871241525e-05, 0.000616028206422925]",0.4328361942210239
27,The company producing the device in her hand is from what country?,"['usa', 'china', 'japan', 'spain']",japan,images/27.jpg,japan,1,"The device in her hand appears to be a Wii Remote, which is a controller for the Nintendo Wii gaming console. Nintendo is a company based in Japan. Therefore, the correct answer is Japan.",1,"['Is the device in her hand a Wii Remote?', 'Is the Wii Remote associated with the Nintendo Wii gaming console?']","['yes', 'yes']",1.0,0.7730914354324341,"['south korea', 'china', 'taiwan']",The company producing the device in her hand is from Japan.,"['The company producing the device in her hand is from South Korea.', 'The company producing the device in her hand is from China.', 'The company producing the device in her hand is from Taiwan.']",True,0.8072327971458435,True,"[5.4840038501424715e-05, 5.70244956179522e-05, 0.001078028348274529]",0.9985281302750764
28,Which is not an ingredient of this dish?,"['flatbread', 'prosciutto', 'arugula', 'pepperoni']",pepperoni,images/28.jpg,pepperoni,1,"The dish in the image appears to be a pizza topped with arugula and prosciutto. The ingredients visible are flatbread (the pizza base), prosciutto (the thinly sliced cured meat), and arugula (the leafy greens). There is no visible pepperoni on this dish. Therefore, the correct answer is indeed pepperoni.",1,"['Is the dish in the image a pizza?', 'Is there arugula visible on the pizza?', 'Is there prosciutto visible on the pizza?', 'Is there no pepperoni visible on the pizza?']","['yes', 'yes', 'yes', 'yes']",1.0,0.2869296371936798,"['mushrooms', 'olives', 'onions']",Pepperoni is not an ingredient of this dish.,"['Mushrooms are not an ingredient of this dish.', 'Olives are not an ingredient of this dish.', 'Onions are not an ingredient of this dish.']",True,0.9795432686805725,False,"[0.9755943417549133, 0.9845290780067444, 0.9874047040939331]",0.24943352711700215
29,What is closest to the tree trunk?,"['closed doors', 'walking person', 'sitting person', 'open doors']",closed doors,images/29.jpg,walking person,0,The answer is walking person.,0,['Is there a walking person closest to the tree trunk?'],['no'],0.0,0.4561315774917602,"['open windows', 'garden bench', 'flower pot']",The walking person is closest to the tree trunk.,"['The open windows are closest to the tree trunk.', 'The garden bench is closest to the tree trunk.', 'The flower pot is closest to the tree trunk.']",False,0.456409752368927,False,"[0.2757143974304199, 0.6577582359313965, 0.6134681701660156]",0.22782320898631966
30,Where are we at?,"['fair', 'garage sale', 'street festival', 'flea market']",street festival,images/30.jpg,flea market,0,"The image depicts a busy outdoor market scene with various stalls selling fruits and other goods. People are walking around, shopping, and interacting with vendors. This setting is characteristic of a flea market, where a variety of items are sold in an open-air environment. Therefore, the correct answer is indeed a flea market.",1,"['Are there various stalls selling fruits and other goods in the image?', 'Are people walking around and shopping in the image?', 'Are people interacting with vendors in the image?', 'Is the market scene depicted in the image outdoors?']","['yes', 'yes', 'yes', 'yes']",1.0,0.5756056308746338,"['outdoor market', 'parade route', 'public park']",We are at the flea market.,"['We are at an outdoor market.', 'We are at the parade route.', 'We are at a public park.']",False,0.29219120740890503,False,"[0.9988916516304016, 0.0024871178902685642, 8.97468544280855e-06]",0.22587813990333389
31,What is beside the person on the seat?,"['white bag', 'food', 'paper bag', 'pillow']",white bag,images/31.jpg,white bag,1,The answer is white bag.,0,['Is there a white bag beside the person on the seat?'],['yes'],1.0,0.4474470317363739,"['blue jacket', 'black backpack', 'red hat']",Beside the person on the seat is a white bag.,"['Beside the person on the seat is a blue jacket.', 'Beside the person on the seat is a black backpack.', 'Beside the person on the seat is a red hat.']",False,0.23005375266075134,False,"[0.1494072526693344, 0.2804192900657654, 0.11566072702407837]",0.2966364718437614
32,What does it say on the boys hat?,"['happy birthday', 'huggy buggy', 'herpy derpy', 'huggy harry']",happy birthday,images/32.jpg,happy birthday,1,"The hat on the boy's head says ""HAPPY BIRTHDAY.""",0,"['Does the hat on the boy\'s head say ""HAPPY BIRTHDAY""?']",['yes'],1.0,0.3461203873157501,"['""party time""', '""best day""', '""celebrate""']",The boy's hat says happy birthday.,"['The boy\'s hat says ""party time.""', 'The boys hat says ""best day.""', 'The boy\'s hat says ""celebrate.""']",False,0.06447655707597733,False,"[0.10320505499839783, 0.000888230511918664, 0.007338708732277155]",0.3665345237208512
33,What sport are they mimicking?,"['baseball', 'lacrosse', 'cricket', 'basketball']",baseball,images/33.jpg,baseball,1,"The answer is baseball. The person in the foreground is swinging a bat-like object at a ball, which is a key action in baseball. The stance and motion are characteristic of a baseball swing.",1,"['Is the person in the foreground swinging a bat-like object?', 'Is the person swinging at a ball?', 'Is the stance and motion of the person characteristic of a baseball swing?']","['yes', 'yes', 'yes']",1.0,0.4908132553100586,"['cricket', 'golf', 'tennis']",They are mimicking baseball.,"['They are mimicking cricket.', 'They are mimicking golf.', 'They are mimicking tennis.']",True,0.7980294823646545,False,"[0.7527403235435486, 0.0006855057436041534, 0.20134171843528748]",0.4552891570822671
34,The visible bottles most likely contain what kind of items?,"['body wash', 'shampoo conditioner', 'lotions', 'mouthwash']",shampoo conditioner,images/34.jpg,shampoo conditioner,1,"The visible bottles in the image are located in the bathtub area, which is a common place for items such as shampoo and conditioner. These products are typically used while showering or bathing, making it likely that the bottles contain shampoo and conditioner rather than body wash, lotions, or mouthwash.",1,['Are the bottles located in the bathtub area?'],['yes'],1.0,0.4605399072170257,"['body wash', 'hand soap', 'lotion']",The visible bottles most likely contain shampoo and conditioner.,"['The visible bottles most likely contain body wash.', 'The visible bottles most likely contain hand soap.', 'The visible bottles most likely contain lotion.']",True,0.9998443126678467,True,"[7.289257609954802e-06, 3.534167092311691e-08, 5.9493263506738e-06]",0.9999867241837143
35,What sport game is the man playing?,"['wii boxing', 'wii baseball', 'wii football', 'wii tennis']",wii boxing,images/35.jpg,wii boxing,1,"The man in the image is playing Wii Boxing. This can be inferred from the stance he is taking, which resembles a boxing position, and the boxing match displayed on the television screen. The Wii controllers in his hands are also indicative of the Wii gaming system.",1,"['Is the man holding Wii controllers in his hands?', 'Is the man in a stance that resembles a boxing position?', 'Is there a boxing match displayed on the television screen?']","['yes', 'yes', 'yes']",1.0,0.7553371787071228,"['wii tennis', 'wii baseball', 'wii bowling']",The man is playing wii boxing.,"['The man is playing wii tennis.', 'The man is playing wii baseball.', 'The man is playing wii bowling.']",True,0.9965403079986572,True,"[3.8446130929514766e-05, 2.1818575987708755e-05, 8.01362912170589e-05]",0.999859131418049
36,What is the batter most likely preparing to do here?,"['bunt', 'sit', 'dodge ball', 'slide']",bunt,images/36.jpg,bunt,1,"The batter is most likely preparing to bunt. This is evident from the way the batter is holding the bat horizontally and positioning it in front of the plate, which is a typical stance for bunting in baseball.",1,"['Is the batter holding the bat horizontally?  ', 'Is the bat positioned in front of the plate?']","['yes', 'yes']",1.0,0.7160291075706482,"['swing for a hit', 'steal a base', 'call for a timeout']",The batter is most likely preparing to bunt here.,"['The batter is most likely preparing to swing for a hit.', 'The batter is most likely preparing to steal a base.', 'The batter is most likely preparing to call for a timeout.']",True,0.99983811378479,True,"[0.00011719259055098519, 2.2323552002490032e-06, 8.670603790505993e-08]",0.9998804832837422
37,What kind of venue is it?,"['garage', 'commercial kitchen', 'auto shop', 'domestic kitchen']",domestic kitchen,images/37.jpg,domestic kitchen,1,The answer is domestic kitchen.,0,['Is the venue shown in the image a kitchen?'],['yes'],1.0,0.4498521983623504,"['restaurant kitchen', 'home office', 'dining room']",The venue is a domestic kitchen.,"['The venue is a restaurant kitchen.', 'The venue is a home office.', 'The venue is a dining room.']",False,0.0020617651753127575,False,"[0.0018932257080450654, 0.058965928852558136, 0.000927644781768322]",0.0322914883190789
38,What kind of terrain is it?,"['beach', 'desert', 'savanna', 'valley']",savanna,images/38.jpg,savanna,1,"The terrain in the image is a savanna. This is evident from the presence of scattered trees, grassy areas, and the herd of elephants, which are commonly found in savanna ecosystems. The landscape is typical of a savanna, characterized by open spaces with some tree cover and a mix of grasses and shrubs.",1,"['Are there scattered trees in the image?  ', 'Are there grassy areas visible in the image?  ', 'Is there a herd of elephants in the image?  ', 'Does the landscape in the image have open spaces with some tree cover?  ', 'Is there a mix of grasses and shrubs in the image?']","['yes', 'yes', 'yes', 'yes', 'yes']",1.0,0.5025345683097839,"['desert', 'grassland', 'prairie']",The terrain is savanna.,"['The terrain is desert.', 'The terrain is grassland.', 'The terrain is prairie.']",True,0.8666976690292358,False,"[0.00023980392143130302, 0.5820159912109375, 0.41063806414604187]",0.4660688413750675
39,What is the bin on the left made from?,"['plastic', 'ceramic', 'steel', 'glass']",steel,images/39.jpg,steel,1,The bin on the left appears to be made from steel. This can be inferred from its metallic sheen and the typical use of steel bins in agricultural settings for their durability and resistance to damage.,1,['Does the bin on the left have a metallic sheen?'],['yes'],1.0,0.9067177176475524,"['plastic', 'aluminum', 'wood']",The bin on the left is made from steel.,"['The bin on the left is made from plastic.', 'The bin on the left is made from aluminum.', 'The bin on the left is made from wood.']",True,0.8211875557899475,True,"[1.184024858957855e-05, 0.6740504503250122, 2.813034427617822e-07]",0.5491974490389976
